SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT07R,DA0708DR07R,DADC407R,DA0GR07N,DAGC407R,DA311TA08R,DA311TR08R,DA311TW08R,DA311TM08R,DA311TC08R,DA311TS08R,DB311TA08R,DH311TA08R,DW311TA08R,DO311TA08R,DE311TA08R,DACTA08R,DA0CT07R,DA0CC07R,DA0CS07R,DA0CA07R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Lufkin,003903,003 ANGELINA,07,AA,17,8540,30,32,36,1,64.3,15,14,19,18,10,95.6,0.8,16.2,468,77.4,76,93,96,84,76,91,61,70,89,93,68,88,64.1,21.6,972,17.9,1328,615,1,3,8,46,13,30,89578,66221,50202,42587,33,6.4,13.9,31,13.8,17.6,10.9,13,6,81,0,66,11,6,7,5,6,224789,1.110000,70033481,8142,44,44,12,15318546,27,71025247,63745976,7411,56,8,5,11,20,35451172,4122,62,15,14,1,4,0,2,1
Huntington,003904,003 ANGELINA,07,RE,5,1721,3,4,93,1,45.4,1,12,1,30,7,95.4,0,3.7,140,94,77,93,91,85,80,93,41,56,79,.,73,81,47.4,16.7,945,18.9,259,124,2,3,6,48,12,30,73765,60872,43891,39463,2,6.6,13.9,35.3,11.8,13.8,10.7,0,0,100,0,76,9,5,0,8,2,93233,1.370000,26752343,15681,34,61,4,720011,7,14157318,12878521,7549,55,7,5,12,22,7042746,4128,60,16,11,0,7,1,4,1
Diboll,003905,003 ANGELINA,07,AA,6,1832,15,49,36,1,72.3,18,10,17,27,5,95.3,0,5.9,124,88.1,76,94,95,85,77,95,64,75,82,.,73,92,74.5,8.9,926,18.4,277,146,2,3,5,53,9,28,66825,60028,47692,41275,28,6.6,12.5,30.1,12,15.8,18.6,5,6,89,1,77,6,7,1,4,5,153267,1.040000,15803605,8469,56,29,15,3634631,28,17839519,15056853,8069,54,8,5,12,20,8162166,4374,56,14,19,3,4,1,4,0
Zavalla,003906,003 ANGELINA,07,AA,3,485,1,3,96,0,51.3,0,13,0,19,5,95.7,0,6.7,28,93.3,65,91,93,74,71,92,.,50,65,.,58,96,58.3,7.1,.,19.6,72,40,1,3,6,55,10,24,88000,65693,40500,39524,0,6.8,12.2,33.1,10.1,9.1,4.2,0,0,100,0,76,9,8,0,7,0,139532,1.100000,4392457,9170,61,27,12,628039,17,4495266,3926835,8198,59,10,5,10,17,2297859,4797,52,21,19,0,5,0,2,0
Central,003907,003 ANGELINA,07,AA,5,1581,5,12,82,1,43.5,4,16,3,27,5,95.6,0,6.4,102,89.9,74,90,91,86,74,89,41,64,76,88,65,94,39.2,25.8,976,18.4,218,118,2,3,7,54,12,22,69112,57774,44364,41955,6,7.3,13.4,23.7,13.2,11,11.5,0,5,95,0,75,9,3,1,5,7,112352,1.040000,12838038,7866,68,23,8,3396782,30,14147982,12194033,7472,58,6,6,12,18,7019553,4301,65,17,8,0,5,2,2,1
Aransas County,004901,004 ARANSAS,02,RE,5,3155,2,37,57,4,58.6,4,11,4,29,5,95,0.5,5.2,195,88.6,73,93,92,79,81,96,69,66,77,82,66,89,58.5,23.3,1008,20.7,517,241,2,3,7,47,11,31,75721,58080,45923,43324,20,6.1,13.1,29.4,12.8,27.7,21.7,1,8,90,1,81,13,1,1,4,0,718459,1.085000,34985245,10785,16,73,10,8225504,24,31911809,29134650,8981,54,7,5,14,20,15769504,4861,58,16,15,0,4,0,4,3
Archer City,005901,005 ARCHER,09,RE,2,460,0,3,96,1,30.2,0,12,0,31,6,95.6,0,2.6,34,89.5,80,97,.,87,79,93,.,22,82,80,72,100,71,31.8,983,21.8,85,49,1,2,5,58,14,20,88250,67725,45553,39942,1,5.4,9.4,24.4,12,10.2,17.2,0,2,98,0,80,8,2,0,9,0,375262,1.020000,5260327,10891,51,44,5,748900,17,4745847,4353115,9013,59,6,5,10,20,2563960,5308,65,13,8,0,6,1,8,0
Holliday,005902,005 ARCHER,09,RE,3,837,1,5,93,1,23.3,0,7,0,31,6,96.7,0,0,61,93.8,82,94,93,89,86,93,.,83,82,.,73,97,75,31.1,1043,21.4,116,65,2,3,5,56,15,20,79450,65500,42811,38641,6,7.2,12.8,19.2,14.2,5.6,7.7,0,2,98,0,82,6,5,0,6,1,248710,1.180000,7209751,8614,49,47,4,554810,9,7574171,6505446,7772,54,7,6,15,18,3526244,4213,69,9,7,0,6,1,7,1
Windthorst,005904,005 ARCHER,09,RE,2,501,0,24,76,0,40.7,14,8,14,26,7,97.6,0,2.8,33,94.4,88,95,.,94,88,98,.,59,94,.,75,97,69,40,1040,23.4,66,37,0,4,4,57,9,26,.,62867,40859,40841,8,7.6,13.5,10.8,13.9,4.5,2.8,0,1,99,0,80,5,3,4,7,1,109843,1.150000,5098748,9843,68,25,7,1346327,32,4185643,3930901,7589,59,6,5,12,19,2298044,4436,62,9,14,1,6,1,8,0
Claude,006902,006 ARMSTRONG,16,RE,2,355,2,7,90,1,36.1,2,14,2,25,6,97,0,7.7,25,92.3,79,95,97,89,79,90,.,53,81,.,69,100,90.9,10,.,18.9,64,37,3,2,5,58,11,21,61304,54926,46083,38550,9,5.5,9.5,26.8,12.3,7.6,27.6,0,8,92,0,86,8,0,0,6,0,279253,1.130000,4167930,11874,54,38,7,2024290,57,3611634,3368503,9597,61,8,6,11,15,2038792,5809,72,11,8,0,4,0,4,1
Charlotte,007901,007 ATASCOSA,20,AA,3,509,0,86,13,1,73.3,5,10,5,34,5,94.7,0,7.1,27,92.9,51,80,74,64,61,80,.,47,71,.,48,86,100,4.5,.,17.8,85,41,2,3,2,49,18,26,70850,63156,50685,47457,52,6,12.3,22.9,12.8,19.9,14.3,0,25,75,0,75,5,1,9,10,0,167274,1.200000,5049799,9528,66,24,11,671226,14,5457117,4997913,9430,58,12,6,12,12,2892834,5458,53,11,23,2,8,0,3,0
Jourdanton,007902,007 ATASCOSA,20,AA,6,1254,0,59,40,1,59.2,3,10,2,29,8,95.3,0.5,10.3,99,86.9,74,93,97,81,78,90,.,68,83,.,68,81,47.7,16.7,933,19.7,196,97,1,5,3,50,15,27,74009,67554,53572,43902,44,6.4,12.9,38.1,11.6,18.6,15.7,0,21,79,0,84,6,0,0,7,2,315317,1.170000,11868325,9518,41,51,8,2038923,20,11686015,11056896,8867,56,7,7,11,20,6152140,4934,62,12,12,0,7,1,5,2
Lytle,007904,007 ATASCOSA,20,AA,5,1612,1,75,24,0,65.9,7,7,6,32,7,95.8,0,9.2,86,82.7,63,89,91,70,69,91,80,59,75,.,56,82,76,7,877,15.2,264,125,2,3,7,47,8,33,71051,62978,49964,41441,53,6.1,12.9,42.5,9.5,22.7,19.6,1,31,68,0,69,10,10,0,6,4,112505,1.240000,15538969,9706,66,20,14,1261935,10,15029842,12976036,8105,52,6,5,13,24,6744401,4213,56,13,19,1,6,0,5,1
Pleasanton,007905,007 ATASCOSA,20,AA,9,3485,0,67,33,0,61.1,3,10,3,16,6,94.8,0,15.1,164,70.2,71,90,90,82,69,85,67,65,84,67,62,93,57,19.2,1001,20.1,551,260,2,3,7,47,13,28,76615,67128,50685,43043,37,6.3,13.4,36.3,10.4,15.3,17.7,0,21,78,0,72,14,5,0,4,5,165809,1.150000,31912508,9202,55,33,13,6997556,28,30710250,28451371,8204,53,7,6,12,22,15182129,4378,53,26,13,1,4,1,2,1
Poteet,007906,007 ATASCOSA,20,AA,4,1730,1,84,16,0,74.3,5,9,5,19,6,95.1,0.8,4.8,113,83.1,58,85,89,70,61,82,.,55,79,.,54,88,45.5,4.3,876,17.5,262,119,2,3,4,46,13,32,72737,61511,50145,41533,55,6.6,14.5,42.9,11.4,22,25.4,1,35,63,2,78,7,7,3,4,1,88260,1.126000,14846240,8764,72,20,9,2768283,22,17103078,13153247,7765,53,9,6,12,20,6969317,4114,60,14,17,3,4,1,2,0
Bellville,008901,008 AUSTIN,06,AA,5,2206,13,21,65,1,35.9,8,13,8,26,13,95.8,0,0.6,164,93.1,82,96,95,89,83,94,60,71,88,.,73,94,76.1,33.3,997,21.9,349,169,1,3,6,49,12,30,105087,67298,47602,43074,17,6.3,13,28.4,12.3,17.6,10.4,3,2,96,0,78,10,2,2,5,3,343473,1.280000,20351518,9327,33,63,4,4427329,24,23364224,16663512,7637,55,7,6,13,19,9206947,4219,63,16,7,2,6,1,4,0
Sealy,008902,008 AUSTIN,06,AA,4,2578,13,39,47,0,48.4,11,13,10,26,8,96.4,0,5.3,137,79.3,72,91,98,81,73,93,48,68,82,80,64,88,61.1,16.9,966,20.2,375,199,2,3,8,53,14,20,75349,65398,53030,45953,19,6.9,12.9,27.6,13.6,9.2,19.6,5,5,90,0,73,9,2,4,6,6,367388,1.220000,28223014,10914,41,50,9,4453728,22,26873802,23641680,9142,55,7,5,12,20,13074438,5056,57,23,11,1,5,1,2,1
Brazos,008903,008 AUSTIN,06,RE,3,833,13,39,48,1,47.9,8,10,7,23,4,96.1,0,3.1,61,92.3,77,92,93,87,79,96,62,75,83,.,69,94,70.6,8.3,917,18.1,128,69,2,2,7,54,7,27,63852,72530,49630,46325,16,6.5,12,23.1,15.3,15.5,15.2,0,4,96,0,76,5,0,11,5,4,469648,1.220000,8887535,10734,31,65,4,1487660,18,8823583,7807742,9430,56,6,6,13,19,4358780,5264,66,13,10,1,3,1,5,0
Muleshoe,009901,009 BAILEY,17,AA,5,1488,1,75,24,0,75.5,17,13,17,19,5,96.1,0,11,75,82.4,64,87,92,79,65,87,40,59,82,.,58,80,58.7,32.4,1072,21.5,226,120,2,3,6,53,16,19,75408,57711,47343,39765,23,6.6,12.4,30.9,12,14.3,18.8,0,9,91,0,73,8,5,9,4,1,152536,1.280000,15629162,10489,53,34,13,1656756,14,13879018,12369434,8302,58,7,6,9,21,7129100,4785,52,13,23,2,3,0,4,2
Medina,010901,010 BANDERA,20,AA,2,359,3,18,78,1,48.7,4,20,4,29,6,96.9,0,0,22,83.3,81,99,97,92,77,90,86,82,81,.,73,95,.,5.3,911,17.4,78,39,3,3,7,50,11,27,77968,62368,48891,38895,6,4.6,9.2,23.1,13.6,15.4,5.2,0,5,95,0,58,14,6,1,9,12,450652,0.960000,4479668,12910,47,47,6,2216119,57,4332140,4257824,12270,55,9,6,12,18,2360511,6803,53,24,12,1,6,0,3,0
Bandera,010902,010 BANDERA,20,AA,4,2526,1,23,75,1,46.9,4,13,4,28,11,95.1,0.2,1.6,172,87.4,82,93,96,87,83,95,57,72,85,50,76,93,76.2,18.3,986,20,360,190,1,3,6,53,9,28,77705,62998,54719,44152,10,7,13.3,24.6,12.7,17.9,16.2,0,5,95,0,72,10,9,0,4,4,386664,1.230000,24899958,9826,30,61,10,4074972,22,23393957,21072606,8316,56,6,4,11,23,11696631,4616,61,17,12,1,4,0,4,1
Bastrop,011901,011 BASTROP,13,AA,13,8521,10,41,48,1,56.1,14,12,11,19,12,94.7,0.1,15.6,408,72.9,65,89,91,75,65,86,46,57,75,69,56,85,61.4,24.2,976,19.8,1086,574,1,3,7,53,12,25,84761,67719,53950,45383,28,7.8,14.8,29.6,11.9,18.8,17.2,5,12,82,1,61,11,9,8,4,6,267149,1.501000,76024655,9322,37,52,11,13392904,23,92128063,64120225,7863,58,5,5,9,23,37122781,4552,51,23,9,5,4,4,2,2
Elgin,011902,011 BASTROP,13,AA,6,3703,15,49,35,1,62.4,18,11,18,21,5,95.6,0,14.8,172,72.7,58,84,84,69,61,87,44,50,75,61,48,85,61.1,18.8,915,18.5,490,246,2,3,6,50,10,29,74551,58416,46596,42657,34,7.6,15,42.2,11.2,19.6,21.1,4,15,82,0,76,12,4,3,4,1,205186,1.440000,31955351,8986,49,43,8,7950602,30,32707731,25504112,7172,55,7,6,12,21,14002609,3938,56,17,11,5,4,2,3,2
Smithville,011904,011 BASTROP,13,AA,4,1697,10,21,68,1,46.8,4,12,4,22,5,95.6,0.4,6.5,99,89.7,70,91,85,80,77,92,38,55,77,.,57,93,65.2,37.9,1023,21.8,258,138,2,3,8,53,11,22,77750,55428,44684,41093,13,6.6,12.3,31.4,11.8,18.1,15.8,4,1,95,1,75,15,1,1,5,3,275237,1.280000,16742071,9672,42,52,6,2691812,20,15503943,13584092,7848,54,7,5,13,21,7308481,4222,55,21,13,1,5,0,4,1
McDade,011905,011 BASTROP,13,AA,1,189,2,34,65,0,60.8,18,11,18,0,7,97.3,0,.,0,.,77,97,97,82,62,92,.,68,82,.,70,.,.,.,.,.,31,14,3,3,6,45,22,20,70000,55000,33777,36682,22,6,13.5,28.6,10,0,20,0,0,100,0,86,1,13,0,0,0,308550,1.105000,2455993,13569,49,40,11,872345,54,1938443,1700869,9397,53,12,5,12,17,893929,4939,53,18,26,2,0,1,1,0
Seymour,012901,012 BAYLOR,09,AA,3,580,3,16,80,1,45.5,1,11,1,31,5,95.9,0,0,51,94.3,81,95,94,88,84,95,54,69,85,.,73,83,77.6,21.1,.,20.5,96,59,2,1,3,62,9,22,78500,57750,46279,41304,4,6,9.7,17.6,14.8,11.8,5.1,0,2,98,0,76,6,4,0,12,2,236969,1.140000,7225306,11505,55,39,6,3183298,54,6179857,5619709,8949,56,8,6,11,20,3140405,5001,56,10,16,0,9,0,8,0
St Mary's Academy Charter,013801,013 BEE,02,RE,1,299,2,76,20,2,77.6,0,10,0,0,0,95.9,0,.,0,.,86,97,.,90,91,.,.,85,89,.,83,.,.,.,.,.,48,18,2,3,10,37,25,22,54444,52060,36984,36660,47,6.2,16.6,45,13.1,22.4,8.8,0,28,67,6,89,11,0,0,0,0,0,0.000000,2766887,9777,80,3,17,314384,16,2596212,2588674,9147,57,14,6,12,12,1485363,5249,65,10,26,0,0,0,0,0
Beeville,013901,013 BEE,02,AA,7,3555,3,78,19,1,69.1,2,10,2,20,8,94.5,0,12.3,207,77.4,60,86,92,70,58,86,52,57,72,83,55,86,57.9,8.2,966,17.8,508,227,1,3,7,45,13,32,89133,69427,53579,44775,57,7,15.7,20.1,14.3,20.9,10.3,2,29,69,0,83,9,2,0,5,1,143534,1.182000,32667470,8945,59,26,15,6826922,28,31417297,28184135,7717,57,7,5,11,21,16037985,4392,60,12,17,0,4,1,4,3
Pawnee,013902,013 BEE,02,AA,1,139,3,55,42,0,66.2,4,6,4,0,4,96.9,0,.,0,.,72,86,82,74,89,.,.,60,83,.,62,.,.,.,.,.,26,12,4,4,3,45,11,34,74000,58196,47133,42187,51,5.2,11.7,25.3,15.7,26.3,3.3,0,28,72,0,89,0,11,0,0,0,1228172,1.181000,1737540,12967,21,72,7,1226993,48,1474363,1406983,10500,49,13,5,12,20,688024,5135,71,8,20,0,0,1,1,0
Pettus,013903,013 BEE,02,AA,2,415,1,59,41,0,66.7,2,15,1,29,4,95.9,0,0,20,95.2,72,94,95,84,65,92,.,67,79,.,69,89,88.2,6.7,948,19,64,38,3,4,7,60,13,13,62602,53281,48313,40795,28,6.4,10.8,28.6,12,5.2,21.5,0,13,87,0,88,8,0,0,4,0,334351,1.040000,4295542,10902,34,54,12,904713,25,4858678,3925935,9964,54,8,6,15,17,2117284,5374,54,15,20,0,5,0,6,0
Skidmore-Tynan,013905,013 BEE,02,RE,3,758,2,60,37,1,60.3,3,11,3,28,3,96.1,0,4.7,61,90.6,73,96,95,79,76,99,77,66,82,.,69,96,38.2,14.3,.,18.6,111,61,3,3,17,55,1,21,71597,69683,30724,41183,49,6.8,12.4,35.9,10.7,11.4,31.3,7,29,64,0,90,3,0,2,3,1,144812,1.373000,7693848,9864,66,21,13,1591331,25,7772636,6943101,8901,54,7,5,14,20,3737910,4792,59,14,15,0,5,1,6,0
R Milburn (Killeen),014801,014 BELL,12,EA,1,161,44,28,25,4,47.2,0,8,0,32,0,87.2,.,12.9,57,64.5,19,63,.,16,20,60,23,7,27,.,17,43,5.6,.,.,.,15,8,0,7,7,54,13,20,.,68000,42038,39497,80,10.8,20.1,37.5,7.9,37.5,31.4,75,0,25,0,88,0,0,0,12,0,0,0.000000,1091287,6907,92,0,8,139305,13,1172407,1172084,7418,46,22,13,10,8,543433,3439,69,10,16,0,6,0,0,0
Transformative Charter Acad,014802,014 BELL,12,EA,1,59,44,17,36,3,66.1,0,10,0,56,0,92.5,.,14.7,30,73.5,23,73,.,17,29,67,20,14,38,.,22,52,0,.,.,.,9,4,11,0,0,47,21,21,60742,.,.,28837,89,6.2,13.1,77.8,3.5,0,40,67,11,22,0,82,11,0,0,7,0,0,0.000000,657308,7919,88,8,5,638156,123,605982,594744,7166,50,24,12,8,6,296307,3570,57,13,30,0,0,0,0,0
Temple Education Center,014803,014 BELL,12,EA,1,142,35,25,40,0,69.7,2,10,2,0,0,93.9,0,42.9,3,42.9,34,81,.,53,37,73,21,.,50,.,28,.,.,.,.,.,16,7,10,6,0,45,14,25,41267,47717,.,30404,32,9,20.3,100,1.4,0,50,29,29,43,0,57,0,43,0,0,0,0,0.000000,798521,8775,83,5,12,0,0,756239,756239,8310,49,14,8,19,11,368260,4047,54,16,30,0,0,0,0,0
Orenda Charter,014804,014 BELL,12,EA,1,66,18,21,61,0,100,0,80,0,0,0,99.8,1.5,54.5,0,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,20,6,10,5,8,27,41,10,81675,72024,50510,46412,43,3.2,12,63.7,4,18.2,2.4,27,0,73,0,100,0,0,0,0,0,0,0.000000,1618259,26101,92,0,8,1250819,94,1242484,1239635,19994,55,19,11,7,8,679506,10960,19,59,22,0,0,0,0,0
Academy,014901,014 BELL,12,AA,3,1032,1,17,81,1,27.5,1,9,1,26,8,96.5,0,6.4,71,87.2,85,97,97,90,85,93,67,74,87,.,76,97,84.6,27.3,1001,21.2,156,82,2,3,4,53,15,24,72117,66782,56091,43879,8,6.6,12.6,14.6,16.2,8.5,8.6,0,2,98,0,85,8,2,0,5,0,163599,1.159000,9151845,9282,58,39,3,1441734,19,8846766,8092305,8207,59,4,6,12,18,4809053,4877,65,15,12,0,4,0,5,0
Bartlett,014902,014 BELL,13,AA,1,397,13,55,32,1,73.3,9,9,10,37,3,95.2,0,9.7,30,90.3,52,80,80,66,66,88,39,45,70,.,44,83,57.7,20,791,22,67,35,1,3,2,52,19,22,81296,54048,52313,37153,22,5.9,11.3,45,10.3,14.2,31.2,6,3,91,0,85,3,0,3,9,0,177050,1.173000,4190713,10503,58,29,13,843950,26,4018404,3693128,9256,57,7,6,11,20,2085435,5227,58,8,19,2,6,0,7,0
Belton,014903,014 BELL,12,AA,13,8292,7,29,62,2,43.3,8,12,7,18,7,95.3,0.1,8.7,436,79.7,74,92,92,82,78,91,60,62,81,70,59,90,61.4,31.4,1030,20,1242,558,1,2,8,45,13,32,83355,61317,50612,41423,19,6.7,14.9,37.3,11.6,12.5,15.9,1,6,93,0,76,10,6,1,4,3,193628,1.287000,67806756,8510,51,41,8,9306200,17,84650186,56365914,7074,54,8,6,12,21,30405303,3816,66,17,8,2,3,1,3,0
Holland,014905,014 BELL,12,RE,3,571,6,26,67,1,48.9,3,9,3,32,8,96.4,0,5.7,30,91.4,83,93,92,91,85,94,63,75,87,.,76,100,44,27.3,.,20.8,92,49,1,1,4,54,11,29,87317,60662,49139,41805,16,6.2,11.6,20.2,15,14.2,9.2,2,4,94,0,84,6,4,0,6,0,130962,1.190000,6727713,11907,48,31,20,1006461,23,5743516,5318067,9413,51,9,6,11,24,2731567,4835,45,38,9,0,4,0,4,0
Killeen,014906,014 BELL,12,AA,52,38117,38,21,37,5,48.8,7,12,5,15,6,95.3,0.4,12.9,1480,78.6,69,91,93,77,72,90,60,69,78,78,62,84,70.7,17.9,942,19.6,5544,2712,0,3,9,49,12,26,99587,67488,55616,45248,39,6.9,14.1,46.9,9.5,17.9,15.9,16,9,72,3,72,9,7,3,3,6,136497,1.141000,353147281,9652,55,24,21,85767069,29,323863658,291779743,7975,59,5,5,11,20,171202930,4679,67,14,10,1,3,1,2,1
Rogers,014907,014 BELL,12,AA,3,838,3,20,77,0,44,4,12,4,27,11,97.1,0,0,62,96.8,77,94,96,84,79,97,43,64,81,.,61,100,63.5,12.1,971,18.9,129,67,2,3,11,52,15,18,63565,61060,41230,37848,5,6.5,12.5,34.2,12.8,14.1,19.8,0,1,99,0,86,5,0,1,7,1,153921,1.516000,7725025,9274,62,31,7,2331212,37,7224520,6599861,7923,54,7,5,12,21,3590361,4310,63,12,12,0,5,1,8,0
