SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT07R,DA0708DR07R,DADC407R,DA0GR07N,DAGC407R,DA311TA08R,DA311TR08R,DA311TW08R,DA311TM08R,DA311TC08R,DA311TS08R,DB311TA08R,DH311TA08R,DW311TA08R,DO311TA08R,DE311TA08R,DACTA08R,DA0CT07R,DA0CC07R,DA0CS07R,DA0CA07R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,RE,3,580,11,5,84,1,36.4,1,13,1,31,12,96.1,0,2.2,47,97.8,81,97,98,87,79,93,69,89,82,.,79,85,48.6,11.1,939,19.8,105,53,1,4,6,51,15,23,61953,57015,49256,40094,15,5.5,10.9,28.3,12.6,10.3,8.3,6,6,89,0,79,11,0,0,6,3,594618,1.040000,6102214,10724,23,73,4,1559824,28,5366787,4693094,8248,56,8,5,12,19,2642749,4645,69,13,9,0,3,0,5,0
Elkhart,001903,001 ANDERSON,07,AA,3,1375,6,7,86,1,50,1,12,1,22,4,96.1,0,3.6,76,95.2,76,96,97,85,71,84,45,63,78,.,70,100,60.9,15.4,910,21.4,195,104,3,2,5,53,15,22,53480,58964,41460,39067,10,7,13.2,23.1,13.7,18.9,9.1,1,3,96,0,71,12,9,0,6,2,133121,1.170000,10101124,7658,65,30,5,1642720,18,9211966,8955575,6790,59,7,5,9,20,5291602,4012,62,18,10,0,3,0,6,0
Frankston,001904,001 ANDERSON,07,AU,3,801,13,8,79,1,50.8,5,13,5,43,7,95.7,0,0,51,100,67,90,90,79,66,86,41,68,72,.,56,91,55.9,21.1,969,19.5,130,73,1,3,5,56,8,27,87568,60418,52042,39286,6,6.2,11,20.5,14.7,16.6,13.9,4,1,95,0,80,8,4,1,7,0,344352,1.096000,7375217,9348,38,55,7,1913728,30,7336132,6584942,8346,56,9,5,10,20,3699727,4689,63,11,15,1,5,1,5,0
Neches,001906,001 ANDERSON,07,AA,2,361,10,6,83,1,33.5,1,15,1,36,5,96.3,0,15,15,80,68,95,96,75,70,77,39,50,73,.,54,100,45.5,60,.,24,55,31,2,4,4,57,3,31,76000,52500,38806,37996,3,6.6,11.7,32.1,10.8,0,4.3,3,0,97,0,83,6,3,0,8,0,281990,1.318000,3261602,9266,56,38,6,1001465,35,2837884,2721193,7731,54,8,6,11,21,1474710,4190,66,19,9,0,5,1,0,0
Palestine,001907,001 ANDERSON,07,AA,5,3304,30,32,37,1,66.5,10,8,10,26,4,95.2,0,14.8,186,80.3,62,85,86,72,65,84,46,55,78,86,55,85,41.3,25,974,18.7,489,250,2,3,7,51,16,22,73537,56116,44882,36955,24,6.8,13.2,38.8,11.8,15.7,26.6,7,4,89,0,68,11,8,4,5,4,272628,1.280000,29750020,8737,41,47,12,6503055,28,30591912,24831431,7293,56,7,5,10,22,13916383,4087,51,17,16,3,5,1,5,3
Westwood,001908,001 ANDERSON,07,AA,4,1737,19,15,66,1,51.2,4,13,4,20,4,95.2,0.3,4.7,114,86.6,71,93,92,82,70,95,60,62,76,63,66,83,55.9,11.5,920,17.9,221,124,2,3,5,56,12,23,69882,57458,42380,38582,16,7.9,14,30.6,13.4,18.6,27,6,2,91,0,78,11,5,0,5,1,213434,1.005000,15286083,8690,48,40,13,3104078,26,13964928,12462699,7085,59,7,5,8,21,7284807,4141,45,33,11,1,2,4,3,1
Slocum,001909,001 ANDERSON,07,RE,2,378,1,3,96,0,51.9,0,16,0,25,8,97.2,0,12.1,27,78.8,81,99,96,91,75,96,.,63,82,.,80,100,33.3,62.5,1170,24.5,59,37,2,5,3,63,8,18,78586,54232,50121,41455,7,6.4,10.2,21.6,13.8,21.6,10.8,3,0,89,8,74,11,3,0,12,0,224074,0.938000,3702294,9210,60,33,7,2143793,76,3174345,2977904,7408,61,7,5,8,19,1824585,4539,62,14,15,0,7,0,3,0
Andrews,002901,002 ANDREWS,18,AA,7,3035,2,60,37,1,42.8,10,12,8,20,5,95.4,0.4,12.2,206,86.1,72,90,93,84,70,91,74,66,82,77,64,87,40.5,21.4,958,19.9,453,222,2,2,5,49,13,29,89411,80213,60885,51026,26,6.7,13.7,18.9,15,14.8,6.7,0,11,88,1,65,8,12,3,5,7,1118269,1.172000,36401030,12244,14,80,6,15874491,36,45215866,27015980,9087,56,7,5,14,19,15148478,5095,60,16,12,1,4,2,5,1
Pineywoods Community Acad,003801,003 ANGELINA,07,AA,1,313,27,13,59,2,59.1,0,12,0,0,0,95.6,0,.,0,.,52,82,87,60,67,.,31,52,59,.,43,.,.,.,.,.,40,21,5,6,8,53,4,23,56651,31504,35364,36566,14,7.8,14.7,54.5,7.1,14.4,42.2,0,4,96,0,100,0,0,0,0,0,0,0.000000,2634078,10016,61,32,7,1103282,60,1838661,1775061,6749,57,10,5,13,15,1002359,3811,78,11,11,0,0,0,0,0
Hudson,003902,003 ANGELINA,07,RE,5,2501,5,19,74,2,52.2,6,10,5,28,6,96,0.2,9.2,125,83,86,96,96,92,87,97,70,77,89,85,79,92,58.6,21.5,973,20.2,327,171,1,4,6,52,5,32,89300,62079,49673,42460,10,7.7,14.6,33.5,12.9,16.5,13.5,1,2,97,0,65,11,4,6,5,10,105379,1.136000,20624398,8551,65,27,8,4728674,28,21888285,17207425,7134,56,6,6,13,20,9642655,3998,64,14,11,1,4,1,3,4
