SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOT2P,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT10R,DA0708DR10R,DADC410R,DAGC410R,DA0GR10N,DA311TA11R,DA311TR11R,DA311TW11R,DA311TM11R,DA311TC11R,DA311TS11R,DB311TA11R,DH311TA11R,DW311TA11R,DD311TA11R,DE311TA11R,DACTA11R,DA0CT10R,DA0CC10R,DA0CS10R,DA0CA10R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Maypearl,070915,070 ELLIS,10,RE,3,1051,2,17,78,3,38.6,5,15,5,29,5,96.7,1.6,0,97.4,75,82,95,94,89,89,97,71,74,84,76,74,94,68.9,16.7,931,19.3,147,80,2,3,5,54,16,19,89161,61873,49966,45520,9,7.2,13.2,31.3,10.4,12.4,17.4,5,1,94,0,78,4,3,2,10,3,246116,1.359000,11800147,10708,61,32,6,911660,9,12158303,7933908,7200,71,10,7,.,15,5628333,5107,69,15,6,0,7,0,2,0,0
Burnham Wood Charter,071801,071 EL PASO,19,RE,2,892,2,85,9,3,51,19,5,16,0,0,96.3,0,.,.,0,84,94,96,93,82,99,76,83,88,.,79,.,.,.,.,.,100,64,3,3,12,65,1,16,73753,63829,40644,37020,55,9,13.9,70.4,5.2,34.2,22.7,0,61,36,3,93,4,0,3,0,0,0,0.000000,7113413,9096,87,2,11,146842,3,5799646,5281567,6754,51,18,5,15,11,2704172,3458,66,8,23,3,0,0,0,0,0
Paso Del Norte,071803,071 EL PASO,19,EA,2,333,0,88,11,1,93.4,8,7,8,20,0,92.4,.,11.4,47.1,116,49,83,.,71,53,88,.,49,.,.,49,84,2.6,.,.,.,48,16,1,10,5,34,2,48,110848,49815,31038,34230,92,6.9,20.2,87.9,2.2,36.4,55.1,6,88,6,0,84,11,0,0,5,0,0,0.000000,3189010,8761,86,0,14,0,0,2471741,2438161,6698,40,13,16,23,8,965845,2653,49,6,41,0,3,0,0,0,0
El Paso Academy,071804,071 EL PASO,19,EA,2,449,1,90,9,0,65.5,8,9,7,25,0,87.9,.,23,31.9,123,36,84,.,46,50,87,.,35,41,.,31,71,9.6,0,811,.,45,29,0,9,4,64,0,22,.,57767,44939,41617,71,10,15.5,83.4,3.3,12.4,26.9,0,66,28,6,93,7,0,0,0,0,0,0.000000,4190288,9070,89,0,11,3319485,92,3396190,3336476,7222,62,16,11,5,5,2062138,4464,54,9,32,1,5,0,0,1,0
Harmony Sci Acad (El Paso),071806,071 EL PASO,19,RE,2,1232,4,85,10,2,68.8,13,3,10,3,3,96,0,.,.,0,73,89,86,84,79,99,48,73,79,93,68,94,.,.,.,.,95,76,0,8,2,80,1,8,.,60026,36000,34975,64,13,16.2,91.9,2.3,17.2,30.6,1,64,32,3,98,1,0,1,1,0,0,0.000000,9683031,8708,85,3,12,1800382,22,7867372,7828991,7040,47,13,7,25,8,3702077,3329,72,6,22,0,0,0,0,0,0
La Fe Preparatory,071807,071 EL PASO,19,RE,1,190,0,97,3,0,86.8,78,7,92,0,0,92.8,.,.,.,0,68,85,97,80,.,.,.,68,.,.,70,.,.,.,.,.,28,14,7,9,14,49,0,20,53196,44096,33552,39705,87,6.7,13.6,100,1.7,0,18.2,0,93,0,7,50,0,0,50,0,0,0,0.000000,2209323,14162,52,3,45,397684,26,2020004,1690341,10836,49,23,6,9,14,822101,5270,67,6,21,6,0,0,0,0,0
Vista Del Futuro Chart Sch,071809,071 EL PASO,19,AU,1,115,2,95,4,0,66.1,50,4,49,0,0,.,.,.,.,0,66,85,75,64,.,.,.,64,.,.,61,.,.,.,.,.,18,11,0,0,0,61,0,39,.,.,.,33964,72,6.4,10.5,100,0,0,.,0,64,27,9,91,0,0,9,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clint,071901,071 EL PASO,19,RE,13,11614,1,95,3,0,87,37,7,33,24,4,95.8,0,11.4,78.7,626,69,85,92,81,76,95,70,69,77,78,68,90,62.8,5.3,850,16.9,1311,658,2,3,10,50,9,26,93081,77219,55863,50240,89,8.9,17.6,41.9,9.1,22.1,11.2,1,84,13,1,61,9,2,21,5,3,80728,1.335000,108879957,9681,70,12,17,14975028,17,122179544,94265904,8381,58,7,6,11,18,54704950,4864,55,12,22,2,4,0,3,2,0
El Paso,071902,071 EL PASO,19,RE,94,64023,4,83,11,2,70.1,27,8,23,33,10,95.1,0.1,9.7,78.3,3857,76,88,93,85,82,94,71,74,86,87,71,93,66.7,17.5,943,18.2,8592,4399,0,3,14,51,5,27,113617,75580,59574,49211,73,7.5,14.6,30.3,12.3,22.7,7.7,3,63,31,3,77,7,1,9,4,2,226167,1.235000,639116805,10143,52,30,18,39352058,8,687627418,576478672,9149,60,4,6,9,21,345006965,5475,54,14,21,2,3,2,2,1,2
Fabens,071903,071 EL PASO,19,RE,5,2459,0,65,35,0,91.3,38,13,30,24,8,96.3,0,3.6,88,154,72,84,91,84,81,94,.,71,75,.,70,97,46.5,7.5,847,17.3,373,174,1,3,8,47,11,30,101862,81710,56943,51225,90,6.6,14.1,39.6,9.3,21.3,9.9,1,84,14,1,63,11,1,19,5,2,53948,1.238000,28935552,11635,72,6,21,4580639,23,30555674,25336330,10188,59,8,5,12,16,14928722,6003,45,16,27,2,3,0,3,1,2
San Elizario,071904,071 EL PASO,19,AA,6,4083,0,99,1,0,90.8,49,8,43,25,5,96.3,0.2,5.8,85,227,63,79,88,76,79,93,.,63,71,80,63,97,38.6,3.8,869,17.3,592,257,1,3,9,43,5,38,114147,61797,60439,51342,92,6.9,15.9,41.2,10.6,21.4,9.2,2,86,12,0,55,9,0,28,5,2,37115,1.161000,44052902,11038,74,5,21,3311755,10,40407798,36050382,9033,55,8,5,12,20,19870827,4979,46,11,32,3,4,0,3,2,1
Ysleta,071905,071 EL PASO,19,RE,61,44468,1,98,1,0,81.7,24,10,26,27,8,95.3,0.1,7.2,83.8,3075,75,90,94,84,80,94,74,74,81,73,72,93,99.8,5.2,798,17.6,6429,3054,0,2,8,47,9,33,106235,79362,59065,50144,86,6.9,14.6,28.8,11.5,27.5,7.3,2,79,18,1,94,5,0,1,0,0,147542,1.330000,466412155,10526,65,19,16,44424079,12,449003039,393267495,8875,60,5,6,10,19,235626447,5318,56,18,17,2,3,0,2,1,2
Anthony,071906,071 EL PASO,19,AA,3,849,2,86,11,1,100,25,8,17,23,5,96,0,6.4,89.4,49,62,81,87,70,81,92,88,61,57,.,61,88,82.9,8.8,934,18.3,132,58,2,2,8,44,10,35,97360,75202,57100,50379,86,6.4,14.7,39.9,12,15.1,20.1,2,77,21,0,71,6,4,13,4,1,180088,1.202000,9512032,11474,61,19,20,2120563,29,9698115,8940247,10784,53,12,5,11,20,4722576,5697,54,16,20,2,3,0,4,1,0
Canutillo,071907,071 EL PASO,19,RE,9,5938,1,95,4,1,78.1,30,8,35,34,6,95.2,0,13.5,79,351,73,87,93,83,79,95,76,72,84,96,70,90,43.4,10.8,866,18.3,792,366,1,2,9,46,9,31,80754,68966,54450,48732,81,7.5,16.2,29,12.8,32.5,15,1,69,28,2,59,7,2,22,5,6,226882,1.292000,61556493,10560,51,29,20,5045692,11,64669829,53263787,9138,57,8,5,9,21,30091944,5162,59,12,18,2,4,0,2,1,1
Tornillo,071908,071 EL PASO,19,RE,4,1342,0,99,1,0,96.3,39,5,25,23,7,96.3,0,7.3,82.9,70,79,89,87,89,88,97,.,79,83,.,78,90,39.7,0,801,.,177,88,1,2,4,49,6,38,113159,83964,62374,47664,84,7.6,15.3,57.9,7,20.4,15,1,75,21,2,72,9,4,13,2,0,39051,1.336000,14656924,11188,76,6,18,905297,8,14996441,12162478,9284,57,12,5,12,15,6903786,5270,52,9,28,2,3,0,4,0,1
Socorro,071909,071 EL PASO,19,RE,44,42287,2,91,6,1,74.7,21,8,20,26,7,95.9,0,3.2,86.8,2671,77,90,95,87,83,96,79,77,78,82,75,91,58.8,8.8,872,19.2,4891,2464,1,3,11,50,6,28,79224,73175,57780,49027,86,8.6,17.2,37.6,10.1,29,6.6,2,80,17,1,67,10,0,13,5,5,166477,1.180000,376320743,9165,63,24,13,36447671,13,407732868,334958958,8158,60,5,5,11,19,201028623,4896,58,15,16,3,4,0,2,1,1
Paradigm Accelerated Chart,072801,072 ERATH,11,EA,1,191,4,26,70,1,68.1,0,17,0,29,0,93.5,0,14.7,62.7,49,45,80,33,53,65,86,.,38,47,.,46,68,14.6,0,.,.,37,20,0,11,0,53,18,18,.,46924,.,31837,26,5.2,9.8,64.1,7.6,12.8,15.2,10,5,85,0,74,15,0,0,10,0,0,0.000000,2163907,9881,81,10,9,0,0,2085542,2081104,9503,52,15,10,16,6,1078322,4924,50,18,21,0,9,0,2,0,0
Erath Excels Academy,072802,072 ERATH,11,EA,2,162,4,44,49,3,77.2,3,17,3,42,0,88,0,29.1,36.4,20,49,83,.,49,92,.,.,38,56,.,48,68,0,.,.,.,35,13,1,12,10,38,0,39,50000,44805,36278,35221,31,4.7,12.4,77.6,4.7,15.3,23.7,0,23,77,0,81,7,0,0,12,0,0,0.000000,1735582,10985,88,2,10,31446,2,1589540,1582254,10014,54,11,16,8,11,855950,5417,42,27,21,1,5,0,0,4,0
Three Way,072901,072 ERATH,11,AA,1,68,2,68,29,2,67.6,19,4,19,0,0,97.2,0,.,.,0,63,87,91,90,64,.,.,50,90,.,59,.,.,.,.,.,11,7,7,0,0,63,0,30,72000,.,.,40788,26,5.9,9.4,41.6,11.1,2.6,0,0,0,100,0,86,0,14,0,0,0,642129,1.040000,819815,14383,24,59,17,112756,17,799706,712762,12505,60,16,0,13,12,426391,7481,67,6,26,1,0,0,0,0,0
Dublin,072902,072 ERATH,11,AA,4,1254,1,54,44,1,68.8,19,6,19,23,11,96.2,0.5,3.8,95,75,64,82,83,76,74,95,83,55,76,.,56,87,52.2,22.2,956,20,211,100,1,3,6,47,16,26,92592,66557,53332,40530,20,5.9,12.5,30.7,11.6,15.3,14.5,1,9,89,1,83,7,1,4,4,1,204948,1.272000,14093023,10993,56,26,18,3025776,31,13654034,12169017,9492,56,8,6,12,18,6812521,5314,49,16,22,5,3,1,4,1,0
Stephenville,072903,072 ERATH,11,RE,6,3623,1,28,66,5,50.6,9,8,8,22,6,95.7,0,0.9,95.6,225,82,93,95,89,86,94,71,70,86,79,72,96,75.4,39.9,1039,21.7,430,232,2,2,8,54,12,21,86882,68825,50009,44708,10,8.4,15.6,21.2,13.7,28.4,11.4,0,7,92,1,72,8,5,4,5,6,342763,1.147000,30330412,8558,36,51,13,4621004,18,29268562,26898891,7590,58,6,5,12,21,15457277,4362,57,14,8,5,5,5,5,1,1
Bluff Dale,072904,072 ERATH,11,AA,1,96,0,7,93,0,38.5,2,2,2,0,5,96.8,0,.,.,0,74,89,93,79,79,.,.,60,75,.,64,.,.,.,.,.,15,10,2,1,4,69,4,20,71641,71641,65502,34816,7,6.4,9.3,80.7,2.7,9.6,10.3,0,4,96,0,98,2,0,0,0,0,1254696,1.092000,1319033,13190,16,76,8,650050,36,1101945,956547,9565,57,13,7,10,13,547253,5473,68,6,22,0,0,0,4,0,0
Huckabay,072908,072 ERATH,11,EX,1,188,0,19,79,3,50,2,6,2,32,5,96.6,0,0,100,14,87,95,94,95,91,98,.,74,89,.,80,100,75,11.1,.,21.4,35,20,3,3,3,57,9,26,88200,66427,8398,40335,2,5.4,9.4,20,12.5,20,14.3,0,0,100,0,85,5,0,0,10,0,606129,1.040000,2100502,10997,36,56,8,266109,15,1981826,1897337,9934,56,13,5,10,16,1068896,5596,62,10,15,2,7,0,3,1,0
Lingleville,072909,072 ERATH,11,RE,1,235,0,50,49,1,57.9,19,5,19,26,7,97,0,0,100,13,75,86,90,84,86,.,.,63,85,.,65,100,61.5,25,.,20.5,43,22,2,2,3,52,16,24,95332,72357,47005,41350,18,5.5,10.5,35.7,12.7,4.5,13.3,0,4,96,0,81,2,4,2,8,2,425651,1.108000,2570723,11528,25,64,12,956546,43,2733186,2373780,10645,58,9,7,11,15,1372504,6155,53,7,25,4,5,1,4,1,0
Morgan Mill,072910,072 ERATH,11,RE,1,116,0,13,82,5,46.6,3,5,3,0,11,95.7,0,.,.,0,82,94,93,89,82,.,.,38,89,.,79,.,.,.,.,.,15,11,4,0,2,74,0,20,68500,.,42932,43861,0,7.6,10.3,36.7,15.3,27.9,0,0,0,100,0,82,5,10,1,0,2,641366,1.040000,1146613,11132,15,79,6,248113,25,991752,975218,9468,64,16,0,9,11,622234,6041,81,10,7,0,0,1,1,0,0
Chilton,073901,073 FALLS,12,AA,1,506,16,55,27,2,85.8,17,14,17,38,7,96.7,0,0,100,33,71,87,94,82,87,91,68,65,86,.,67,100,56,28.6,.,17.9,80,46,1,1,2,58,16,22,84620,73284,42405,40428,37,6.4,11,48,12.3,5.3,24.1,11,4,85,0,80,5,5,3,7,0,96915,1.240000,6330143,12814,66,12,22,545130,13,5431578,4817462,9752,61,7,5,11,17,2933352,5938,32,9,48,1,6,0,4,1,0
Marlin,073903,073 FALLS,12,AU,4,1106,57,32,10,2,88.4,11,17,10,26,6,95,0,25.3,62.1,66,43,66,72,57,54,91,39,46,61,18,41,88,51,0,791,.,250,104,1,4,2,42,13,38,95830,68447,53163,40067,47,4.4,10.6,48.3,11.4,6.7,18.5,21,7,68,4,76,11,3,1,6,3,170442,1.141000,16959315,15279,53,27,20,2795626,27,15989191,14365286,12942,52,9,6,11,23,7397462,6664,30,35,20,2,5,0,5,1,2
Westphalia,073904,073 FALLS,12,RE,1,155,0,27,72,1,30.3,2,15,2,3,3,97.2,0,.,.,0,88,96,97,96,84,.,.,74,92,.,73,.,.,.,.,.,21,12,1,4,0,58,14,24,73770,39523,.,44407,10,7.4,12.8,8.3,18.8,17.4,7.7,0,0,100,0,93,7,0,0,0,0,93040,0.962000,1453696,9822,80,15,5,412572,33,1347236,1133400,7658,67,14,3,8,8,763088,5156,84,11,1,1,0,1,3,0,0
Rosebud-Lott,073905,073 FALLS,12,AA,7,760,14,35,48,3,65.1,2,15,2,34,6,94.7,0,6.3,87.3,69,68,85,94,79,76,96,38,70,74,75,63,87,55.6,37.1,988,21.4,165,77,1,4,5,47,13,30,61333,58593,45839,40769,31,4.6,9.9,38,12,6.5,23.6,6,9,81,4,74,5,11,0,7,2,169125,0.853000,8860748,11090,66,21,13,2157468,23,10325022,8393976,10506,53,8,6,11,21,4481309,5609,55,13,20,1,7,1,4,0,0
Bonham,074903,074 FANNIN,10,AA,5,1923,6,18,71,5,63.6,7,12,8,20,4,96.1,0,1.4,94.4,141,76,94,89,85,82,96,65,74,79,68,70,96,56.3,20.9,1010,21.4,305,149,1,3,5,49,18,25,84508,67592,53772,42026,5,6.3,12.9,30.2,12.5,23.8,19.2,1,2,93,4,78,7,3,3,4,5,280491,1.115000,19097097,9783,49,36,16,3770784,26,18187818,16887767,8652,57,5,6,12,19,9696318,4967,49,14,24,1,5,2,5,1,0
Dodd City,074904,074 FANNIN,10,EX,1,329,2,5,90,3,44.4,1,9,1,20,2,97.4,0,0,100,14,91,96,96,95,97,98,.,.,91,57,84,93,75,22.2,.,19.9,47,30,2,8,3,63,4,19,87000,51925,41067,40883,2,7,11.1,23.5,14.3,12.7,6.7,0,0,97,3,78,4,10,0,7,1,108258,1.115000,3180823,10003,72,21,7,396360,15,3049760,2718172,8548,62,7,6,10,15,1688860,5311,72,8,12,0,5,0,2,1,0
Ector,074905,074 FANNIN,10,RE,2,283,1,9,85,5,46.3,1,14,2,33,8,96.3,0,0,100,19,80,96,90,87,84,97,.,73,80,.,77,100,29.4,20,.,.,48,24,6,0,2,50,19,23,73400,.,41430,41401,0,5.9,11.8,25,15.7,4.2,8.3,0,0,100,0,77,8,4,0,10,0,116912,1.325000,2808283,11188,76,17,7,380939,15,2853066,2562838,10211,59,8,9,10,14,1522115,6064,62,17,9,0,9,0,2,1,0
Honey Grove,074907,074 FANNIN,10,AA,3,601,12,14,69,5,65.6,5,11,5,29,8,95.8,0,3.8,90.4,47,70,86,86,80,79,95,65,67,71,74,68,96,69.4,24,.,20,142,58,1,2,16,41,19,20,84159,70668,48133,41972,5,4.2,10.3,35.3,12.7,11.2,12.4,0,3,93,3,66,22,3,0,5,3,262867,1.359000,10128872,16632,42,31,27,876985,16,10471454,7803042,12813,59,7,4,10,20,4629090,7601,37,45,10,1,2,0,3,1,1
Leonard,074909,074 FANNIN,10,AA,4,893,6,12,79,3,56.6,4,13,4,27,5,96.5,0,0,98.7,79,74,92,92,83,81,94,51,78,75,78,68,95,56.1,16.2,967,19.8,122,64,2,2,8,52,13,22,92061,63979,47115,43490,11,7.3,14,24.9,11.9,19.5,12.1,2,5,91,3,76,5,8,2,3,6,149416,1.276000,9728607,10870,70,22,8,1274846,16,11716862,8150514,9107,60,5,6,12,18,4847812,5417,60,15,11,1,3,1,7,2,0
Savoy,074911,074 FANNIN,10,AA,2,308,0,4,89,7,50,0,12,0,37,7,96.1,0,0,96.6,30,74,94,96,80,84,96,.,67,73,82,70,96,80,15,813,21,54,28,2,4,0,52,13,30,90497,63896,.,39230,6,5.7,11,39,10.6,21.6,3.5,0,4,76,20,80,7,0,0,9,4,269796,1.253000,3288614,10889,59,35,7,442550,16,3327123,2950481,9770,56,8,7,11,19,1647736,5456,59,19,10,0,5,1,6,1,0
Trenton,074912,074 FANNIN,10,RE,3,548,2,15,81,3,46.7,2,10,2,28,4,96.4,0,11.8,82.4,42,76,92,94,81,91,96,29,77,77,90,70,94,39.4,23.1,997,21.1,90,46,0,3,6,51,11,30,.,67103,47252,39197,12,6.1,12,36.4,11,8.8,18.7,4,0,93,2,80,7,4,2,7,0,264841,1.334000,6151442,10717,58,36,6,394829,8,6125726,5306282,9244,57,5,7,14,17,3013772,5250,65,14,8,0,6,1,4,1,1
Sam Rayburn,074917,074 FANNIN,10,RE,2,444,1,7,87,4,46.2,3,10,3,25,1,95.6,0,0,96.8,30,87,97,95,91,92,99,80,81,88,.,80,100,87,35,1039,20.8,60,40,2,3,3,67,0,25,85000,70689,54771,42295,3,7.4,11.1,22.5,14.4,22.5,5.3,0,2,98,0,85,7,0,0,8,0,178745,1.212000,4484661,10478,68,26,6,614895,16,4061141,3748943,8759,65,6,6,10,14,2421443,5658,69,12,11,0,5,0,3,1,0
Flatonia,075901,075 FAYETTE,13,RE,2,577,4,56,40,1,61.5,16,8,15,25,7,96.7,0,6.5,91.3,43,88,96,97,94,88,98,67,86,93,.,85,100,67.5,22.2,980,20.3,98,53,0,2,3,54,15,24,66184,53985,46834,40036,26,5.9,10.8,26.3,14,14.6,10,4,2,92,2,89,4,2,1,3,1,416423,1.250000,6438379,11622,41,48,11,1301837,24,5944286,5570332,10055,56,8,4,12,21,3112053,5617,58,12,16,2,5,0,6,1,0
La Grange,075902,075 FAYETTE,13,AA,4,1884,10,34,52,4,54,11,9,10,19,7,96.1,0,4,88,137,79,90,96,85,84,95,61,68,88,80,69,94,43.3,32.7,1033,22.3,301,144,2,3,4,48,14,29,75276,65277,50820,43731,22,6.3,13.1,24.9,14,17.5,17.5,1,6,92,0,74,6,6,6,5,3,489179,1.056000,19710757,10390,35,59,6,2456315,15,17422630,16467762,8681,55,5,6,13,21,9018335,4754,60,18,8,1,4,1,6,1,2
Schulenburg,075903,075 FAYETTE,13,AA,2,720,15,34,49,3,57.8,10,8,10,37,8,96,0,1.7,94.8,56,77,91,90,83,85,98,59,73,84,64,69,92,76.9,12.5,944,18.6,111,58,2,8,6,52,14,18,70221,45143,51627,44790,17,6.5,12.4,21.6,15.7,12.3,15.2,2,9,86,3,77,8,6,1,8,1,484699,1.192000,8797157,11904,35,51,14,443122,7,8537261,7871005,10651,56,10,5,11,18,4429111,5993,54,23,12,0,5,1,4,1,0
Fayetteville,075906,075 FAYETTE,13,AA,1,219,4,5,91,1,24.7,1,8,1,32,3,96.5,0,0,95.5,22,84,97,90,90,90,98,71,78,85,.,81,100,60,16.7,959,.,39,23,3,1,1,58,13,24,79000,52385,52385,39767,1,5.7,9.7,31.1,11.9,4.4,2.5,0,0,100,0,90,3,0,0,7,0,758113,1.040000,2272322,10236,24,72,4,1313664,59,2306480,2090650,9417,61,13,3,10,14,1270289,5722,73,5,8,0,6,0,5,1,1
Round Top-Carmine,075908,075 FAYETTE,13,AA,2,246,5,16,76,4,34.1,6,9,6,29,4,96.3,0,0,100,13,82,95,95,90,75,98,57,83,82,.,69,100,66.7,50,1069,.,47,23,3,3,10,50,17,17,59856,73972,45571,42932,11,5.2,10.5,38.8,15.3,8.5,10.1,3,4,93,0,79,10,5,1,5,1,1328240,1.145000,3224010,13490,25,71,5,637935,16,3399616,2985282,12491,54,8,8,16,14,1596945,6682,65,11,11,1,7,1,4,1,0
Roby Cons,076903,076 FISHER,14,AA,2,301,1,32,67,0,57.5,2,8,2,35,4,96.3,0,0,100,19,78,89,.,82,95,95,.,70,84,.,69,100,88.2,20,.,18.9,52,26,4,4,3,50,15,24,60180,66960,47507,42462,13,5.8,11.6,19.2,14.2,7.7,14.9,0,0,100,0,79,10,0,4,7,0,279071,1.125000,3571348,11787,61,30,9,1312922,43,3059888,2892047,9545,56,8,7,10,20,1626350,5367,49,13,18,0,7,1,9,2,1
Rotan,076904,076 FISHER,14,AA,4,320,6,43,48,3,71.9,3,13,2,33,3,94.9,0,3.6,92.9,23,76,93,88,81,86,91,70,73,77,.,70,96,72.2,23.1,.,20.9,77,37,1,3,1,48,21,26,81689,69782,57449,40032,30,4.2,8.7,43.2,10.1,12.1,19.8,3,3,95,0,75,14,0,0,11,0,241900,1.215000,4627494,13691,67,22,12,830669,23,4410765,4121481,12194,55,9,5,14,18,2248617,6653,46,20,18,0,7,1,7,1,1
Floydada,077901,077 FLOYD,17,AA,5,879,5,76,20,0,71.8,9,9,9,24,5,95.4,0,5,90,54,67,83,90,81,75,90,43,63,89,.,58,94,76.1,20,.,19.2,165,79,2,2,6,48,16,26,70006,61011,48133,40773,37,5.3,11.1,33.9,13.7,13.7,16.2,3,16,79,3,81,7,1,3,7,0,246091,1.301000,11013603,12530,55,28,17,1576593,19,11059977,10068340,11454,55,9,6,10,19,5557119,6322,46,12,31,1,4,0,4,1,0
Lockney,077902,077 FLOYD,17,AA,4,555,1,74,24,0,72.6,3,12,3,27,5,96.4,0,2.7,91.9,35,70,86,80,80,79,96,.,63,88,.,61,88,87.9,13.8,.,18.7,104,57,2,3,4,54,18,19,75123,68298,43631,40988,20,5.3,9.8,24.7,15.1,7.2,10.6,0,5,95,0,77,7,9,0,6,1,160843,1.140000,9171252,16645,47,47,5,1338509,25,7063960,5737166,10412,59,8,6,9,18,3391337,6155,57,12,19,1,4,1,5,1,0
Crowell,078901,078 FOARD,09,AA,2,240,3,25,71,1,63.8,0,15,0,35,11,96.1,0,0,100,18,73,89,.,79,76,97,80,62,77,.,66,100,78.6,27.3,.,20.5,43,22,2,2,4,51,16,25,87501,59357,42511,41034,16,5.6,10.9,31.3,13.2,9.9,28.5,0,14,82,5,78,8,2,0,12,0,309705,1.170000,3186493,14684,62,29,9,481138,18,2838498,2785446,12836,53,11,6,13,17,1486418,6850,51,15,17,0,8,0,6,2,0
Lamar Cons,079901,079 FORT BEND,04,RE,36,24535,18,46,29,6,48.6,14,9,15,20,9,96.3,0.1,3.1,88.6,1319,83,94,97,89,88,97,78,77,92,93,75,95,61.2,27.5,994,20.6,3129,1532,1,3,11,49,9,28,95454,76962,57993,52070,43,7.8,16,35.8,11,19.9,10.6,11,15,72,2,72,11,2,6,4,6,402725,1.365000,230956508,9717,29,60,12,43378408,23,276213950,201011813,8457,63,5,5,8,18,125939167,5298,68,17,6,2,3,1,2,1,1
Needville,079906,079 FORT BEND,04,RE,5,2587,4,41,53,2,36.5,9,10,9,29,3,96.7,0,1.1,91.5,181,86,94,96,91,91,98,69,81,91,81,79,95,64.8,22.3,998,21.1,304,166,1,3,5,55,16,20,105526,71553,54537,48585,19,8.5,15.6,20.4,16.4,16,7.6,5,5,89,1,81,7,1,2,6,3,228672,1.520000,25558232,9872,55,39,6,7365888,37,47630165,20949950,8092,59,5,5,9,21,12441401,4805,68,12,7,1,5,1,5,1,0
Fort Bend,079907,079 FORT BEND,04,AA,72,68710,29,26,20,24,35.8,14,6,12,17,7,96.8,0,5.5,90.3,4911,81,93,95,87,86,96,70,73,92,93,69,96,82.7,36.4,1027,22.2,8450,4135,0,2,12,49,6,30,112264,77273,59495,52651,51,8.1,16.6,33.6,11.3,20.7,11.2,26,11,56,7,80,6,0,5,3,5,339870,1.340000,619700519,8973,38,55,8,120996401,25,727650655,549933750,7962,64,5,5,10,16,349699244,5063,58,17,15,1,3,3,1,0,1
Stafford MSD,079910,079 FORT BEND,04,AA,6,3215,39,42,6,13,64.1,14,8,13,32,6,96.1,0.5,5.3,90.9,169,70,90,89,80,75,94,68,66,75,84,67,96,84.6,18.9,939,18.4,406,218,2,3,7,54,9,26,93069,71883,54595,49044,60,7.9,14.8,38.3,11,26.7,10.6,31,12,46,11,70,9,1,10,5,4,629816,1.110000,32461699,10351,15,76,9,5057167,19,30686669,26306922,8389,57,7,5,12,19,14966735,4773,67,14,7,4,3,0,3,1,0
Mount Vernon,080901,080 FRANKLIN,08,RE,4,1561,6,22,68,4,56.6,8,10,8,24,5,96,0,0,97.9,97,83,93,94,90,90,98,71,70,88,82,77,99,42,32.4,1104,20.7,231,125,2,3,5,54,13,23,71662,63993,50833,43512,11,6.7,12.5,25.6,14.1,24.7,7.5,2,1,97,0,73,9,9,1,4,3,571970,1.177000,16744615,10901,25,63,12,4333459,33,33966105,13770691,8965,62,6,4,12,16,8566894,5577,58,18,14,1,4,0,3,1,0
Fairfield,081902,081 FREESTONE,12,AA,4,1769,17,20,60,4,52.1,6,10,6,23,5,95.9,0,0,97.7,127,85,93,92,93,87,98,70,81,90,83,77,97,74.8,23.8,998,19.6,286,155,1,2,7,54,14,22,88543,70558,48608,45984,15,6.2,11.4,26.4,12.9,25.4,9.9,6,0,89,4,69,14,8,0,4,5,1223291,1.228000,27480823,15174,16,73,11,7264892,25,36138301,20991608,11591,57,6,4,13,20,11874653,6557,50,29,11,1,4,0,4,1,1
Teague,081904,081 FREESTONE,12,AA,4,1254,15,23,60,3,49,6,7,6,22,8,95.1,0,6.1,91.5,75,75,90,85,84,84,94,56,69,82,75,66,96,77.6,17.3,933,19.1,234,104,1,3,4,44,15,32,88758,70076,47257,45989,20,5.4,12.1,27.4,12.7,7.2,9.9,5,3,92,0,84,8,1,2,4,0,1250347,1.299000,19432504,15954,19,75,5,13305693,51,39230695,11946864,9809,55,6,5,14,20,6583110,5405,52,11,21,2,4,3,7,1,0
