SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOT2P,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT10R,DA0708DR10R,DADC410R,DAGC410R,DA0GR10N,DA311TA11R,DA311TR11R,DA311TW11R,DA311TM11R,DA311TC11R,DA311TS11R,DB311TA11R,DH311TA11R,DW311TA11R,DD311TA11R,DE311TA11R,DACTA11R,DA0CT10R,DA0CC10R,DA0CS10R,DA0CA10R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Lufkin,003903,003 ANGELINA,07,AA,18,8588,28,39,30,3,73.7,16,12,21,19,11,95.3,0.2,11.2,83.4,517,78,92,95,87,79,95,68,75,88,87,73,94,47,27,981,19.6,1037,617,1,3,10,59,17,9,99726,68686,51137,44444,28,8.3,13.9,28.7,14.3,15.4,6.9,11,8,78,2,67,10,6,7,5,5,245633,1.200000,79822560,9281,46,34,20,18209029,30,89137117,73563411,8553,56,7,5,12,20,41012235,4768,59,16,16,1,3,0,2,1,1
Huntington,003904,003 ANGELINA,07,RE,5,1738,2,6,90,2,51.6,1,10,1,31,7,94.8,0,4.1,91.2,145,78,91,88,88,86,96,58,69,80,53,71,92,30.6,18.9,987,21,261,127,2,4,8,49,9,29,76700,64696,47891,41467,6,6.7,13.7,34,12.6,11,6.4,1,2,96,2,77,12,4,0,5,2,121437,1.450000,16481324,9439,68,18,14,1289029,10,16145906,13267353,7599,54,6,6,11,24,7120387,4078,64,15,9,0,5,0,5,1,1
Diboll,003905,003 ANGELINA,07,AA,6,1989,13,53,33,1,76.4,15,9,14,26,4,95.8,0,8.4,84.1,96,71,90,88,81,77,94,59,70,77,82,68,96,75.6,14.5,983,19,289,141,2,3,7,49,8,32,81978,63038,49731,43575,29,6.9,14.1,37.1,10.7,18.4,13.7,6,8,87,0,74,3,11,1,6,4,133171,1.360000,18385638,9448,62,20,18,3274920,24,18886542,16801204,8634,54,8,5,10,23,9063619,4658,48,13,22,2,5,3,4,2,1
Zavalla,003906,003 ANGELINA,07,RE,2,471,0,3,95,2,62.4,0,11,0,22,6,95,0,3,90.9,30,76,91,89,84,82,95,.,83,77,20,73,85,62.5,13.3,841,.,74,39,4,3,5,52,12,24,68078,66656,38055,42477,1,6.4,12.1,17.6,11.9,10.3,12.5,0,3,95,3,75,7,10,0,8,0,190176,1.385000,5174231,10780,60,21,20,1116320,29,6289315,4169891,8687,63,8,4,8,17,2628967,5477,48,18,25,0,5,1,3,1,0
Central,003907,003 ANGELINA,07,RE,4,1509,4,16,78,2,55.9,3,11,3,24,5,95.7,0,2,96,102,84,94,92,90,87,97,58,76,86,95,79,94,51.2,11.6,913,19.1,217,114,4,3,5,53,9,26,66740,62375,51210,44351,6,7,13.2,25.4,13.1,12.3,8.3,1,4,94,1,80,7,1,1,5,6,174191,1.190000,15555776,10187,66,24,10,5148833,43,17810809,12834452,8405,57,5,6,12,20,7286840,4772,63,15,11,0,5,0,3,1,1
Aransas County,004901,004 ARANSAS,02,RE,5,3087,1,41,52,5,65.2,4,9,4,28,4,95,0.2,4.7,89.5,225,74,88,85,82,88,96,57,66,79,81,68,93,68.5,22.6,970,19.6,500,246,2,3,7,49,11,28,85716,64652,50291,44350,20,6.2,12.6,32.3,12.9,24.7,12.8,1,9,87,3,83,10,1,1,4,0,795738,1.092000,37342522,11855,23,63,13,10187558,29,35139095,32124370,10198,57,5,5,14,19,18371313,5832,57,16,17,0,4,0,4,1,1
Archer City,005901,005 ARCHER,09,RE,2,504,1,7,86,6,35.9,0,11,0,21,7,95.5,0,0,100,28,81,96,97,85,89,99,.,69,81,90,69,97,61.5,31.3,1076,22.9,88,49,1,2,6,55,15,21,72052,75100,48318,42885,3,5.7,10.4,21.6,12.6,7.2,13.1,0,3,89,8,84,6,4,0,6,0,345357,1.100000,5783039,11973,56,39,6,927158,18,5615565,5146018,10654,60,5,5,10,20,3069771,6356,59,13,13,0,6,0,7,1,0
Holliday,005902,005 ARCHER,09,AA,3,896,1,6,92,2,27.1,0,9,0,24,5,96.6,0,0,98.4,59,81,94,96,86,85,92,60,89,81,.,67,100,65.4,38.2,1037,22.5,122,69,2,2,5,56,16,19,85873,71000,44977,39636,8,7.3,13,18.8,14,2.9,1.5,0,4,96,0,82,7,4,0,6,1,278628,1.180000,8004242,9190,55,39,6,1051495,15,7630709,7058818,8104,56,6,5,13,19,3928841,4511,68,11,6,0,6,1,7,1,1
Windthorst,005904,005 ARCHER,09,AA,3,468,0,27,71,2,50.4,13,8,13,38,8,97.6,0,0,94.1,32,86,95,96,92,88,95,.,65,93,88,79,100,80,25,1100,21,67,39,0,4,3,58,8,28,.,60192,50644,42232,8,7,12.1,20.7,15,2.6,15.6,0,0,92,8,80,5,4,3,9,0,132472,1.280000,5416858,11055,74,19,8,96576,2,6391203,4301634,8779,58,6,6,13,17,2488776,5079,58,8,16,1,8,1,8,2,0
Claude,006902,006 ARMSTRONG,16,AA,2,349,2,10,87,1,40.4,1,11,1,34,5,96.8,0,3.7,96.3,26,77,95,93,83,85,96,.,57,79,.,71,96,100,43.5,.,21.1,67,37,4,3,5,56,12,22,72738,65376,53468,42445,7,5.2,9.4,13.5,13.5,14.3,15.6,0,3,92,5,85,3,2,0,10,0,281506,1.200000,4166705,12980,59,33,8,1222463,32,4274698,4008793,12488,58,9,6,10,17,2319349,7225,70,14,7,0,4,0,5,0,0
Charlotte,007901,007 ATASCOSA,20,AU,4,525,1,88,10,0,78.3,6,6,6,37,3,94.5,0,0,94.4,35,49,75,63,60,59,83,.,47,71,.,45,81,72.7,4.2,.,16.8,86,43,2,2,3,50,10,31,82300,66594,50039,47752,58,6.1,12.1,20.7,13.5,20.6,16.3,0,37,61,2,78,9,3,2,8,0,201553,1.280000,6164807,11250,65,24,11,986696,21,6696274,5300827,9673,57,10,6,11,16,3039716,5547,49,10,26,2,8,0,4,1,0
Jourdanton,007902,007 ATASCOSA,20,AA,5,1318,1,59,39,2,59.7,2,8,2,28,7,95.9,0.4,7,90.7,79,73,90,97,84,79,94,.,66,84,63,66,85,40,14.3,910,19.9,196,102,1,4,3,52,12,28,86837,72923,57035,47605,44,6.7,12.9,22.5,14.4,21.6,9.7,1,22,71,7,82,8,0,0,5,5,344620,1.170000,13184967,10390,45,46,10,1869835,17,12538397,12292394,9687,58,7,7,10,18,7149811,5634,60,13,13,0,6,1,4,1,1
Lytle,007904,007 ATASCOSA,20,AA,5,1737,1,78,21,1,72.4,6,7,6,25,5,95.4,0.7,6.5,90.3,114,65,84,84,79,75,96,70,62,77,88,58,95,53.7,5.2,856,17.6,267,123,2,3,9,46,8,32,77580,63155,51706,43546,53,6.5,14.1,45.4,8.9,21.3,12.8,1,37,61,1,70,12,10,0,5,3,122923,1.340000,17360488,10146,64,18,19,1291458,9,17023381,15259076,8918,54,6,5,10,25,8255211,4825,51,13,24,1,5,0,5,1,1
Pleasanton,007905,007 ATASCOSA,20,AA,9,3429,0,69,29,1,64.7,3,8,2,23,6,95.1,0,9.5,81.3,212,73,88,91,84,78,90,.,67,85,81,64,89,45.6,21.8,951,21,559,251,2,3,9,45,14,27,85267,66722,53460,44335,41,6.1,13.7,38.6,10.4,12.7,15.7,0,23,76,1,79,10,3,0,4,4,200071,1.150000,37043086,10879,50,27,23,3790120,15,38400071,34467922,10123,52,7,5,11,25,17733838,5208,54,25,12,0,4,1,2,1,1
Poteet,007906,007 ATASCOSA,20,AA,4,1763,0,86,13,0,80,5,7,4,30,6,94.5,0,3.9,85.9,114,65,85,88,78,69,87,.,63,78,.,62,88,37.6,0,842,19.3,254,119,2,3,7,47,11,31,82308,61541,44099,42979,60,6.9,14.8,36.6,12.5,22.8,17.9,1,46,52,1,82,6,5,0,6,1,101017,1.176000,16173141,9127,74,15,11,3145317,24,16255879,14984572,8456,54,8,6,12,20,8086731,4564,60,11,18,1,4,1,4,1,1
Bellville,008901,008 AUSTIN,06,AA,5,2145,11,26,60,3,44.1,9,10,9,26,12,96.1,0,0,98,150,84,94,94,90,90,96,59,77,91,89,74,97,60.7,37.8,1012,23.3,348,169,1,2,8,49,13,26,89538,66726,50543,44791,18,6.2,12.7,21.3,15.3,15.9,11.3,2,4,95,0,82,8,1,3,6,1,451282,1.260000,23046215,10670,32,60,7,4590685,25,22156703,19534445,9044,54,7,6,13,20,10554509,4886,60,19,7,1,6,1,4,2,1
Sealy,008902,008 AUSTIN,06,AA,4,2620,11,44,43,2,55.8,11,9,10,23,6,95.8,0,6.6,85.5,150,75,87,87,84,84,98,54,71,85,72,67,94,66.9,13.2,977,19.4,363,196,1,3,8,54,14,19,89479,68587,54776,47738,19,7.2,13.4,27.9,12.9,13.4,15.7,4,8,86,2,73,14,1,3,4,5,410303,1.260000,27457009,10524,39,51,9,3636782,17,28511524,25508932,9777,56,6,6,12,20,14352877,5501,61,18,9,1,4,1,4,2,2
Brazos,008903,008 AUSTIN,06,RE,3,821,11,48,39,2,56.4,10,7,10,27,2,96.4,0,5,95,59,79,89,88,87,87,97,69,75,87,.,70,92,55.4,25.8,987,16.8,124,66,3,3,7,53,9,25,70821,70380,51092,46239,23,6.6,12.5,25.7,13.2,18.2,14.3,3,5,91,2,80,7,0,2,6,5,397654,1.395000,9359280,11386,41,51,9,1050448,14,11445406,8395846,10214,55,5,6,16,19,4599462,5595,55,15,16,3,5,1,6,0,0
Muleshoe,009901,009 BAILEY,17,RE,5,1499,0,81,18,1,84.2,15,11,15,21,4,95.7,0,2.6,94.8,73,73,88,91,89,79,95,.,69,90,.,71,86,62.9,25.6,1118,19.9,229,121,2,3,6,53,17,19,93452,61895,48077,41469,29,6.5,12.3,31.3,12.2,18.2,13.4,0,14,84,2,76,8,6,5,2,2,171183,1.390000,17424504,12126,58,24,18,1864109,11,24322699,14019942,9756,59,7,6,9,19,8313019,5785,48,12,27,2,4,0,4,1,2
