"District.Name"
"GALENA PARK ISD"
"GANADO ISD"
"GARLAND ISD"
"GARNER ISD"
"GARRISON ISD"
"GARY ISD"
"GATESVILLE ISD"
"GAUSE ISD"
"GHOLSON ISD"
"GIDDINGS ISD"
"GILMER ISD"
"GLADEWATER ISD"
"GOLD-BURG ISD"
"GOLDTHWAITE ISD"
"GONZALES ISD"
"GOODRICH ISD"
"GOOSE CREEK ISD"
"GORMAN ISD"
"GRAHAM ISD"
"GRAND SALINE ISD"
"GRANDVIEW ISD"
"GRANGER ISD"
"GRAPE CREEK ISD"
"GREENVILLE ISD"
"GREGORY-PORTLAND ISD"
"GROOM ISD"
"GROVETON ISD"
"GUNTER ISD"
"GUSTINE ISD"
"HALE CENTER ISD"
"HALLSBURG ISD"
"HAMILTON ISD"
"HAMLIN ISD"
"HAMSHIRE-FANNETT ISD"
"HAPPY ISD"
"HARDIN ISD"
"HARDIN-JEFFERSON ISD"
"HARLANDALE ISD"
"HARLETON ISD"
"HARLINGEN CISD"
"HARMONY ISD"
"HARROLD ISD"
"HART ISD"
"HARTLEY ISD"
"HARTS BLUFF ISD"
"HASKELL CISD"
"HAWLEY ISD"
"HEARNE ISD"
"HEDLEY ISD"
"HEMPHILL ISD"
"HEMPSTEAD ISD"
"HENDERSON ISD"
"HENRIETTA ISD"
"HEREFORD ISD"
"HERMLEIGH ISD"
"HIDALGO ISD"
"HIGH ISLAND ISD"
"HIGHLAND ISD"
"HILLSBORO ISD"
"HITCHCOCK ISD"
"HOLLAND ISD"
"HOLLIDAY ISD"
"HONEY GROVE ISD"
"HOOKS ISD"
"HOWE ISD"
"HUBBARD (HILL) ISD"
"HUCKABAY ISD"
"HUDSON ISD"
"HUFFMAN ISD"
"HUGHES SPRINGS ISD"
"HUMBLE ISD"
"HUNTINGTON ISD"
"HUNTSVILLE ISD"
"HUTTO ISD \ IDALOU ISD"
"IREDELL ISD"
"ITALY ISD"
"ITASCA ISD"
"JACKSONVILLE ISD"
"JASPER ISD"
"JEFFERSON ISD"
"JIM NED CISD"
"JOAQUIN ISD"
"JOHNSON CITY ISD"
"JONESBORO ISD"
"JOSHUA ISD"
"JOURDANTON ISD"
"JUDSON ISD"
"KARNES CITY ISD"
"KAUFMAN ISD"
"KEENE ISD"
"KELLER ISD"
"KEMP ISD"
"KENEDY ISD"
"KENNARD ISD"
"KENNEDALE ISD"
"KERENS ISD"
"KERMIT ISD"
"KIRBYVILLE CISD"
"KLEIN ISD"
"KNIPPA ISD"
"KNOX CITY-O'BRIEN ISD"
"KOPPERL ISD"
"KOUNTZE ISD"
"KRESS ISD"
"LA FERIA ISD"
"LA GLORIA ISD"
"LA JOYA ISD"
"LA POYNOR ISD"
"LA PRYOR ISD"
"LA VEGA ISD"
"LA VERNIA ISD"
"LA VILLA ISD"
"LAKE DALLAS ISD"
"LAKE WORTH ISD"
"LAMESA ISD"
"LAMPASAS ISD"
"LANEVILLE ISD"
"LATEXO ISD"
"LAZBUDDIE ISD"
"LEARY ISD"
"LEONARD ISD"
"LEVERETT'S CHAPEL ISD"
"LEWISVILLE ISD"
"LEXINGTON ISD"
"LIBERTY ISD"
"LIBERTY-EYLAU ISD"
"LINDALE ISD"
"LINDSAY ISD"
"LINGLEVILLE ISD"
"LIPAN ISD"
"LITTLE CYPRESS-MAURICEVILLE CISD"
"LITTLEFIELD ISD"
"LIVINGSTON ISD"
"LOCKHART ISD"
"LOCKNEY ISD"
"LOHN ISD"
"LOMETA ISD"
"LONE OAK ISD"
"LONGVIEW ISD"
"LORAINE ISD"
"LORENA ISD"
"LOS FRESNOS CISD"
"LOUISE ISD"
"LUBBOCK ISD"
"LUBBOCK-COOPER ISD"
"LUEDERS-AVOCA ISD"
"LUFKIN ISD"
"LULING ISD"
"LUMBERTON ISD"
"LYFORD CISD"
"LYTLE ISD"
"MABANK ISD"
"MADISONVILLE CISD"
"MAGNOLIA ISD"
"MALONE ISD"
"MALTA ISD"
"MANOR ISD"
"MARATHON ISD"
"MARFA ISD"
"MARLIN ISD"
"MARSHALL ISD"
"MART ISD"
"MARTINS MILL ISD"
"MARTINSVILLE ISD"
"MASON ISD"
"MATHIS ISD"
"MAUD ISD"
"MAY ISD"
"MAYPEARL ISD"
"MCALLEN ISD"
"MCDADE ISD"
"MCGREGOR ISD"
"MCLEOD ISD"
"MEADOW ISD"
"MELISSA ISD"
"MEMPHIS ISD"
"MENARD ISD"
"MERCEDES ISD"
"MERIDIAN ISD"
"MERKEL ISD"
"MESQUITE ISD"
"MIDLOTHIAN ISD"
"MILANO ISD"
"MILES ISD"
"MILFORD ISD"
"MILLER GROVE ISD"
"MILLSAP ISD"
"MINEOLA ISD"
"MINERAL WELLS ISD"
"MISSION CISD"
"MONTAGUE ISD"
"MONTE ALTO ISD"
"MORAN ISD"
"MORGAN ISD"
"MORTON ISD"
"MOTLEY COUNTY ISD"
"MOULTON ISD"
"MOUNT CALM ISD"
"MOUNT ENTERPRISE ISD"
"MOUNT PLEASANT ISD"
"MUENSTER ISD"
"MULESHOE ISD"
"MULLIN ISD"
"MUMFORD ISD"
"MUNDAY CISD"
"MURCHISON ISD"
"NACOGDOCHES ISD"
"NAVARRO ISD"
"NAZARETH ISD"
"NECHES ISD"
"NEEDVILLE ISD"
"NEW BOSTON ISD"
"NEW BRAUNFELS ISD"
"NEW CANEY ISD"
"NEW DEAL ISD"
"NEW DIANA ISD"
"NEW HOME ISD"
"NEW SUMMERFIELD ISD"
"NEWCASTLE ISD"
"NEWTON ISD"
"NIXON-SMILEY CISD"
"NORMANGEE ISD"
"NORTH HOPKINS ISD"
"NORTH LAMAR ISD"
"NORTH ZULCH ISD"
"NORTHSIDE (BEXAR) ISD"
"NORTHSIDE (WILBARGER) ISD"
"NUECES CANYON CISD"
"ODEM-EDROY ISD"
"OGLESBY ISD"
"OLFEN ISD"
"OLNEY ISD"
"OLTON ISD"
"ORANGE GROVE ISD"
"ORANGEFIELD ISD"
"ORE CITY ISD"
"OVERTON ISD"
"PADUCAH ISD"
"PAINT CREEK ISD"
"PAINT ROCK ISD"
"PALESTINE ISD"
"PALMER ISD"
"PAMPA ISD"
"PANHANDLE ISD"
"PANTHER CREEK CISD"
"PARADISE ISD"
"PARIS ISD"
"PEARSALL ISD"
"PEASTER ISD"
"PENELOPE ISD"
"PERRIN-WHITT CISD"
"PETERSBURG ISD"
"PETROLIA ISD"
"PETTUS ISD"
"PEWITT CISD"
"PFLUGERVILLE ISD"
"PHARR-SAN JUAN-ALAMO ISD"
"PILOT POINT ISD"
