SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Comal,046902,046 COMAL,13,AA,16,14188,2,28,69,1,29.1,4,11,4,20,11,95.6,0.1,4,890,88,80,93,95,84,84,95,67,70,83,86,67,95,70.2,26.5,1008,21.4,1776,913,1,2,8,51,8,29,91306,66176,49134,44244,17,8,15.5,27.3,12.9,22.5,12.3,0,7,93,0,74,10,4,3,5,5,480603,1.640000,120695275,9004,10,84,6,28407806,27,146561597,91880957,6855,58,5,5,12,20,53109217,3962,64,18,7,2,4,2,3,0
Comanche,047901,047 COMANCHE,14,AA,4,1340,1,42,57,1,61.2,8,12,8,22,9,96.5,0.4,3.8,94,86.5,74,91,95,81,73,90,.,65,80,.,67,84,55.4,15.2,892,19.5,199,108,1,3,3,54,14,25,65850,60750,44955,39909,17,6.7,12.4,26.5,13.8,1.4,9.2,0,4,96,0,70,8,7,5,6,5,167648,1.130000,10025794,7383,50,37,13,998127,11,10346712,9865522,7265,63,5,6,10,17,6173177,4546,62,11,16,1,4,2,4,0
De Leon,047902,047 COMANCHE,14,AA,3,665,0,33,66,1,51.6,4,10,4,32,4,96.6,0,2.3,39,90.7,71,90,85,78,65,87,.,55,78,.,58,89,47.1,12.5,894,15.3,112,57,1,3,4,51,17,23,76400,56569,43668,39122,10,5.9,11.6,30.8,12.8,3.5,9.3,0,3,97,0,68,8,11,2,8,2,197278,1.249000,6641060,10344,43,36,21,715973,15,6322411,5929972,9237,59,8,4,10,19,3489059,5435,43,31,17,1,5,1,3,0
Gustine,047903,047 COMANCHE,14,AA,1,209,0,55,45,1,72.2,22,8,22,41,4,98.2,0,0,14,85.7,55,82,90,68,54,80,.,47,66,.,50,.,54.5,0,892,16.2,35,19,3,4,11,53,6,23,70000,57210,34260,37263,9,5.9,11.3,29.6,13.1,17.4,28.6,0,5,95,0,70,4,5,5,9,7,166659,1.404000,1979105,9561,56,31,13,333935,20,2128145,1860151,8986,51,15,5,12,16,956593,4621,61,7,15,4,8,0,5,0
Sidney,047905,047 COMANCHE,14,AA,1,134,0,16,84,1,69.4,2,10,2,41,2,96.8,0,16.7,5,83.3,64,90,95,71,63,88,.,69,63,.,61,88,.,.,.,.,25,13,4,2,0,50,16,27,75500,46750,.,40163,4,5.3,10.6,27.7,13.7,11.8,7.8,0,0,92,8,73,8,3,0,16,0,121217,1.210000,1363841,10028,73,20,7,502543,43,1228128,1228128,9030,61,13,1,11,14,749783,5513,59,17,11,0,9,0,4,0
Eden Cons,048901,048 CONCHO,15,AA,6,285,3,44,53,1,55.8,3,14,3,45,5,95.6,0,10.3,26,89.7,67,91,97,78,65,92,71,55,76,.,70,87,82.6,0,856,16.5,55,30,1,4,7,54,11,23,87609,60396,38099,39774,19,5.2,9.5,18.5,14.5,10,12.5,0,0,100,0,82,5,3,0,10,0,425277,1.363000,3398183,11638,37,56,7,151425,5,3176882,3059207,10477,52,13,5,10,19,1601338,5484,58,10,16,0,8,1,5,2
Paint Rock,048903,048 CONCHO,15,AA,2,148,0,45,55,0,27,1,10,1,33,3,96.1,0,0,19,100,71,95,94,77,67,89,.,63,77,.,71,.,60,0,.,19.8,30,18,3,4,2,59,8,23,63000,46782,16937,37278,15,4.9,8.2,43.2,10.8,5.6,11.4,0,8,92,0,81,9,3,0,7,0,405617,1.370000,1517919,10842,30,61,9,424833,28,1762802,1632553,11661,53,15,4,10,17,868702,6205,58,12,15,0,9,1,5,0
Gainesville,049901,049 COOKE,11,AA,6,2923,9,39,51,1,60.2,17,13,17,16,9,95.4,0,8.5,157,76,63,84,91,72,66,88,56,50,72,76,58,91,55.3,20.5,995,19.6,442,221,1,3,7,50,15,24,80117,60779,48114,42074,11,6.6,13.2,27.7,13.4,15.8,17.2,4,3,93,0,76,9,5,4,4,2,243588,1.708000,26560430,8937,41,47,13,5857880,27,28017314,24042353,8090,56,6,5,14,19,13521117,4550,53,18,19,2,4,0,4,1
Muenster,049902,049 COOKE,11,AA,2,514,0,4,95,1,19.5,1,16,1,27,5,97.4,0,0,45,95.5,86,99,.,87,90,98,.,.,86,.,69,84,82.1,31.3,1018,22.9,74,45,1,4,3,61,10,20,79300,56752,44647,39783,1,7,11.4,31,9.9,8.6,25.7,0,2,98,0,85,6,0,0,8,1,339036,1.424000,4609053,8395,41,56,3,902819,21,4288649,3811384,6942,59,10,6,10,15,2258978,4115,71,11,5,0,7,0,6,0
Valley View,049903,049 COOKE,11,AA,3,669,0,11,88,0,28.8,4,14,4,41,6,97.1,0,0,36,87.5,69,92,96,74,77,90,.,44,72,.,63,88,77.4,20.8,987,18.5,98,54,3,3,6,55,7,26,48389,60665,49084,41158,5,6.8,12.4,18.6,13.5,20.7,13.6,0,4,94,2,77,7,0,0,12,4,223287,1.452000,5535675,8582,53,43,4,1107601,21,5240073,4835719,7497,58,7,7,12,17,2792586,4330,60,15,12,0,8,1,4,0
Callisburg,049905,049 COOKE,11,AA,2,1069,0,6,92,2,43.5,3,10,3,25,7,96.2,0,4,69,89.3,74,94,98,80,78,91,.,66,75,45,69,93,42.9,29.6,1041,25.3,155,86,1,3,6,55,5,29,92209,63036,42383,42016,6,6.9,12.5,23.1,14.5,27,14.6,0,0,98,2,82,8,1,2,5,1,438822,1.395000,10762640,9956,25,64,11,1470715,17,10044879,9417100,8711,55,10,4,10,21,5173481,4786,53,31,6,0,4,1,5,1
Era,049906,049 COOKE,11,RE,1,373,0,7,93,0,24.1,1,14,1,36,8,97,0,0,28,96.4,80,95,94,86,75,96,.,78,80,.,78,88,70.4,36.8,1009,25.2,60,37,3,6,5,61,3,22,52172,55998,43439,40949,2,6.2,10.1,29.9,13.4,17.5,18.9,0,0,100,0,85,5,0,0,7,3,214614,1.423000,3433820,8942,57,38,5,981348,31,3219466,3046244,7933,58,6,7,11,18,1751892,4562,71,11,9,0,5,0,5,0
Lindsay,049907,049 COOKE,11,EX,2,509,0,2,96,2,3.5,0,7,0,43,6,98.1,0,2.3,42,95.5,91,97,97,95,93,97,.,.,91,80,91,90,67.5,44.4,1098,23.2,60,39,2,4,5,64,7,19,77900,55792,42100,44264,2,8.5,13.2,11.3,16,15.7,14,0,3,97,0,80,5,4,0,8,4,299196,1.320000,4357374,8561,40,56,4,983783,28,4006373,3690390,7250,59,8,5,11,17,2181631,4286,73,9,3,0,7,2,6,0
Walnut Bend,049908,049 COOKE,11,AU,1,79,0,4,96,0,70.9,0,19,0,0,0,96.2,0,.,0,.,71,93,80,71,.,.,.,.,69,.,71,82,.,.,.,.,14,6,5,2,7,43,29,14,77200,77200,31399,39800,14,5.6,13.2,16.7,12.3,16.7,16.7,0,0,83,17,75,15,10,0,0,0,255478,1.370000,861157,13456,68,26,6,329914,44,776906,742951,11609,57,9,8,8,17,423761,6621,69,18,13,0,0,0,0,0
Sivells Bend,049909,049 COOKE,11,AA,1,63,0,22,76,2,57.1,6,10,6,0,3,95.4,0,.,0,.,64,96,.,63,.,.,.,50,68,.,58,70,.,.,.,.,13,7,3,1,3,52,15,26,67499,67499,67499,42474,0,4.7,9.1,43.3,15.9,27.8,0,0,0,100,0,75,10,13,2,0,0,1464683,1.166000,898902,16344,11,80,9,398188,33,905285,784492,14263,52,18,4,12,15,404585,7356,68,15,15,0,0,0,1,0
Evant,050901,050 CORYELL,12,AA,2,313,1,17,82,1,48.6,8,12,6,37,3,96.1,1.4,0,20,100,64,88,.,73,63,93,.,46,68,.,61,97,57.9,9.1,.,18.9,49,26,4,2,2,53,12,27,55000,54000,46754,39959,6,6.4,12.1,19,11.5,3.9,20.9,0,0,100,0,85,2,4,0,8,2,201956,1.280000,2679246,8533,59,32,8,476037,19,2884401,2452911,7812,53,12,6,12,18,1291440,4113,60,9,21,1,5,1,3,0
Gatesville,050902,050 CORYELL,12,AA,5,2764,4,14,81,1,43,3,18,3,22,4,95.2,0,5.2,178,79.7,73,93,89,81,74,91,66,62,75,90,65,92,63.6,21.9,966,20.3,369,193,1,2,5,52,13,27,81044,65991,41924,39536,8,7.5,14.3,30.6,13.4,13.1,11.7,0,2,97,1,73,11,7,1,5,3,167806,1.369000,21739523,7879,62,31,7,6607596,36,19575093,17742168,6431,57,5,6,11,21,10081981,3654,59,20,10,0,6,1,4,1
Oglesby,050904,050 CORYELL,12,RE,1,175,3,20,77,0,46.9,1,20,1,38,5,96.9,0,0,8,100,72,93,94,79,85,87,.,79,71,.,79,.,100,14.3,.,20.4,28,17,4,0,14,61,7,14,65000,.,25532,39648,14,6.3,10.3,11.8,13.2,11.8,22.2,0,6,94,0,85,9,0,0,6,0,163024,1.304000,1770996,10062,45,50,5,136177,10,1629032,1454583,8265,60,11,6,10,13,874819,4971,64,14,13,0,9,0,0,0
Jonesboro,050909,050 CORYELL,12,AA,1,164,0,7,93,1,40.2,3,10,1,34,1,95.8,3.3,0,15,100,61,87,96,70,72,85,.,50,62,.,52,.,33.3,.,.,.,36,19,2,3,0,54,8,34,66667,43062,.,38400,0,4.6,8.6,31.4,13.4,21.5,15.8,0,0,100,0,81,6,2,0,10,1,280861,1.270000,1736448,10096,58,37,6,348546,22,1826972,1705810,9918,57,10,6,12,16,973957,5663,71,11,7,0,7,1,4,0
Copperas Cove,050910,050 CORYELL,12,AA,12,7788,26,14,56,4,39.8,1,11,1,19,4,95.6,0.5,10.8,418,80.2,74,92,91,81,75,92,65,70,78,78,68,90,57.6,23.3,967,20.1,1169,523,1,2,7,45,13,32,92369,67218,51582,43877,21,6.7,14.9,37.5,10.5,12.2,16.2,9,7,83,2,72,11,9,0,3,3,121418,1.478000,65579194,8965,50,26,25,10022503,18,66980552,56469830,7720,58,8,6,9,19,32792235,4483,62,19,9,1,3,1,4,2
Paducah,051901,051 COTTLE,17,AA,1,262,19,31,50,0,64.5,1,13,1,32,5,96.5,0,0,15,100,47,77,79,57,56,79,29,38,57,.,40,73,72.7,12.5,.,19,44,25,2,2,0,56,20,20,45000,50000,.,40321,5,5.9,10.7,12.2,15.6,12.2,18,0,0,100,0,81,6,2,0,11,0,493432,1.308000,2837525,12445,33,57,10,2246232,90,2368329,2368329,10387,60,11,4,9,16,1420797,6232,46,13,24,0,11,1,6,0
Crane,052901,052 CRANE,18,AA,3,960,2,63,35,1,46.7,11,11,11,17,8,95,0,25,2,33.3,63,87,92,72,61,84,44,60,69,.,60,89,.,11.4,960,18.9,159,90,3,2,8,57,10,20,72082,65613,54494,46475,25,6,10.7,17.8,16.5,11.1,17,1,13,86,0,81,6,3,2,4,3,1819025,1.370000,15516135,17032,7,88,5,7175701,28,12170526,11636210,12773,53,10,3,13,21,6195858,6801,66,11,7,2,5,1,8,0
Crockett County Cons CSD,053001,053 CROCKETT,15,AA,4,765,0,69,30,1,40.1,14,12,14,23,6,96.6,0,1.7,55,94.9,63,91,96,73,68,85,.,55,84,.,60,94,63,24.1,926,20.5,158,78,1,2,6,49,15,27,61281,45241,40389,41883,38,4.8,9.8,25.7,12.8,9,23.3,0,12,88,0,76,7,7,1,8,1,2746751,1.370000,10475446,13783,10,85,5,4014181,14,8779745,8578905,11288,56,7,5,17,15,4787998,6300,64,9,17,1,3,1,5,0
Crosbyton Cons,054901,054 CROSBY,17,AA,4,452,5,73,22,0,73.5,4,17,4,37,6,95.3,0,3.2,31,96.8,61,85,87,74,59,83,.,57,79,.,57,98,75,16.7,.,18.3,88,49,2,5,4,55,11,23,66453,58842,45339,38333,28,5.1,9.3,32.8,12.2,6.9,20.7,0,8,92,0,81,6,0,2,11,0,134500,1.370000,6478007,14206,49,25,26,751658,16,4956525,4739121,10393,59,9,5,12,15,2796737,6133,42,10,39,1,5,1,3,0
Lorenzo,054902,054 CROSBY,17,AA,2,321,7,73,20,0,85.7,10,24,10,27,7,96.5,0,8,23,84,53,83,83,61,67,78,55,45,79,.,48,95,75,8.3,.,18.7,76,37,3,5,1,49,12,31,59385,55082,52934,38497,37,4.2,8.6,37.5,12.6,9.5,27.7,3,11,87,0,80,7,3,4,6,1,224495,1.291000,6288726,17765,23,55,22,1736373,43,5841828,5408506,15278,57,9,3,9,21,3097874,8751,31,43,18,1,4,0,5,0
Ralls,054903,054 CROSBY,17,AA,4,534,2,72,26,0,80.3,2,18,2,27,9,95.7,0,5.8,46,88.5,67,82,85,80,56,92,60,62,79,.,62,99,41.2,14.3,.,19.9,101,53,2,6,4,53,13,22,63457,48341,39650,34835,31,5.3,10.1,56.7,8.3,5.7,25.2,0,13,85,2,77,8,9,0,7,0,144568,1.270000,6603733,11485,13,71,16,1352190,29,5963752,5354203,9312,59,6,5,10,20,3142669,5466,63,12,16,1,5,0,4,0
Culberson County-Allamoore,055901,055 CULBERSON,18,AA,3,578,0,83,16,2,77.2,11,9,10,22,7,95.1,0,8.9,37,88.9,48,82,89,56,53,89,.,42,71,83,42,78,86.2,4,799,16.4,104,59,2,3,4,57,8,27,63922,63498,38336,40378,65,5.6,9.8,30.5,11.6,27.1,27,0,51,49,0,82,7,3,1,4,1,440152,1.423000,7661713,12540,24,64,12,1129470,18,8226963,6644344,10875,51,14,6,11,18,3389328,5547,53,9,25,1,6,0,6,0
Dalhart,056901,056 DALLAM,16,AA,5,1567,1,39,59,1,58.6,8,13,7,28,4,95.7,0.7,4.3,93,93.6,63,88,93,70,71,94,44,47,72,57,51,82,75.9,30,1095,21,269,133,1,3,5,49,18,23,83073,62561,43519,37996,20,5.8,11.8,48.2,8.2,0.1,28.5,0,6,94,0,81,9,2,2,5,1,260412,1.577000,12446637,7828,39,49,12,1410593,13,15850540,12241554,7699,58,7,6,10,19,7055551,4437,56,16,18,2,4,0,3,1
Texline,056902,056 DALLAM,16,AA,1,153,0,29,69,2,58.8,14,10,12,18,3,96.2,0,0,7,100,55,84,69,63,66,94,.,41,63,.,40,36,85.7,33.3,.,20,27,16,4,2,1,60,15,18,68000,52000,41254,39721,4,5.6,9.4,44.5,12,19.9,20.3,0,0,100,0,86,4,3,0,6,0,482846,1.350000,1649863,11300,18,71,11,407008,27,1643183,1472713,10087,55,15,5,9,17,804997,5514,67,11,16,1,3,1,1,0
Pegasus Sch of Liberal Arts,057802,057 DALLAS,10,EA,1,257,30,66,4,0,72,23,16,22,0,0,95.9,0,0,26,92.9,64,87,94,71,60,90,52,69,67,.,68,96,85,0,850,15.6,32,19,5,15,5,58,15,2,73237,46416,45511,37951,54,7.9,13.7,78.7,3.8,5.3,43.6,50,2,43,5,89,10,1,0,0,0,0,0.000000,1936677,7392,90,1,9,1156320,58,1847307,1837761,7014,60,9,7,20,4,1098420,4192,72,12,15,1,0,0,0,0
North Hills,057803,057 DALLAS,10,AA,1,1185,6,11,40,43,0,3,4,3,6,0,97.4,0,0,52,91.2,90,99,98,92,92,99,82,79,89,95,.,.,.,58.2,1156,24.4,116,86,2,5,10,74,2,8,67501,48685,37755,38559,19,10.2,13.7,68.7,4.9,29.1,29.4,7,7,79,7,98,2,0,0,0,0,0,0.000000,6767825,7185,85,12,3,424233,6,6818180,6541911,6945,58,5,5,27,5,3781388,4014,95,5,0,0,0,0,0,0
Dallas Can Academy Charter,057804,057 DALLAS,10,EA,4,1802,49,47,3,1,79,27,12,21,32,0,88.9,.,23.2,414,24.2,15,52,.,20,24,57,13,15,29,40,15,78,0.3,.,.,.,307,94,1,6,13,31,4,46,36413,48917,39401,37909,74,5.9,19.2,72.3,3.9,1.1,58.2,64,9,26,2,60,30,0,1,9,0,0,0.000000,16135510,9425,80,3,17,3320728,24,14668587,14559071,8504,44,9,16,15,16,6454884,3770,59,19,19,2,2,0,0,0
Dallas Community Charter,057805,057 DALLAS,10,RE,1,168,6,70,20,4,64.9,47,9,44,0,0,95.7,.,.,0,.,70,.,.,70,.,.,.,67,.,.,69,.,.,.,.,.,19,10,5,7,6,50,32,0,6765,56517,48148,34257,61,8.7,17.4,41.3,4.2,23.6,10.8,30,21,39,10,65,4,30,1,0,0,0,0.000000,1253620,7331,77,16,8,257409,28,1112682,1110838,6496,59,11,12,9,8,656616,3840,50,9,39,3,0,0,0,0
Eagle Advantage,057806,057 DALLAS,10,AA,1,1212,18,53,29,1,67.6,11,5,11,4,1,95.6,3.2,.,0,.,43,78,89,51,50,86,37,41,49,.,42,84,.,.,.,.,138,51,1,2,0,37,3,58,132000,58495,.,29426,62,8.8,24,94.1,1.4,7.2,50.3,24,20,50,6,95,2,0,0,1,2,0,0.000000,5144616,7195,84,3,13,74662,1,4351966,4327397,6052,35,21,5,24,15,1507063,2108,18,21,60,0,0,0,0,0
Life,057807,057 DALLAS,10,AA,2,2171,47,22,30,2,41.5,6,12,6,0,8,96.7,0,0,46,93.9,77,93,97,83,74,95,71,72,89,93,72,99,66.7,11.5,880,18.5,231,116,2,6,6,50,9,27,107143,53286,51345,39573,30,9.4,18.8,74,4.6,13.3,23.6,7,10,83,1,90,7,0,1,0,3,0,0.000000,13806778,7030,88,3,9,241160,2,12230896,12059103,6140,49,8,8,25,10,5903421,3006,69,9,16,1,0,1,5,0
Universal Academy,057808,057 DALLAS,10,AA,2,1260,51,20,9,20,53.8,12,4,10,0,3,96.2,0,0,7,83.3,72,90,85,79,67,95,64,70,87,97,63,81,66.7,.,.,.,128,88,2,3,14,69,12,0,71000,38250,37640,38047,68,9.8,14.3,73.9,4.1,19.3,43.1,57,6,36,1,94,3,0,2,0,0,0,0.000000,8969123,7732,83,9,8,-2597355,-42,8470510,8086499,6971,47,15,4,20,14,3799231,3275,84,6,9,0,0,0,0,0
Nova Academy,057809,057 DALLAS,10,AA,1,148,43,55,3,0,91.2,41,5,41,0,0,95.8,.,.,0,.,69,77,94,79,73,.,58,73,.,.,69,75,.,.,.,.,23,15,5,0,24,63,9,0,44167,.,31786,32444,81,6.3,10.1,61.4,4.8,18.1,44.4,70,0,30,0,84,9,7,0,0,0,0,0.000000,879569,7037,86,2,12,12120,1,823307,823307,6586,62,6,4,15,13,507955,4064,80,2,16,2,0,0,0,0
Academy of Dallas,057810,057 DALLAS,10,AU,1,571,80,19,1,0,94.4,4,5,4,0,0,93.5,2.5,.,0,.,40,62,77,53,26,.,31,56,.,.,40,69,.,.,.,.,63,38,0,5,14,59,19,3,.,42047,25803,27482,95,9,15.2,76.4,4.9,2.7,52.7,89,3,8,0,69,5,24,3,0,0,0,0.000000,3302691,6659,83,0,17,-447412,-16,3589011,3532238,7121,50,10,19,15,7,1749469,3527,62,8,29,2,0,0,0,0
Children First Acad-Dallas,057811,057 DALLAS,10,RE,1,315,99,1,0,0,100,0,5,0,0,0,96.7,0,.,0,.,69,84,83,85,80,.,69,.,.,.,69,79,.,.,.,.,48,14,10,6,0,29,12,42,52100,38200,.,30707,100,6.5,22.5,92.9,2.1,0,53.1,100,0,0,0,79,0,21,0,0,0,0,0.000000,1935300,6010,92,0,8,893368,93,1747000,1747000,5425,28,40,4,4,24,493000,1531,100,0,0,0,0,0,0,0
Trinity Basin Preparatory,057813,057 DALLAS,10,AA,1,444,4,96,0,0,91.9,51,5,50,0,0,96.4,0,.,0,.,72,85,91,82,56,96,67,72,.,.,72,78,.,.,.,.,58,31,2,2,33,54,9,2,92176,52000,22578,37353,22,7.7,14.3,96.8,1.7,9.7,38.3,10,3,87,0,84,10,0,6,0,0,0,0.000000,3920294,7952,80,1,19,84683,3,3879387,3869507,7849,57,12,3,28,1,2193086,4448,62,5,33,0,0,0,0,0
Dallas County Juv Justice,057814,057 DALLAS,10,EA,1,658,48,40,12,1,100,5,15,5,0,0,96.5,5.9,26.5,0,0,35,69,75,25,33,69,24,46,53,.,35,80,.,.,.,.,103,60,2,7,7,58,11,16,87392,67908,60888,56520,74,6.4,11,68.3,8.4,16.7,4.8,65,5,28,2,87,13,0,0,0,0,0,0.000000,6140372,9360,100,0,0,1551582,23,6100087,6100087,9299,63,10,15,1,10,3864842,5892,55,18,24,1,2,0,0,0
Faith Family Acad-Oak Cliff,057815,057 DALLAS,10,AU,1,1333,68,31,0,0,83.8,11,8,18,11,2,94.3,0.5,2.9,32,94.3,23,56,69,30,26,55,20,27,.,.,23,72,31.3,0,735,15.8,178,83,0,1,18,47,1,34,157500,60042,46565,36936,64,7.5,16,83.1,3.4,0,65.9,40,6,54,0,98,2,0,0,0,0,0,0.000000,9357740,7998,79,1,20,1159602,16,8962732,8962732,7660,64,6,4,16,10,5732464,4900,61,12,18,4,4,0,1,0
A W Brown-Fellowship Chart,057816,057 DALLAS,10,RE,2,1104,98,2,0,0,82.3,0,13,0,0,0,97.7,.,.,0,.,89,98,94,93,88,.,89,78,.,.,88,98,.,.,.,.,91,47,0,5,4,52,18,21,.,53626,48068,38632,96,12.1,23.5,100,0,0,22.2,96,0,4,0,94,6,0,0,0,0,0,0.000000,7362509,7141,83,5,12,3455356,62,5968281,5619079,5450,53,12,6,12,16,2987880,2898,71,11,17,0,0,0,0,0
Focus Learning Academy,057817,057 DALLAS,10,EA,1,381,80,19,0,1,57.5,0,22,0,0,0,95.3,0,.,0,.,32,64,76,41,19,75,31,37,.,.,24,96,.,.,.,.,35,24,3,11,9,68,9,0,140000,57179,68405,41005,94,11,16,87.5,3.3,4.2,33.3,100,0,0,0,92,8,0,0,0,0,0,0.000000,3297105,7832,87,5,8,-284664,-10,3421952,3316037,7877,46,22,6,12,14,1528909,3632,70,16,14,0,0,0,0,0
I Am That I Am Academy,057818,057 DALLAS,10,EA,1,105,94,5,1,0,100,0,0,0,0,0,79.3,0,0,0,26.7,11,58,.,15,17,48,11,.,.,.,10,.,.,.,.,.,9,7,0,0,0,78,0,22,.,.,.,34357,78,11.7,15,100,0,0,33.3,86,0,14,0,100,0,0,0,0,0,0,0.000000,799944,9090,67,13,20,.,.,885399,824098,9365,44,19,9,14,14,358803,4077,74,5,21,0,0,0,0,0
Jean Massieu Academy,057819,057 DALLAS,10,AU,1,114,34,48,18,0,70.2,0,49,0,6,0,93.5,0,.,1,.,17,75,60,33,13,29,.,20,20,.,8,80,.,.,.,.,22,16,0,5,2,71,0,22,.,40000,30000,31979,31,5.2,7.3,93.6,3.1,0,44.4,19,0,81,0,0,100,0,0,0,0,0,0.000000,1685548,12303,82,0,18,695871,109,1155942,1139909,8321,50,10,5,13,23,567385,4141,37,19,42,0,2,0,0,0
School of Lib Arts & Sci,057821,057 DALLAS,10,AU,1,545,2,98,0,0,88.1,24,4,14,7,0,96,0,.,0,.,61,85,88,71,37,94,83,61,.,.,59,.,.,.,.,.,72,40,1,3,29,56,8,3,92176,55000,21381,35921,25,7.6,13.6,92.5,1.6,15,64.2,7,10,83,0,84,5,0,10,1,0,0,0.000000,3988509,7226,80,1,19,159112,5,4231984,4230822,7665,56,11,4,23,5,2368046,4290,62,10,28,0,0,0,0,0
Honors Academy,057825,057 DALLAS,10,EA,7,889,24,28,47,1,57.4,0,11,2,50,0,92.2,2.2,38.3,77,45.2,45,80,91,49,55,81,26,39,57,17,42,80,.,37.4,1021,.,116,61,3,6,12,53,2,24,77674,49441,30730,33585,41,7.7,14.5,96.1,0.7,21.2,68.5,34,5,58,3,86,11,0,0,2,0,0,0.000000,6282500,7444,80,3,17,2525505,37,7381223,7366578,8728,44,13,9,16,18,3212221,3806,52,15,24,1,6,0,0,2
Nova Academy (Southeast),057827,057 DALLAS,10,AA,1,275,55,45,0,0,95.3,31,4,30,0,0,96.6,.,.,0,.,45,70,62,64,56,.,38,57,.,.,48,94,.,.,.,.,36,20,5,6,15,55,20,0,80033,52081,29125,37308,90,7.7,14,55.9,5.8,25.4,45,86,0,14,0,71,3,20,5,0,0,0,0.000000,2277615,8760,76,1,24,333800,23,2084923,2084923,8019,65,14,4,7,9,1355016,5212,71,8,21,1,0,0,0,0
Winfree Academy,057828,057 DALLAS,10,EA,5,1823,16,26,55,3,38.6,9,13,6,94,0,81.3,.,31.4,342,24.8,40,78,.,38,51,83,19,39,47,23,35,69,6.1,10,985,18.2,159,66,1,3,26,42,2,27,146986,53409,41779,43037,24,11.5,27.6,79.5,3.9,19.7,48.6,20,2,73,6,58,42,0,0,0,0,0,0.000000,9517748,6266,94,1,5,1753735,18,9378734,9274193,6105,43,11,14,23,8,3996592,2631,52,16,7,3,22,0,0,0
A+ Academy,057829,057 DALLAS,10,AA,1,994,10,72,18,1,70.5,32,11,30,7,4,96.2,0,.,27,.,46,75,75,55,51,81,46,45,50,57,47,96,55,0,826,.,155,74,2,3,13,48,17,17,80575,69300,37909,38832,45,6.4,13.5,84,3.2,29.7,52.3,20,11,64,5,56,13,1,9,5,15,0,0.000000,1649623,1717,6,4,90,-326349,-6,8111479,8111479,8441,51,12,5,16,15,4168657,4338,63,14,7,7,2,0,6,0
Inspired Vision Academy,057830,057 DALLAS,10,AU,2,670,17,77,6,1,80.4,40,4,40,0,0,97.9,2.3,.,0,.,54,80,81,66,33,88,47,54,72,.,56,97,.,.,.,.,118,49,2,4,12,41,14,28,40722,49073,33767,36908,49,5.7,13.8,97.9,1.1,2.1,36.8,37,6,56,0,80,6,4,8,1,0,0,0.000000,156232,283,2,0,98,-274411,-11,4616363,4616363,8348,46,16,9,15,13,2137577,3865,63,10,16,10,0,0,2,0
Gateway Charter Academy,057831,057 DALLAS,10,AA,1,594,97,2,0,0,86.2,1,10,1,0,0,96.4,1.1,.,0,.,59,88,90,67,49,86,59,80,.,.,60,78,.,.,.,.,80,41,3,5,30,51,11,0,100165,53694,24691,37106,92,7.4,14.4,94.8,0.8,12.2,36.7,85,2,10,2,86,7,5,0,2,0,0,0.000000,4244643,7860,83,1,16,0,0,4027492,3978541,7368,40,19,8,21,11,1603118,2969,54,17,24,0,0,0,5,0
Alpha Charter,057832,057 DALLAS,10,AU,1,261,48,30,20,2,30.7,6,13,4,53,0,91.5,0,16.7,44,54.2,16,56,54,26,9,47,17,12,23,.,27,58,5,.,.,.,23,12,9,4,22,52,13,0,52500,30000,26969,28276,43,11.4,22.1,100,1.2,0,17,67,0,33,0,93,4,0,0,3,0,0,0.000000,1381395,6578,94,1,5,0,0,1210228,1210228,5763,43,25,4,14,14,515049,2453,60,18,12,0,9,0,0,0
