SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Lufkin,003903,003 ANGELINA,07,AA,17,8601,31,32,37,1,65,15,14,18,20,9,95.7,0.5,12.3,490,79.8,76,91,96,83,78,90,62,68,89,87,68,.,59.1,21.9,967,17.2,1320,625,1,3,7,47,13,29,88831,66279,48774,41452,33,6.5,13.8,33.9,13.4,18.4,10.6,13,5,81,0,66,11,7,6,5,5,212636,1.448000,67658772,7810,41,47,12,15724134,28,65416739,61186997,7063,56,8,5,11,20,34067129,3932,61,15,14,1,4,0,3,1
Huntington,003904,003 ANGELINA,07,RE,5,1706,3,4,93,1,46.5,1,13,1,28,7,95.6,0.3,4.2,129,88.7,76,93,90,83,74,89,41,53,78,.,73,98,57.4,17.2,989,.,250,122,1,3,6,49,13,27,76117,58911,43566,39272,2,6.8,14,27.6,13.1,15.5,13.6,0,0,100,0,77,8,4,0,8,2,89360,1.510000,13049425,7772,65,24,11,821412,8,13087470,12215972,7276,54,7,6,13,20,6628090,3948,54,19,12,1,8,1,4,1
Diboll,003905,003 ANGELINA,07,AA,6,1866,15,48,37,1,70.5,19,11,17,22,4,95.5,0,5.6,112,88.7,72,88,91,82,67,92,58,68,81,.,67,97,60.8,6.8,875,17.1,294,147,1,3,7,50,11,28,78660,59158,50029,40672,28,6.3,12.7,25.1,12.9,16.4,17.9,7,6,87,0,71,9,8,3,4,5,141259,1.370000,13050105,6997,66,12,22,4361893,32,22301735,15154078,8126,54,8,6,12,20,8165662,4378,56,18,16,2,4,1,4,0
Zavalla,003906,003 ANGELINA,07,AA,2,479,0,1,99,0,54.3,0,18,0,31,5,95.2,0,6.5,27,83.9,64,88,93,69,72,87,.,.,65,.,55,93,77.3,0,923,19.2,67,36,2,4,5,54,11,25,83000,60200,44991,38816,0,7.2,13.3,38.7,10.1,12.5,26.5,0,0,100,0,77,8,6,0,9,0,134676,1.388000,4324470,8935,60,27,13,730785,22,4120789,3670566,7584,55,11,5,11,18,2032001,4198,48,22,22,0,5,1,3,0
Central,003907,003 ANGELINA,07,AA,5,1632,5,11,83,1,42.9,4,18,3,28,5,95.6,0,4.1,109,90.2,73,91,97,79,77,96,61,60,74,.,67,.,44.3,30.8,1001,20.6,232,122,2,3,5,53,14,23,67561,56116,45959,41066,6,7,13.4,23.8,13.2,13.9,10.7,0,5,95,0,73,10,1,2,6,7,99615,1.370000,13161601,7991,65,26,10,4839760,40,13365295,11590900,7038,58,5,6,12,19,6758509,4104,62,18,10,0,6,2,2,1
Aransas County,004901,004 ARANSAS,02,AA,5,3244,2,36,58,4,59.2,4,13,4,28,5,95,0.8,7.6,219,87.3,66,89,92,72,76,91,49,58,71,73,60,98,40.7,35.4,1048,21.2,522,245,2,2,7,47,12,30,67591,56063,45638,41661,20,6.2,13.2,28.9,13,26.9,13.5,0,7,91,1,77,16,1,1,5,0,624425,1.396000,31285235,9392,9,78,13,7202366,23,31364064,27146792,8150,55,8,5,13,20,14909725,4476,59,16,14,0,4,0,4,3
Archer City,005901,005 ARCHER,09,AA,2,483,0,4,95,1,34.6,0,14,0,29,7,96,0,1.9,51,98.1,75,95,99,79,78,94,.,17,76,.,63,96,68.9,19.4,936,19.5,85,46,1,2,6,55,17,19,85050,62100,43619,39166,0,5.7,10.4,25.8,12.4,10.8,16.3,0,0,100,0,79,9,2,0,10,0,313053,1.310000,4761987,9505,49,45,6,621613,15,4825660,4309150,8601,59,6,6,10,19,2559656,5109,64,13,9,0,6,1,7,0
Holliday,005902,005 ARCHER,09,RE,3,837,1,4,94,2,25.1,0,7,0,31,6,97,0,0,58,96.7,82,94,95,90,77,97,.,77,81,.,72,74,77.8,40.5,1111,23.7,114,65,2,3,6,57,14,19,75750,64333,40770,38600,7,7.3,12.8,17.7,14.3,7.1,8.9,0,2,98,0,83,6,5,0,7,0,233769,1.590000,6891540,8466,46,50,4,291909,5,11810723,6203940,7622,57,6,6,12,18,3519518,4324,70,9,7,0,6,1,6,1
Windthorst,005904,005 ARCHER,09,RE,2,518,0,23,77,0,40.3,14,10,14,25,7,97.7,0,0,32,100,88,94,99,96,86,99,.,67,93,.,82,.,79.3,30.4,960,21.6,63,36,0,4,5,57,8,27,.,61721,41056,39922,9,8.2,14.4,11.1,12.9,2.8,11.8,0,2,98,0,81,5,3,5,6,1,97880,1.460000,4746242,9306,69,24,8,1064654,26,4595028,3970220,7785,55,7,4,17,17,2194331,4303,62,9,15,1,5,1,8,0
Claude,006902,006 ARMSTRONG,16,RE,2,351,1,7,91,1,45.3,1,14,1,26,8,96.9,0,3.8,24,92.3,82,94,98,89,85,94,.,60,84,.,76,.,68.2,20,.,20,65,38,3,2,4,59,10,21,58244,50160,45216,38540,6,5.4,9.1,30.2,10.7,1.9,19.8,0,5,95,0,84,10,0,0,5,0,249629,1.391000,4096537,11072,47,46,8,1398308,45,5764900,3023881,8173,63,9,6,8,14,1900458,5136,67,15,9,0,4,0,4,1
Charlotte,007901,007 ATASCOSA,20,AA,4,530,0,83,16,0,73,5,10,5,36,6,95,0,5.9,30,88.2,49,73,79,57,64,78,.,46,65,.,41,76,41.7,20,952,19.4,84,41,2,4,1,49,19,25,65600,58781,40050,39459,49,6.3,12.9,25.3,12.9,18.3,29.3,0,21,79,0,76,5,1,10,8,0,133108,1.390000,5226373,10090,67,22,11,996309,23,4934593,4550799,8785,57,10,7,12,15,2598991,5017,52,12,23,3,6,0,4,0
Jourdanton,007902,007 ATASCOSA,20,AA,6,1247,1,58,40,1,58.4,3,10,2,27,8,95.5,0,9.2,78,86.2,73,93,96,81,69,87,.,68,79,.,69,63,48.5,12.1,896,18.5,199,99,1,5,3,50,15,26,68759,67009,49836,43436,43,6.3,12.6,35.4,11.6,16.2,14.3,1,19,80,0,82,7,1,0,6,3,297642,1.370000,10705357,8286,37,54,9,2010712,21,10401136,10348789,8010,56,7,7,12,19,5797450,4487,63,12,14,0,6,1,3,1
Lytle,007904,007 ATASCOSA,20,AA,5,1601,1,75,24,0,66.6,8,8,7,32,7,95.9,0.4,10,70,83.8,59,86,94,68,63,85,.,53,75,.,52,66,60.3,11.4,931,17.3,245,117,2,4,5,48,9,31,64732,55150,52414,40362,51,6.5,13.7,41.8,9.3,18.6,17.2,1,29,70,0,73,9,8,0,6,3,93590,1.600000,14386236,9152,63,22,15,3695376,32,13480500,11747358,7473,53,6,5,12,24,6186372,3935,53,14,21,1,5,0,5,1
Pleasanton,007905,007 ATASCOSA,20,AA,8,3468,0,66,33,1,63.2,3,12,3,16,7,95.1,0,13.7,204,78,70,88,86,78,70,86,89,63,82,63,61,99,63.5,17.9,953,19.8,559,259,1,3,8,46,14,28,74551,67054,50760,41312,38,6.2,13.4,38.8,10.1,14.2,17.5,0,20,80,0,73,14,8,0,4,2,148090,1.425000,30592973,8844,53,32,15,6218816,25,29569608,27825229,8044,54,7,6,10,23,15068410,4356,52,27,14,1,3,1,2,1
