SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Lufkin,003903,003 ANGELINA,07,17,8506,28,39,30,0,1,0,2,73.8,16,11,21,19,11,96.1,0.5,11.1,527,86,77,77,63,78,83,82,65,74,88,85,96,60,77,71,62.6,20.1,954,17.8,1306,601,1,3,8,46,13,29,100115,69301,50490,44168,36,6.5,14.2,27.9,14.4,14,11.9,10,8,79,2,64,11,5,7,5,9,251343,1.205000,78847371,9181,50,35,15,17584583,30,80548663,71582233,8335,56,6,5,11,21,40323140,4695,59,16,16,1,3,0,2,1,1
Huntington,003904,003 ANGELINA,07,5,1751,3,6,90,1,0,0,2,51.2,1,11,1,32,7,95.5,0,3,118,90.3,75,76,61,77,79,77,60,72,76,.,.,.,70,67,42,21.4,970,22.2,241,116,2,3,8,48,8,31,92625,68001,49519,41621,6,7.3,15.1,29.3,13.2,11.5,12.8,1,2,96,2,76,12,5,0,5,2,128807,1.450000,16777648,9653,70,20,10,623097,5,17315876,15164734,8725,53,7,5,12,22,8078422,4648,60,15,10,0,6,0,6,2,1
Diboll,003905,003 ANGELINA,07,5,1965,12,54,32,0,0,0,2,75.1,17,9,16,23,4,95.8,0,4.8,123,92.8,71,75,57,76,72,65,62,67,80,82,.,.,85,67,70.8,11.3,901,18.1,274,138,2,3,6,50,8,32,83187,63499,50187,44291,28,7.2,14.2,31.3,11.2,20.8,11,6,9,84,1,74,3,13,1,5,4,138402,1.280000,19782930,9946,62,22,17,4316471,32,32535146,16625115,8359,53,8,5,11,23,8809455,4429,49,12,22,3,5,3,4,1,1
Zavalla,003906,003 ANGELINA,07,2,445,0,4,93,0,0,0,3,60.7,0,10,0,24,5,95.4,0,0,22,95.8,77,81,67,76,77,84,.,89,77,.,.,.,.,70,53.3,0,871,.,72,38,3,3,6,53,10,26,77409,67988,38221,43807,1,6.2,11.7,13.2,13,13.2,10.3,0,3,95,3,75,8,8,0,8,1,209740,1.421000,5525542,11732,59,23,18,1582398,42,9184402,4114644,8736,63,8,4,8,17,2587289,5493,47,18,25,0,5,0,3,1,0
Central,003907,003 ANGELINA,07,4,1529,4,16,77,1,0,0,1,55.1,4,10,3,24,5,96,0,2.8,109,95.3,81,81,72,84,85,75,62,76,83,.,.,.,75,75,52.7,20.8,927,.,209,112,3,3,7,53,7,26,71068,64568,50101,45429,5,7.3,13.7,21.1,14.3,9.9,10.6,1,4,95,1,77,7,1,1,4,10,162018,1.190000,14933904,9897,64,25,11,2800557,24,17392425,13469475,8926,55,6,6,12,21,7400367,4904,64,15,11,0,5,0,3,1,1
Aransas County,004901,004 ARANSAS,02,5,3129,1,41,53,0,3,0,2,65.3,4,9,4,28,4,95.1,0,5.7,210,87.7,74,74,53,77,82,79,60,69,78,69,84,.,83,67,70.7,18.5,927,19.6,475,232,2,3,8,49,10,29,85716,63676,50517,44058,19,6.6,13.5,30.6,13.3,23.5,16.2,2,9,86,3,86,7,1,1,5,0,783607,1.132000,36597586,11855,26,62,12,9348834,27,35944876,32127399,10407,55,6,5,14,20,17712384,5738,60,15,14,0,5,0,4,1,1
Archer City,005901,005 ARCHER,09,2,499,1,6,87,1,0,0,5,35.7,0,10,0,23,8,96.5,0,0,33,100,87,89,86,88,84,83,.,83,87,.,.,.,91,77,71.4,15,1025,20.5,85,51,1,2,4,60,15,18,91057,77150,48685,43653,2,5.9,9.8,23.5,13.1,8.1,14.4,0,2,90,8,82,10,2,0,7,0,380962,1.120000,6083866,12071,57,39,4,1237187,24,5650549,5134415,10187,60,5,5,10,20,3091704,6134,60,12,14,0,6,0,7,1,0
Holliday,005902,005 ARCHER,09,3,862,1,7,91,1,0,0,1,26,0,9,0,23,4,96.9,0,0,62,100,83,86,82,82,82,79,.,70,84,75,.,.,.,74,76.7,32.6,1056,22.5,114,68,2,3,6,60,16,13,89750,66308,47255,42381,7,7.6,12.7,10.3,14.8,13.2,5.8,0,3,97,0,82,8,3,0,6,2,305649,1.170000,8267997,9228,55,38,7,1017641,15,7824527,7210070,8047,57,6,5,12,19,4113662,4591,67,11,6,0,6,1,7,2,1
Windthorst,005904,005 ARCHER,09,3,471,0,26,72,2,0,0,1,45.9,12,7,12,42,8,97.7,0,0,30,100,86,87,78,89,91,82,.,75,90,.,.,.,.,82,65.4,41.2,.,21.4,67,37,1,4,3,56,8,28,87791,60823,50272,42900,8,7,12.6,16,15.7,8,2.6,0,0,100,0,81,5,5,0,8,0,140814,1.260000,5288285,11300,73,21,6,2415535,57,4754943,4295673,9179,57,6,6,12,19,2436947,5207,56,8,16,2,8,1,8,2,0
Claude,006902,006 ARMSTRONG,16,2,364,2,10,86,1,0,0,1,42.9,1,12,1,30,6,96.8,0,8.3,22,91.7,79,84,70,76,86,75,93,74,79,.,.,.,83,67,71.4,40,.,20.5,66,35,4,3,5,54,12,23,74438,66890,55044,42417,7,5.5,10.3,19.8,13.6,14.7,9.3,0,3,92,6,85,3,2,0,10,0,314562,1.170000,4471530,12812,61,33,7,2577405,69,4506013,3856400,11050,56,9,6,10,19,2153847,6171,70,11,7,0,4,0,8,0,0
Charlotte,007901,007 ATASCOSA,20,4,522,1,87,12,0,0,0,0,73.9,8,7,8,21,3,94.4,0,0,39,100,51,52,34,50,62,58,.,51,61,.,.,.,.,46,56.3,0,785,16.9,81,40,2,4,4,50,9,32,81850,67367,39234,43997,61,6.5,13,35,10.5,15,28.6,0,42,58,0,80,9,4,0,7,0,237935,1.240000,5846171,11136,64,26,10,1170521,26,6046547,5147887,9805,55,10,6,12,17,2819469,5370,50,11,25,3,7,0,4,1,0
Jourdanton,007902,007 ATASCOSA,20,6,1425,1,60,38,0,0,0,1,57.3,2,7,2,29,7,96.3,0,9.1,71,85.7,74,76,68,73,79,72,81,69,81,.,.,100,88,66,55.9,12.1,960,20.4,188,100,1,5,2,54,11,28,91960,74028,57029,48330,43,7.6,14.2,20.9,15.3,20.9,8.8,1,22,70,7,84,6,0,0,6,4,323273,1.170000,13894023,10542,47,46,8,3105750,29,13113101,12096489,9178,58,6,7,9,20,6968910,5287,62,14,11,0,7,1,4,1,1
Lytle,007904,007 ATASCOSA,20,5,1713,1,79,19,0,0,0,0,71.4,6,6,6,30,6,95.3,0.3,0.8,136,99.2,68,70,55,68,69,73,64,66,76,88,.,.,75,62,67.2,14.3,942,18.5,267,116,2,3,10,43,10,33,74134,64302,52600,43656,56,6.4,14.8,37.2,10.6,23.9,13,1,36,63,0,76,10,5,0,5,3,127526,1.340000,18632458,10727,66,19,15,1865609,14,18586574,15538303,8945,52,7,5,11,25,8109129,4668,52,14,22,1,5,0,5,1,1
Pleasanton,007905,007 ATASCOSA,20,9,3432,0,70,29,0,0,0,1,63.3,2,8,2,23,5,95.8,0,6,218,88.5,73,74,55,79,77,66,63,68,84,89,83,.,73,67,52.1,14.9,930,20.6,520,242,2,2,9,47,13,27,90412,66168,54093,44479,42,6.6,14.2,34.1,11.1,13,9.4,0,24,75,1,85,8,3,0,4,1,218882,1.140000,36820511,10738,50,29,22,5097972,21,34711846,32794251,9564,50,7,5,13,25,16290799,4751,52,26,12,0,5,1,2,1,1
Poteet,007906,007 ATASCOSA,20,4,1765,0,85,15,0,0,0,0,72.9,5,7,4,28,6,94.6,0,2.9,103,96.2,65,70,50,67,67,61,.,63,77,.,.,.,.,62,50.5,10.6,902,20.3,252,120,2,3,8,48,9,31,81248,65210,47033,43296,59,7,14.7,35,12.9,28.8,14.7,1,43,56,0,84,5,6,0,5,1,108989,1.169000,16449841,9331,71,16,13,2923825,23,16177402,14903123,8453,53,9,6,12,21,7898783,4480,58,10,20,0,5,0,4,1,0
Bellville,008901,008 AUSTIN,06,5,2136,10,26,61,0,0,0,3,47.5,7,10,7,29,10,96.2,0,1.3,156,98.1,83,83,73,84,89,84,64,74,89,83,83,.,79,72,59.4,31.7,1015,21.8,313,154,2,3,8,49,12,26,87978,67394,51561,44141,15,6.8,13.9,17.4,15.9,13.7,15.8,2,2,96,0,83,7,0,3,6,1,465090,1.260000,23159342,10797,28,63,8,4713545,29,21888412,19009098,8862,54,7,6,12,21,10329803,4816,60,19,7,1,5,1,4,2,1
Sealy,008902,008 AUSTIN,06,4,2669,11,46,42,0,0,0,2,57,11,8,11,22,5,96,0,3.2,181,92.6,78,78,67,81,79,82,60,74,87,.,67,.,84,70,80.5,16.1,938,19.6,325,181,2,3,9,56,13,18,88006,72236,54510,47912,18,8.2,14.8,23.8,13.6,14.5,12.6,4,7,88,2,66,17,2,4,4,6,401138,1.260000,27246737,10400,41,50,9,4696402,24,26399115,23676615,9037,56,7,6,12,19,13272974,5066,59,19,9,1,5,1,4,2,2
Brazos,008903,008 AUSTIN,06,3,856,10,49,40,0,1,0,1,55.6,11,5,10,28,2,96.7,0,2,49,98,81,81,67,81,85,89,65,77,89,.,.,.,.,75,68.2,13.3,946,20.2,118,64,2,3,6,54,8,26,72485,65990,47302,46482,23,7.3,13.4,21.6,14.4,20.5,12,4,5,91,0,83,5,0,2,6,4,346443,1.433000,10164166,12380,44,48,8,1295189,18,9286259,8095957,9861,58,6,6,11,19,4693245,5716,57,16,14,2,6,1,5,0,0
Muleshoe,009901,009 BAILEY,17,5,1520,0,80,19,0,0,0,0,81.8,15,12,15,22,4,96,0,2.4,84,95.2,75,73,65,81,78,70,.,71,88,.,73,.,.,71,57.5,9.5,.,18.3,227,118,3,3,6,52,17,21,90298,63266,45761,41530,28,6.7,12.9,30.4,12.2,19.4,14.8,1,14,84,2,79,8,3,5,4,2,167868,1.360000,17127201,11426,58,26,17,3354757,27,21390892,13624543,9089,59,7,6,9,19,8000552,5337,50,13,23,2,4,0,5,1,2
Medina,010901,010 BANDERA,20,2,288,1,19,77,1,0,0,1,46.2,5,17,5,33,8,97.1,0,0,24,100,84,91,79,78,82,89,.,76,86,.,.,.,86,83,90.5,15.8,953,17.5,69,35,3,3,5,50,14,25,83962,75318,49152,40423,9,4.2,8.3,31,14.2,22.3,23.1,0,9,83,9,72,11,8,0,8,2,702875,1.040000,4202851,13917,39,55,6,384428,11,4248215,4225215,13991,54,10,6,11,19,2295774,7602,47,21,21,1,6,1,4,0,0
Bandera,010902,010 BANDERA,20,4,2435,1,30,66,1,1,0,2,52.2,4,11,4,27,7,95.1,0,3.6,192,92.8,79,82,67,77,84,81,88,71,83,91,100,.,69,71,79.1,34.9,1013,23.1,345,178,1,3,8,52,11,25,83850,68921,56435,50125,14,7.1,13.7,20.8,14.2,22.4,7.4,1,7,92,1,72,10,8,0,4,5,546801,1.190000,26095249,10599,26,65,9,5427015,28,25500873,22930139,9314,59,5,4,9,23,13436640,5458,59,18,10,1,5,0,4,3,0
Bastrop,011901,011 BASTROP,13,14,9082,6,53,38,1,1,0,3,69.4,18,11,17,14,8,95.1,0,3.4,525,88.8,75,75,58,78,78,80,69,69,84,67,93,73,76,70,58.4,19.2,942,19.4,1139,577,1,3,7,51,13,27,104220,69971,56270,46914,33,8,15.7,26.7,13,23.4,15.1,5,17,75,3,55,11,11,10,3,9,302616,1.481000,95222566,10530,43,44,14,8602927,14,96853990,76148544,8421,58,5,5,10,23,43795354,4843,45,24,12,8,3,4,2,1,2
Elgin,011902,011 BASTROP,13,6,4062,13,53,31,0,0,0,2,70.5,18,9,18,30,8,95.1,0,3.7,212,90.8,69,71,58,71,73,67,59,65,79,73,80,71,80,63,54.3,20.6,941,19,503,246,2,3,5,49,12,29,92601,64014,55439,47193,38,8.1,16.5,39.4,11.6,23.8,12.6,3,17,77,2,75,11,0,8,5,1,211716,1.540000,42037761,10661,51,36,13,9606273,33,41418739,32670413,8286,57,6,5,12,20,18525690,4698,53,16,17,1,4,2,3,1,2
Smithville,011904,011 BASTROP,13,4,1722,9,24,63,1,1,0,3,59.8,4,11,3,26,7,95.8,0,33.3,6,33.3,78,77,65,78,86,80,66,67,84,100,.,.,64,70,.,27.3,1000,21,230,123,1,2,9,53,9,25,82905,61996,46785,44116,14,7.5,14,23.4,13.8,20.3,16.7,3,0,93,3,79,13,0,1,5,2,336684,1.410000,16492707,9506,44,48,8,1581740,13,16324003,14856224,8563,54,7,5,12,23,7975379,4597,54,21,13,1,4,2,4,1,0
McDade,011905,011 BASTROP,13,1,192,1,47,52,0,1,0,0,66.7,26,11,24,0,3,96.3,0,.,0,.,64,71,64,52,73,69,.,.,65,.,.,.,.,63,.,.,.,.,34,16,6,3,9,46,21,15,64926,57500,43300,38518,24,5.7,12.3,39.1,10,6.4,25.6,0,10,90,0,89,9,3,0,0,0,366791,1.109000,2287810,12300,48,37,15,394681,24,2378190,2113247,11362,55,12,4,13,16,1160749,6241,58,12,27,2,0,1,1,0,0
