SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Jean Massieu Academy,057819,057 DALLAS,10,1,182,38,39,7,12,2,1,2,94.5,32,12,32,0,0,95.4,0,0,3,60,48,55,68,37,38,63,52,47,.,40,56,.,.,46,.,.,.,.,20,13,5,0,0,63,0,32,65400,.,.,37815,35,9,14.4,84.2,2.1,38,36.3,16,0,84,0,80,3,15,0,2,0,0,0.000000,1577968,12934,71,1,28,818411,62,1499930,1499930,12295,54,17,5,11,13,813095,6665,45,19,35,1,0,0,0,1,0
Honors Academy,057825,057 DALLAS,10,7,977,24,42,32,1,0,0,2,74.7,6,8,5,27,0,93.5,0,34.3,133,61.7,63,68,63,61,61,55,51,64,70,100,.,71,68,61,5.9,0,722,.,154,93,3,8,2,60,10,16,90135,41658,25210,34238,38,6.3,10.5,76.9,4.6,12.4,35.7,30,9,59,2,91,6,0,0,4,0,0,0.000000,10519882,9934,87,1,13,0,0,8957781,8957781,8459,60,9,8,11,13,5330575,5034,59,12,22,0,6,0,0,0,0
Nova Academy (Southeast),057827,057 DALLAS,10,2,592,37,60,2,0,0,0,1,84,38,7,37,0,0,96.6,.,.,0,.,68,76,67,64,58,.,61,73,.,.,.,.,.,68,.,.,.,.,75,39,1,3,27,52,10,7,167855,53500,36468,40203,85,7.8,15.1,80.3,3.4,22.9,26.3,77,3,13,8,92,5,0,4,0,0,0,0.000000,2944062,11194,83,1,16,1307113,21,2636748,2636748,10026,62,14,3,10,12,1646403,6260,65,9,23,3,0,0,0,0,0
Winfree Academy Charter,057828,057 DALLAS,10,6,1488,14,31,49,1,2,0,3,56.2,5,12,5,81,0,78.8,.,24.6,424,32.4,78,83,.,57,77,93,68,73,84,62,59,.,90,74,8.9,22.2,962,18.8,150,69,3,10,29,46,5,7,109989,39727,43548,43117,26,9.9,21.5,73,6.5,22,25.5,29,1,65,4,72,28,0,0,0,0,0,0.000000,12721533,8036,95,1,5,1261169,11,12785236,12031344,7600,54,12,12,19,3,6433153,4064,52,17,11,1,15,0,0,4,0
A+ Academy,057829,057 DALLAS,10,1,951,5,88,5,0,0,0,2,93.1,32,9,31,26,4,96.8,0,1.8,56,96.4,66,70,56,66,62,71,65,66,60,.,.,.,73,65,93.8,2.2,805,.,147,66,5,4,7,45,14,25,41681,56712,48767,46753,43,6.5,14.5,47.1,7.7,35.7,27.3,21,14,58,7,59,15,2,11,3,11,0,0.000000,11798798,10965,84,1,15,2631452,32,9080498,9050130,8411,54,13,7,13,13,4879795,4535,41,15,25,15,1,0,2,1,0
Inspired Vision Academy,057830,057 DALLAS,10,2,956,12,86,1,0,0,0,1,89,37,7,36,0,0,97.7,0,.,0,.,68,75,79,67,56,43,70,68,79,.,88,.,83,68,.,.,.,.,136,57,8,1,5,42,15,29,40454,73137,44293,46079,55,7,16.9,48.9,7.1,22.9,17.6,31,13,54,2,75,7,3,13,1,1,0,0.000000,9955314,10546,84,2,14,1270256,16,7959546,7871190,8338,49,13,6,18,14,3818523,4045,45,10,23,21,0,0,1,0,0
Gateway Charter Academy,057831,057 DALLAS,10,2,811,96,3,1,0,0,0,0,89.9,1,7,1,20,0,96.7,0,0,31,93.8,65,71,60,56,76,66,65,56,.,.,.,.,.,64,100,0,719,14.3,98,52,1,7,31,53,7,1,166175,61425,21958,41538,87,8.2,15.7,100,0,12.5,26.2,77,6,6,12,78,8,4,4,6,0,0,0.000000,8161221,10266,86,2,12,33301,1,6150327,6098109,7671,49,11,7,17,16,2989075,3760,51,9,27,0,7,2,5,0,0
Alpha Charter,057832,057 DALLAS,10,1,144,31,45,19,0,1,0,4,74.3,4,15,4,30,0,86.5,0,45.3,34,39.1,45,51,31,33,48,68,38,50,.,.,.,.,.,48,3.1,.,.,.,31,18,3,7,7,59,0,25,80000,46650,35900,32437,36,4.7,8,83.3,2.2,5.6,40.5,39,0,39,22,90,5,0,0,5,0,0,0.000000,1578524,8969,84,1,15,4023,0,2009444,1990468,11309,47,23,9,11,9,942166,5353,53,13,25,0,6,0,0,3,0
Educ Ctr International Acad,057833,057 DALLAS,10,2,214,36,20,42,1,0,0,1,55.6,3,9,3,0,0,96.7,0,.,2,.,43,54,44,36,26,.,41,.,55,.,.,.,.,43,.,.,.,.,24,14,4,4,0,57,12,22,90000,68500,.,36500,41,8.8,15.3,78.6,3.6,35.7,47.1,29,0,64,7,83,9,0,7,1,0,0,0.000000,1812039,8428,95,0,5,-65719,-5,1515217,1515217,7048,51,22,8,15,4,766652,3566,65,18,12,1,3,1,0,0,0
Evolution Academy Charter,057834,057 DALLAS,10,1,483,40,46,11,1,0,0,2,57.8,6,16,4,65,0,81.7,.,15,168,50.9,55,51,.,40,57,81,49,55,.,.,.,.,.,58,12.2,5,777,.,33,18,3,6,9,54,3,25,142800,72510,41451,51704,87,14.7,27.4,51.1,6.5,17,0,77,0,23,0,78,11,0,0,11,0,0,0.000000,3215390,7656,82,0,18,-632642,-19,3879302,3491885,8314,45,12,14,20,9,1570629,3740,9,18,54,1,18,0,0,0,0
Golden Rule Charter,057835,057 DALLAS,10,4,981,11,86,2,0,0,0,0,99.2,44,3,42,0,0,97.1,0,.,0,.,65,68,62,57,78,72,.,65,.,.,.,.,.,65,.,.,.,.,110,49,1,1,1,44,22,31,151939,110000,43000,42994,75,8.9,20.1,93.9,1.5,20.3,45.8,16,39,37,8,100,0,0,0,0,0,0,0.000000,7388642,8552,86,1,12,9944,0,7039957,6436234,7449,53,12,7,18,9,3433144,3974,61,7,28,4,0,0,0,0,0
St Anthony,057836,057 DALLAS,10,2,308,100,0,0,0,0,0,0,75,0,7,0,0,6,97.6,0,.,0,.,72,76,90,69,39,76,.,.,.,.,.,.,.,68,.,.,.,.,37,20,8,3,0,55,14,20,84173,47829,.,43232,82,8.3,15,51.2,6.5,14.5,14.3,67,5,24,5,100,0,0,0,0,0,0,0.000000,2652409,9146,87,4,9,296492,14,2628267,2604989,8983,50,14,13,10,12,1310064,4517,80,5,12,0,0,0,3,0,0
Kipp Truth Academy,057837,057 DALLAS,10,1,332,39,60,1,0,0,0,0,91,25,8,23,0,0,96.8,0,.,0,.,73,75,69,78,70,57,76,71,71,.,.,.,.,73,.,.,.,.,38,16,5,16,10,42,8,18,110222,59370,51648,50504,76,8.8,20.7,93.8,2.8,12.5,21.8,56,6,25,12,100,0,0,0,0,0,0,0.000000,3942647,12801,66,22,12,1992738,54,3726141,3693146,11991,39,22,7,15,18,1428473,4638,86,5,9,0,0,0,0,0,0
Uplift Edu-Peak Preparatory,057838,057 DALLAS,10,6,1379,9,85,4,0,1,0,1,89.6,28,6,25,27,0,97.9,0,.,34,.,89,87,80,91,94,93,82,89,97,.,.,.,.,89,.,4.8,876,16.8,153,94,1,3,24,62,10,0,88000,69622,46638,47197,36,9,14.7,92.5,2.1,8.5,26.5,13,8,74,5,88,7,0,2,2,0,0,0.000000,12675116,11715,75,9,16,2495981,21,11032948,10092240,9327,56,11,8,11,14,5696790,5265,83,6,11,0,0,0,0,0,0
La Academia De Estrellas,057839,057 DALLAS,10,1,743,1,93,5,0,0,0,0,93.5,53,8,53,0,0,97.4,.,.,0,.,76,79,77,71,78,.,.,76,58,.,.,.,.,76,.,.,.,.,78,32,2,4,4,41,36,13,69667,65132,49537,48986,57,9.5,23.4,72.4,4.5,16.6,38.9,3,22,72,3,76,16,6,3,0,0,0,0.000000,5023849,8345,86,1,14,1030805,23,4541079,4489950,7458,60,5,8,13,15,2672554,4439,65,9,19,6,0,0,0,0,0
Richland Collegiate HS,057840,057 DALLAS,10,1,429,16,27,31,1,21,0,4,21.2,0,0,0,50,0,96.9,.,0,155,98.6,99,100,.,99,99,100,98,99,100,100,99,.,100,100,.,52.7,1094,24.2,0,0,0,100,0,0,0,0,.,.,.,.,0,80943.4,.,0,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0.000000,3001525,7599,98,1,2,1326332,45,2399218,2399218,6074,59,6,20,2,13,1414844,3582,89,0,0,0,6,0,0,5,0
Reconciliation Academy,057841,057 DALLAS,10,1,221,18,63,17,0,1,1,1,95,55,3,55,0,0,95.3,.,.,0,.,41,33,.,.,.,.,.,.,.,.,.,.,.,43,.,.,.,.,27,12,9,6,0,46,28,11,49450,60000,.,40461,43,8.2,17.7,92,3.4,0,36.4,8,36,56,0,60,0,8,32,0,0,0,0.000000,1542274,8075,85,3,12,2490,0,1465047,1463729,7664,48,10,11,19,13,694815,3638,66,5,21,9,0,0,0,0,0
Uplift Edu-Williams Prepara,057842,057 DALLAS,10,5,1264,5,94,0,0,1,0,0,93.8,49,5,45,23,0,97.3,0.7,.,39,.,80,80,72,84,81,81,81,80,.,.,69,.,.,80,.,8.3,910,17.2,132,80,2,2,27,61,8,0,69000,80000,50778,45814,37,9.6,15.7,85.3,3.2,15,42.8,15,19,56,10,95,5,0,0,0,0,0,0.000000,9900687,11050,79,7,14,4082524,39,9584144,8757402,9774,56,10,9,11,13,4929062,5501,84,6,8,1,0,0,0,0,0
Uplift Edu-Hampton Preparat,057843,057 DALLAS,10,3,705,73,25,1,0,0,0,1,71.8,11,6,10,14,0,96.6,0,.,13,.,71,74,59,71,79,67,71,73,74,.,67,.,50,69,.,4.8,832,.,82,46,1,4,27,56,12,0,110000,76461,56310,45528,61,8.6,15.4,86.5,2.8,13.5,52.1,52,7,30,11,85,10,0,0,5,0,0,0.000000,6376186,9122,90,1,9,3323164,56,6596123,5780300,8269,61,11,6,10,12,3523023,5040,87,7,6,0,0,0,0,0,0
Manara Academy,057844,057 DALLAS,10,1,406,33,4,22,1,39,1,1,52.7,21,6,20,0,0,96.8,.,.,0,.,72,77,76,69,48,.,65,.,67,.,84,.,.,63,.,.,.,.,41,30,0,10,17,72,1,0,.,56313,38825,41788,17,9.8,13.5,91.7,1.3,16.7,25.5,10,10,67,13,97,3,0,0,0,0,0,0.000000,3427954,16970,82,5,12,100123,3,2785401,2782026,13772,53,9,7,18,13,1460341,7229,91,9,0,1,0,0,0,0,0
Carrollton-Farmers Branch,057903,057 DALLAS,10,42,26340,16,53,19,0,11,0,1,62.3,22,10,23,20,9,96.1,0.1,3.9,1568,89.3,80,82,68,80,85,83,74,76,91,86,94,93,85,75,67.5,28.9,998,21.6,3063,1634,1,3,11,53,6,25,86100,81767,61476,51882,32,8.6,16.1,34.8,10.1,25.5,12,7,12,78,4,81,9,2,1,1,6,489293,1.357000,299170131,11473,24,68,8,62238430,29,277764942,228396007,8759,58,7,6,11,18,132401317,5078,58,19,7,2,3,9,1,1,2
Cedar Hill,057904,057 DALLAS,10,14,8139,64,23,8,1,1,0,2,63.8,6,9,6,25,3,96.2,0,6.8,534,88.5,77,78,71,74,78,82,75,78,86,67,93,80,85,73,82.5,11.1,872,18.3,962,481,3,3,7,50,10,27,81037,74235,57541,49019,62,8.5,16.9,43.6,8.4,27.4,23.7,51,5,42,2,61,8,3,9,6,14,312879,1.440000,79413733,9720,42,49,9,5716137,10,79113890,67983491,8321,58,6,6,14,17,39160366,4793,58,15,11,5,5,1,3,2,1
Dallas,057905,057 DALLAS,10,236,157085,24,69,5,0,1,0,1,86.1,39,8,37,20,12,95.2,0.5,11.3,7267,80.3,67,69,57,65,69,74,60,68,85,72,77,86,74,65,78.8,10.1,863,17.1,18309,10277,1,3,10,56,9,21,83319,76282,64678,53641,72,8.6,15.3,37,11.6,34.4,12.2,37,27,31,5,79,10,0,3,3,5,474714,1.290000,1743100214,11118,28,54,18,121707356,10,2101739001,1516685112,9674,58,7,5,11,18,879033533,5607,58,12,20,3,3,2,1,1,1
Desoto,057906,057 DALLAS,10,13,8921,78,16,4,0,0,0,1,68.6,6,11,6,23,10,96.2,0.1,8.6,524,80.9,69,74,62,68,70,65,69,69,74,59,83,90,79,66,88.1,7,854,17,1082,607,2,3,8,56,8,23,78827,72737,54127,49959,64,8.2,14.7,41.1,10.5,27.3,10.4,52,6,38,4,74,9,4,2,5,5,235340,1.440000,89796604,9798,50,39,12,5676213,9,97524074,75145811,8199,56,7,6,11,20,42314908,4617,67,16,8,1,4,0,3,1,1
Duncanville,057907,057 DALLAS,10,18,13055,41,48,7,1,2,0,1,74.7,14,10,13,29,7,95.9,0,12,733,79.6,72,78,66,68,74,76,69,73,84,.,84,.,71,70,65.1,16.9,935,19.3,1628,755,1,3,10,46,8,33,108855,73367,59314,49470,58,8,17.3,36.5,10.9,28.3,9.5,31,13,53,2,74,10,3,3,6,4,242444,1.418000,125093542,9712,49,39,12,21128139,22,120937125,101813717,7905,54,6,6,12,21,55169692,4283,59,17,9,2,5,0,3,3,3
Garland,057909,057 DALLAS,10,73,57954,17,49,23,1,8,0,2,60.6,22,9,21,26,7,96.7,0.2,5.9,3772,89,80,81,70,81,85,83,74,77,89,82,92,86,84,75,58.3,25.3,973,20.6,7238,3651,1,3,11,50,6,29,98571,79889,62044,50348,36,8,15.9,30.9,11.5,28.5,9.2,12,16,67,6,58,10,6,11,5,10,226612,1.253000,545810089,9474,54,34,13,94109829,24,524523604,457084513,7934,61,7,6,9,18,279668436,4854,54,16,10,11,4,2,1,1,1
Grand Prairie,057910,057 DALLAS,10,39,26516,17,63,14,1,3,0,1,72.6,26,9,25,25,8,95.5,0.7,6.2,1564,86.1,74,76,64,75,79,75,73,72,83,78,92,87,86,70,46.6,19,945,19.3,3127,1598,0,4,11,51,7,26,105530,70247,59600,50125,48,8.5,16.6,44.9,9.2,18.5,13.5,14,20,62,4,90,6,0,0,1,2,173360,1.465000,254161828,9615,60,30,10,27929235,16,253690135,210603649,7967,60,6,6,10,19,125250219,4738,45,18,17,11,3,2,2,1,2
Highland Park,057911,057 DALLAS,10,7,6770,0,5,90,0,4,0,1,0,1,8,1,5,12,97.1,0,0.2,508,98.8,97,98,95,98,95,96,87,94,97,96,99,100,99,.,.,79.5,1215,26.8,741,427,2,3,8,58,9,21,114167,85570,65996,55043,15,9.1,15.8,21.9,13.9,72.4,12.9,1,2,95,2,79,9,0,0,1,11,1738938,1.135000,71029791,10686,22,78,0,16516949,14,75975678,58397116,8785,61,8,5,10,16,35679150,5368,75,17,0,0,1,2,5,0,0
Irving,057912,057 DALLAS,10,39,34672,13,71,11,1,3,0,1,81.7,38,8,39,23,12,95.8,0.1,8.3,1949,85.3,68,69,60,65,74,72,64,66,79,75,87,73,72,65,80.6,9.5,847,18.7,3863,2281,1,3,9,59,10,18,95686,83476,61882,52748,43,9,15.2,41.6,9.7,28.9,12.9,8,23,64,4,64,8,1,14,4,9,249084,1.465000,349755661,10245,48,39,13,70614294,26,415591752,293591992,8600,63,5,6,8,17,184890264,5416,38,15,12,24,3,3,2,1,2
Lancaster,057913,057 DALLAS,10,10,6160,76,19,3,1,0,0,1,78.7,8,10,8,28,9,95.7,0,2.7,329,92.9,67,70,52,65,72,77,65,75,76,74,77,100,86,66,88.2,2,802,15.4,753,358,2,3,11,48,7,30,91538,77796,57952,49375,75,8.2,17.2,45.2,8.5,23.9,20.5,64,8,26,2,73,9,6,3,6,3,244940,1.413000,65092080,10410,52,36,12,11049861,26,60521819,52961296,8470,53,8,6,14,19,28054038,4486,55,14,22,2,4,0,2,1,0
Mesquite,057914,057 DALLAS,10,47,38174,25,50,21,1,2,0,2,68.3,19,11,18,25,6,97,0.2,4.9,2429,89.6,77,78,65,80,80,77,71,77,83,80,94,83,81,74,64.8,16.3,930,19.2,4654,2436,1,3,9,52,9,26,94745,72406,58417,50693,30,8.2,15.7,41.2,9.9,50.9,9.7,9,12,76,3,66,10,5,10,4,4,155472,1.420000,372242856,9886,63,27,10,74652250,28,375761035,300140331,7971,60,6,5,11,18,178502770,4741,62,17,9,2,4,1,3,1,1
Richardson,057916,057 DALLAS,10,56,36946,23,39,28,0,7,0,2,57.1,23,11,23,22,10,96.3,0.1,4.1,2019,91.9,83,82,70,85,89,87,74,77,94,86,91,85,86,75,81.2,39.4,1036,22.2,4672,2417,1,3,14,52,7,24,102181,77615,56423,49110,32,7.9,15.3,42.2,10.4,25.2,11.9,9,10,77,4,72,11,3,9,4,1,435439,1.340000,374162430,10400,28,59,13,71314390,29,364957865,299249358,8318,64,5,6,9,16,190023870,5282,60,15,15,4,3,1,2,1,1
Sunnyvale,057919,057 DALLAS,10,3,1222,6,11,55,0,25,0,2,11.2,3,7,3,29,9,98.2,0,.,70,.,93,95,88,92,96,94,85,85,94,.,97,.,.,84,95.5,41.3,1040,22.8,167,82,3,2,11,49,8,27,73489,75287,53724,52235,19,7.3,14.9,23.3,12.9,35.6,7.8,1,2,92,5,71,6,3,0,7,12,632260,1.410000,13866576,12016,20,78,3,1858343,17,14284346,10992230,9525,62,4,5,9,20,6798264,5891,75,8,2,0,6,1,7,1,0
Coppell,057922,057 DALLAS,10,15,10645,5,13,50,0,29,0,3,10.3,8,5,9,18,22,97.2,0,1.4,727,97.7,92,93,88,90,92,93,72,85,93,90,96,88,92,77,98.7,63.2,1140,25.2,1058,675,2,4,10,64,5,16,113264,76481,60828,51887,11,10.1,15.8,25.2,12.2,28.5,8.8,2,4,92,3,66,7,1,3,3,19,662907,1.424000,107602435,10560,17,81,3,33213012,34,106129140,80748308,7924,62,7,6,9,17,49665868,4874,71,15,1,3,3,2,3,1,1
Dawson,058902,058 DAWSON,17,1,147,0,61,40,0,0,0,0,50.3,4,7,3,42,10,95.1,0,0,14,100,75,87,52,72,75,76,.,73,79,.,.,.,.,70,91.7,36.4,1005,21,36,19,2,6,2,54,11,25,95000,64838,49880,42274,22,4.1,7.6,30.9,13.1,0.6,5.4,0,5,95,0,81,2,5,0,12,0,1741379,1.040000,2573034,15785,21,72,7,1472724,40,2376312,2296907,14091,51,13,7,15,14,1159454,7113,56,9,16,0,11,0,6,1,1
Klondike,058905,058 DAWSON,17,1,253,0,38,60,0,0,0,1,39.9,7,6,7,31,17,96.8,0,0,13,92.9,97,96,98,98,98,93,.,96,97,.,.,.,.,94,.,23.1,.,20.3,46,21,2,2,4,46,15,30,84975,65500,50283,41856,23,5.6,12,28.6,10.9,19,25.8,0,10,90,0,83,4,5,1,7,0,2834363,1.171000,4903801,20604,11,85,4,3409495,42,6846607,2951505,12401,49,12,5,14,21,1437166,6039,63,9,9,2,9,0,7,1,0
Lamesa,058906,058 DAWSON,17,5,1875,4,78,17,0,1,0,1,75.6,6,9,5,25,7,95.5,0,10.8,93,83.3,61,64,60,56,62,63,56,58,74,93,100,.,75,56,47.4,2.8,967,18,321,140,1,3,5,43,17,31,97538,62811,53795,43603,49,5.8,13.4,40.1,12.7,9,20.5,2,20,74,3,71,8,5,7,6,3,247696,1.170000,20658261,10971,56,31,14,9917277,62,19771591,18214213,9673,55,9,5,11,20,9969399,5294,51,15,20,1,5,1,5,1,2
Sands Cons,058909,058 DAWSON,17,1,221,1,46,53,1,1,0,0,53.4,19,10,19,16,1,96.3,0,0,14,100,86,89,85,83,95,80,.,79,93,.,.,.,.,85,88.9,37.5,.,21.3,44,23,2,3,3,52,11,28,85000,69546,45732,43304,19,5,9.6,39.2,13.5,0.5,19.4,0,4,91,4,89,4,2,0,5,0,2723720,1.225000,4119058,17021,6,87,7,1436987,22,4812151,3055371,12626,48,9,5,18,21,1451573,5998,56,11,18,1,5,0,9,1,0
Hereford,059901,059 DEAF SMITH,16,8,4276,1,87,12,0,0,0,0,81,17,8,16,35,3,95.6,0.6,4.5,246,90.6,64,68,50,65,63,64,62,60,83,100,81,.,83,59,50.9,15.3,941,19.2,668,306,1,3,8,46,15,27,86869,66355,47753,44222,50,6.4,14,35,12.5,14.6,12.4,1,26,71,2,75,8,7,0,8,2,245240,1.040000,39069107,9160,54,28,18,7828080,27,39269812,36229692,8495,59,7,6,10,19,21289081,4992,52,14,22,1,5,0,3,1,1
Walcott,059902,059 DEAF SMITH,16,1,135,1,67,31,1,0,0,0,63.7,10,6,10,0,3,96.4,.,.,0,.,87,93,100,80,83,.,.,86,.,.,.,.,.,87,.,.,.,.,21,8,9,5,1,40,17,29,57800,62800,60000,47226,25,6.4,16.1,23.9,11.1,22.4,23.5,0,0,88,12,82,12,6,0,0,0,338295,0.650000,1892023,15016,60,20,20,261138,20,1940530,1701136,13501,58,5,2,8,27,993585,7886,50,13,36,1,0,1,0,0,0
Cooper,060902,060 DELTA,08,3,801,13,8,74,1,1,0,3,62.8,2,9,2,29,10,95.7,0,1.4,67,95.9,77,80,67,79,80,68,64,81,79,.,.,.,65,69,84.3,25.6,1054,19.3,128,69,2,7,3,54,12,22,66565,53444,47175,40616,10,6.3,11.5,31.7,14.7,19.3,11.8,1,0,97,1,76,4,6,0,10,4,190464,1.490000,10022939,12061,58,26,16,1082322,17,9437109,7938366,9553,57,8,5,11,19,4549840,5475,58,12,14,0,8,1,5,2,1
Fannindel,060914,060 DELTA,08,2,196,31,4,61,1,0,0,3,81.6,0,15,0,26,3,95.5,0,0,12,100,65,64,42,78,61,58,53,59,70,.,.,.,.,62,85.7,0,.,17.2,41,19,1,4,2,45,17,31,140000,65317,40716,42592,18,4.7,10.6,37.8,13.3,8.3,18,5,0,84,11,72,13,5,0,9,0,283032,1.220000,2511685,13504,59,32,9,326483,17,2270065,2125209,11426,53,9,9,10,19,1121260,6028,54,17,18,0,6,0,4,1,0
Texas Education Centers,061802,061 DENTON,11,4,579,14,24,58,1,1,1,1,38.5,4,14,4,0,0,94.9,0,0,45,84.8,62,68,60,55,62,70,46,54,68,.,.,95,100,53,25.6,27.3,978,17.8,73,47,3,4,3,64,3,23,66687,50575,43160,39343,23,7.9,12.4,93.6,2.9,18.7,26,15,2,83,0,88,10,0,1,1,0,0,0.000000,6274364,9421,90,2,8,29414,1,5132871,5132871,7707,57,13,6,15,9,2928716,4397,62,24,12,1,0,0,2,0,0
The Legends Academy,061803,061 DENTON,11,1,72,8,19,65,0,0,0,7,20.8,0,31,0,21,0,90.6,1.3,.,6,.,77,89,75,60,80,80,.,47,85,.,.,.,.,71,0,.,.,.,7,5,7,1,5,72,0,15,84000,69000,50443,40435,44,10.5,14.5,100,0,40.3,55.8,40,0,60,0,96,0,0,0,4,0,0,0.000000,577664,8887,83,13,4,-56032,-6,684245,684245,10527,44,24,8,22,1,299591,4609,71,23,4,0,0,0,0,3,0
Leadership Prep School,061804,061 DENTON,10,1,250,7,10,36,0,43,0,2,8,9,1,9,0,0,.,.,.,0,.,95,97,91,94,.,.,90,88,95,.,98,.,100,94,.,.,.,.,18,12,6,6,6,66,11,6,65000,55000,58500,45719,0,14.1,21.3,100,0.3,29.9,.,0,0,91,9,94,6,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Denton,061901,061 DENTON,11,36,24738,12,31,52,1,3,0,1,43.2,14,9,14,18,9,96.3,0.2,1.4,1259,96,82,84,74,81,84,83,71,72,89,84,94,97,81,70,73.5,28.8,1000,21.1,3067,1763,0,3,13,57,7,20,106690,72307,55575,50929,25,8.1,14,33.1,11.2,29,9.2,7,12,78,3,77,10,0,5,4,4,388059,1.530000,264719274,11108,35,59,6,56673908,30,264231054,211329461,8867,62,5,5,10,18,130110857,5460,62,20,6,2,3,2,3,1,2
Lewisville,061902,061 DENTON,11,66,51779,9,26,51,0,11,0,3,27.9,13,10,13,12,9,96.8,0.1,3.1,3487,93.9,88,88,82,88,89,90,78,78,92,86,95,86,89,75,79.4,47.1,1079,23.8,6312,3706,1,3,9,59,7,21,94826,73372,57340,47674,18,8.2,14,25.2,12.2,25.7,8.7,4,7,86,2,74,11,1,6,3,5,445900,1.426000,544284099,10610,29,64,7,87335085,22,605633305,435756141,8495,62,5,6,9,17,271374497,5290,67,19,4,2,3,1,2,1,1
Pilot Point,061903,061 DENTON,11,4,1523,2,35,59,2,1,0,2,50,20,8,20,29,6,96.7,0,6.2,93,93.8,81,82,72,79,86,89,85,69,87,63,100,100,76,71,60.7,31.4,970,21.5,194,105,2,3,7,54,13,21,92909,71900,50996,46161,10,7.8,14.4,25.6,13.4,10.7,16.5,1,4,93,2,81,7,3,4,4,1,336093,1.370000,15464872,9990,41,51,8,3437646,30,14601554,12183865,7871,58,7,6,11,18,7051472,4555,56,13,13,6,4,1,6,2,0
Krum,061905,061 DENTON,11,6,1782,1,23,73,1,1,0,2,35,7,9,7,30,4,96.7,0,2.9,99,96.1,84,87,75,85,89,82,92,77,86,90,96,83,76,75,61.4,25.5,978,21.8,237,124,2,3,7,52,8,28,86875,73977,53481,47383,12,7.5,14.4,34.6,10.5,19.6,13.6,0,6,90,3,82,8,1,4,4,1,390058,1.540000,22531889,13317,41,57,2,6450327,42,21134609,15588824,9213,58,6,6,13,17,9025053,5334,68,14,9,1,3,0,4,1,0
Ponder,061906,061 DENTON,11,3,1254,1,18,78,1,1,0,1,35.6,3,10,3,27,9,95.8,0,2.7,68,91.9,83,86,76,81,82,88,92,74,85,68,.,.,73,73,60,47.2,1053,23.5,170,91,1,4,4,54,7,31,108850,68070,61520,52318,8,7.4,13.7,5.5,14.8,19.7,4.4,0,2,93,4,80,10,2,1,4,2,693711,1.345000,17513774,14297,30,68,3,10712400,78,15797978,11942670,9749,58,6,6,13,17,6900204,5633,66,14,7,1,4,2,6,1,0
Aubrey,061907,061 DENTON,11,4,1922,3,16,79,1,1,0,1,29.9,6,9,5,30,7,96.6,0,0.9,111,97.3,88,87,81,88,92,87,84,85,88,100,95,.,76,80,79.4,34.6,1032,22.5,197,122,1,3,6,62,9,19,66261,72896,54108,42745,6,9.8,15.7,33,9.6,16.3,11,0,6,93,1,85,7,0,1,5,2,291389,1.540000,19672795,10436,49,49,3,4104894,30,17822907,13801290,7322,59,4,7,11,19,8199505,4350,73,13,5,0,3,0,5,1,0
Sanger,061908,061 DENTON,11,8,2594,3,23,71,1,1,0,2,42.4,6,10,6,20,4,96.4,0,1.5,194,96,82,85,66,83,87,81,63,75,85,82,100,.,79,73,56.8,13.1,965,20.1,369,177,1,3,4,48,17,27,104543,64918,54500,48194,16,7,14.6,28.8,12.5,16.7,12.3,0,6,92,3,72,17,6,0,4,1,270271,1.372000,29752427,11430,42,45,13,4949404,28,28885724,25684437,9867,60,5,6,10,19,15371835,5905,49,39,3,1,3,0,2,1,1
