SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Baird,030903,030 CALLAHAN,14,RE,3,329,0,19,81,1,64.4,0,13,0,44,5,96.4,0,0,26,96.2,68,89,90,76,81,92,.,56,71,.,59,88,50,50,.,21.9,62,35,2,3,9,56,11,19,85001,50871,34779,39921,15,5.3,9.5,25.9,13.3,8.6,14.7,0,9,88,3,66,13,4,0,12,5,311955,1.239000,4157632,13241,61,32,7,1355349,39,3841734,3443581,10967,54,11,5,10,19,1866089,5943,46,20,19,0,7,1,7,0
Eula,030906,030 CALLAHAN,14,RE,3,382,1,13,84,2,54.7,1,11,0,33,5,96.6,0,0,30,96.8,75,91,96,81,84,97,.,57,78,.,68,93,57.7,13.3,958,19.4,72,37,3,3,4,52,11,27,71334,65292,50043,41118,10,5.3,10.2,16,14.3,9.2,10.4,0,3,97,0,83,6,3,0,9,0,543042,1.350000,4528875,11856,33,61,6,643611,17,4451104,4003886,10481,54,8,5,14,19,2147667,5622,66,10,11,0,8,0,4,0
Harmony Sci Acad-Brownsvill,031803,031 CAMERON,01,RE,1,381,2,87,4,7,66.9,4,2,4,3,11,96.8,0,.,0,.,70,85,83,81,80,96,71,69,80,84,65,.,.,.,.,.,27,21,0,11,4,78,4,4,.,62783,18000,34036,67,14.1,18.1,85.7,1.7,5,34.9,0,66,29,5,97,1,0,1,1,0,0,0.000000,2811703,10531,69,13,18,119221,5,2292002,2283119,8551,49,17,11,14,9,1106943,4146,68,5,26,0,0,1,0,0
Brownsville,031901,031 CAMERON,01,RE,53,49080,0,98,2,0,95.6,34,11,32,26,8,96.2,0.2,9.3,2524,76.5,74,87,93,84,83,96,79,74,86,94,74,87,33,11.3,908,18.2,7543,3365,0,3,8,45,12,32,115921,67218,57905,48412,92,6.5,14.6,32.5,11.9,12.4,6.3,0,87,12,1,59,11,0,23,4,3,100384,1.092000,472714756,9738,69,14,17,88167972,24,592877643,443062923,9127,57,5,5,12,22,250675497,5164,55,16,18,4,3,0,2,2
Harlingen Cons,031903,031 CAMERON,01,RE,30,18142,1,90,9,1,76.6,13,8,13,28,7,95.3,0.1,10.1,960,72.6,72,88,94,81,78,92,82,71,85,93,68,90,56.6,15.2,928,18.2,2609,1230,0,2,9,47,13,29,120063,71131,56108,47997,78,7,14.7,32.7,12.7,12.8,8.4,1,68,31,1,60,8,1,19,4,8,166233,1.125000,160223137,8931,60,24,16,28836150,22,165931950,149246861,8319,58,6,6,11,19,86180719,4804,60,13,17,1,4,1,3,2
La Feria,031905,031 CAMERON,01,RE,8,3447,0,94,6,0,84.9,15,6,14,20,5,96.2,0.6,9.5,178,78.6,71,88,93,79,79,89,80,70,80,.,69,88,74.1,8.5,890,17.8,569,240,1,2,6,42,23,26,78411,64650,55684,47075,86,6.1,14.4,38.3,12,11.3,7.1,0,75,24,1,64,8,5,11,4,8,99330,1.336000,36196132,10658,71,15,14,2275748,8,38342134,31531924,9285,58,5,5,12,20,18356546,5405,59,8,21,2,4,0,5,1
Los Fresnos Cons,031906,031 CAMERON,01,RE,15,9721,0,95,4,0,79.6,24,6,20,21,9,96.2,0.1,4.8,550,82.8,84,93,96,90,90,98,88,83,95,91,82,93,50.9,11.2,874,20.8,1413,602,1,3,9,43,13,32,94171,66761,50272,46326,86,6.9,16.2,35.2,11.3,20.5,5.9,0,76,23,0,56,8,0,23,5,8,120478,1.200000,91802174,9839,65,17,18,16888577,22,101448123,83328015,8931,58,6,5,11,21,48159540,5162,57,11,22,2,5,0,2,1
Point Isabel,031909,031 CAMERON,01,AA,4,2525,1,88,11,1,90.1,33,8,29,23,8,96,0,16.3,128,73.5,73,87,94,82,84,96,70,71,90,71,73,87,59.1,13.2,878,16.8,367,173,1,3,9,47,9,31,94374,63092,52840,46318,77,6.9,14.6,28.8,12.3,24.6,9.1,0,66,34,0,77,9,0,3,4,6,1403500,1.062000,31385566,12425,22,64,14,6264754,15,34345270,25898673,10253,50,9,4,16,21,12937822,5122,58,12,20,1,3,0,6,0
Rio Hondo,031911,031 CAMERON,01,RE,4,2309,0,97,3,0,84.5,15,9,13,24,4,95.2,0,11,148,79,63,80,88,73,77,88,.,63,72,.,60,84,59,8.3,865,17.5,374,145,1,1,8,39,14,37,98398,65976,57794,47139,87,6.2,15.9,37.9,11.5,14.2,10.1,0,80,20,0,58,6,10,10,4,13,91003,1.289000,23783618,10142,72,12,16,2425663,13,24179107,20780401,8862,52,7,3,16,21,10890612,4644,52,8,24,9,3,0,5,0
San Benito Cons,031912,031 CAMERON,01,RE,22,11193,0,99,1,0,81.6,24,7,20,24,5,95.2,0.1,11.6,530,77.2,69,85,93,80,77,92,81,69,89,75,67,84,63.6,6,836,17.7,1632,719,0,2,10,44,11,32,85164,67436,52502,46103,91,6.9,15.6,34.2,13.2,12.9,11.4,0,85,15,0,62,9,6,15,5,3,70773,1.305000,113042811,10293,71,10,19,10987273,13,121525883,96824899,8816,53,7,5,16,19,51010932,4645,53,12,23,1,5,0,3,2
Santa Maria,031913,031 CAMERON,01,AA,4,666,0,100,0,0,94.3,44,4,44,26,4,96.2,0,10.3,35,89.7,54,75,86,67,58,92,.,54,.,.,53,85,59.3,0,727,15,106,46,2,3,9,44,18,25,69870,61533,44114,42063,94,6.3,14.5,47.8,9.9,10.9,16.3,0,85,11,4,83,7,0,2,7,1,56014,1.255000,7973013,12323,71,6,23,112943,2,7261502,6468511,9998,55,11,4,14,17,3536954,5467,43,6,39,6,3,0,4,0
Santa Rosa,031914,031 CAMERON,01,RE,4,1172,0,98,2,0,94.3,16,8,12,32,5,95.9,0,6.6,73,76.9,72,89,87,80,85,96,.,72,73,.,71,89,71.4,4.4,799,16.8,205,86,2,3,13,42,8,33,65866,61463,39785,44891,91,5.7,13.7,39.9,10.8,1.2,18.8,0,83,16,1,74,8,1,7,4,5,58141,1.293000,13939186,11473,74,8,18,1680848,17,13388024,11732614,9656,52,8,5,15,20,6090002,5012,44,9,32,6,2,0,7,0
South Texas,031916,031 CAMERON,01,EX,5,3022,1,80,10,9,57.5,1,2,1,84,26,96.8,0,1.4,431,94.6,90,98,.,92,96,.,97,89,94,96,88,98,93.2,41,1052,22.8,468,223,1,3,6,48,4,39,103296,78654,65914,52516,79,6.5,13.6,16.5,16.1,32.5,8.3,1,56,38,4,32,2,10,0,17,39,0,0.000000,45266008,16242,43,51,5,10379850,26,42830759,33835233,12140,52,6,6,14,22,17468630,6268,66,7,7,0,18,0,0,1
Pittsburg,032902,032 CAMP,08,RE,5,2423,19,34,46,1,75.5,15,13,14,27,4,95.5,0,4.8,140,93.9,79,92,96,86,88,96,71,74,86,88,76,88,44.4,28.8,945,20.9,435,209,1,2,6,48,13,30,80950,59554,48938,40495,23,5.6,11.6,37.3,12.3,18.1,19.6,6,3,90,1,59,22,7,1,7,4,275886,1.112000,24016975,10246,54,33,13,7560570,39,23014638,21905312,9345,63,5,6,10,16,13806493,5890,59,14,16,2,5,0,4,1
Groom,033901,033 CARSON,16,EX,1,134,3,5,90,3,38.8,0,10,0,31,11,98,0,0,7,100,91,96,95,94,97,.,.,.,94,.,89,100,.,33.3,.,22.2,30,16,2,2,1,55,13,28,76700,76700,37553,43590,3,4.5,8.2,18.3,17.9,0,15.6,0,0,100,0,84,4,5,0,4,3,529545,1.250000,1762364,13557,38,55,7,141500,10,2892420,1562152,12017,63,9,3,12,12,981510,7550,59,12,17,1,5,1,5,0
Panhandle,033902,033 CARSON,16,RE,3,660,1,8,90,1,26.7,1,9,1,25,10,96.9,0,0,60,98.3,81,93,91,87,89,95,33,73,82,.,68,82,76.6,38.9,.,22.6,125,67,2,1,5,54,15,23,72572,71701,51277,42798,5,5.3,9.9,19.5,14.2,18.9,6.2,0,0,100,0,77,6,6,0,5,6,843694,1.500000,9890849,14252,24,70,6,1807618,26,30038471,6956654,10024,56,9,6,10,19,3910601,5635,62,18,5,0,8,1,5,1
White Deer,033904,033 CARSON,16,EX,2,385,0,8,91,1,39.5,0,11,0,30,6,96.1,0,0,27,100,79,90,96,86,88,95,.,62,80,.,75,86,81.8,22.2,.,20.3,65,32,3,3,3,49,11,31,67939,70000,58541,42681,3,5.9,12,15.3,17,15.9,17.4,0,3,97,0,86,7,2,0,6,0,996053,1.144000,4202549,10694,27,67,6,1974616,39,4758777,4011953,10209,52,11,5,12,21,2071409,5271,66,12,10,0,6,1,5,0
Atlanta,034901,034 CASS,08,RE,4,1810,35,5,59,1,61.4,2,13,2,22,8,95.9,0,1.6,124,95.1,77,91,96,84,83,95,60,70,86,80,70,94,84.9,26.7,1166,20.7,306,134,2,3,13,44,9,29,76796,65705,44035,39305,14,5.9,13.5,40.3,11.9,14,29.8,8,1,90,1,79,9,2,0,4,6,257535,1.040000,20103663,10751,52,29,19,5615238,38,19849767,18174256,9719,58,6,5,8,23,10568883,5652,58,19,15,0,2,0,5,1
Avinger,034902,034 CASS,08,RE,2,129,18,9,72,1,77.5,0,16,0,47,12,95.4,0,18.2,11,81.8,77,93,.,83,86,89,64,.,77,.,77,89,60,0,.,20.5,30,18,5,3,1,62,10,20,34259,52000,51437,39791,21,4.3,7,21.7,15.5,16.1,10.3,24,0,76,0,81,7,0,0,8,4,406115,1.170000,1575273,13019,54,36,10,227608,16,1668525,1621411,13400,59,10,6,8,17,951342,7862,59,14,14,0,10,0,2,0
Hughes Springs,034903,034 CASS,08,AA,3,1096,16,8,75,1,61.1,3,9,3,32,7,95.9,0,0,72,100,82,94,88,89,90,98,56,87,87,40,76,97,71.2,23.4,.,19.7,172,90,2,3,4,52,15,24,58719,61558,41288,41029,11,6.4,12.2,41.1,10.6,8.2,9.3,1,1,98,0,82,7,2,1,7,1,400158,1.119000,10942177,9911,56,34,10,3148033,34,9916455,8877983,8042,58,5,5,11,20,5152077,4667,61,8,20,0,7,0,4,0
Linden-Kildare Cons,034905,034 CASS,08,RE,3,797,21,7,71,1,63.2,1,13,1,35,3,95.4,0,2.1,49,95.7,75,91,96,82,84,97,63,78,78,.,72,94,89.5,11.8,902,19.4,140,79,2,2,5,57,19,16,66634,64016,44675,41786,12,5.7,10.1,21.4,15.5,25,12.5,4,1,95,0,72,10,8,1,7,1,261315,1.170000,8032040,10040,64,28,7,696623,10,7676559,7384007,9230,63,4,5,10,18,4650259,5813,56,14,17,0,7,0,6,0
McLeod,034906,034 CASS,08,EX,3,436,3,2,94,1,42.9,0,12,0,41,5,95,0,0,31,100,80,91,97,89,89,99,88,88,79,.,75,97,81.5,9.1,.,20.4,72,36,3,3,6,50,20,19,68763,58014,40493,39152,0,6.1,12.1,13.9,10.8,15.9,2.9,0,0,100,0,83,6,6,0,6,0,73713,1.040000,5093059,12422,82,11,7,1598421,40,4535981,3774804,9207,57,8,7,13,16,2135737,5209,64,10,17,0,5,0,4,0
Queen City,034907,034 CASS,08,AA,3,1088,18,2,78,2,55.7,0,10,0,25,5,96.2,0,0,77,100,83,97,96,88,84,96,61,71,87,.,76,88,71.7,30.2,.,20.3,176,81,1,4,5,46,16,28,71910,57071,52741,39413,14,6.2,13.4,25.3,12.7,11.1,23.5,4,0,96,0,85,4,5,0,6,0,351412,1.231000,9926250,9338,44,46,10,2774126,36,13502478,8639909,8128,57,4,5,11,23,4902582,4612,63,13,14,0,5,0,5,0
Bloomburg,034909,034 CASS,08,RE,2,282,5,2,93,1,62.1,0,15,0,43,6,95.5,0,5.3,19,89.5,84,96,93,91,85,.,.,.,84,.,76,93,90.9,20,.,18.1,51,26,5,4,8,51,18,15,63748,55732,35069,38971,4,5.6,10.8,37.9,10.7,10.5,24,4,2,94,0,77,6,4,0,11,3,122367,1.170000,2798147,10250,79,15,6,694591,24,2641830,2587905,9480,58,14,8,10,10,1490703,5460,62,11,16,0,6,0,4,1
Dimmitt,035901,035 CASTRO,16,AA,3,1193,3,82,15,0,85.2,17,6,16,20,2,96.1,1.1,10.6,62,84.8,60,81,86,73,68,94,43,57,84,.,57,94,68.4,10.3,.,18.5,211,98,2,1,9,47,16,25,72901,60635,45199,39323,41,5.6,12.1,42.7,11.6,13.4,17.3,0,14,85,1,79,6,1,5,7,2,174113,1.370000,12449644,10902,59,23,18,1931263,16,26538231,10381854,9091,56,8,5,11,19,5820569,5097,48,13,26,2,6,0,5,0
Hart,035902,035 CASTRO,16,AA,2,300,1,94,5,0,82.7,3,6,3,32,2,95.5,0,0,18,100,48,78,85,63,63,82,.,48,.,.,44,82,82.4,0,.,16.1,60,31,2,4,2,52,16,24,40844,48399,40054,34473,50,5,9.6,64.2,8.2,10.6,41.3,0,26,74,0,75,6,9,0,8,1,205890,1.040000,3341570,11327,63,24,13,786998,31,2904809,2732654,9263,56,11,6,11,16,1518412,5147,53,8,29,1,5,0,4,0
Nazareth,035903,035 CASTRO,16,RE,1,233,1,8,85,6,20.2,2,6,0,30,4,97.5,0,0,17,100,85,95,97,88,93,.,.,53,87,92,72,100,.,43.8,.,22.8,35,22,3,3,1,64,0,29,66000,59534,14616,39691,0,6.7,10.5,22.6,13.4,9.5,1.4,0,0,100,0,88,0,0,0,11,0,133735,1.310000,2618486,11586,72,24,4,159397,8,2073817,1900527,8409,59,7,6,10,17,1117884,4946,71,2,10,0,11,0,6,0
Anahuac,036901,036 CHAMBERS,04,RE,5,1286,18,27,53,2,49.6,8,9,8,25,9,95.2,0,2.2,92,95.6,82,93,95,89,90,96,74,73,88,83,74,94,72.7,16.1,897,19.3,182,94,2,3,6,52,11,26,89216,62644,53593,44844,24,7.1,13.7,33.9,12.1,6.4,7.7,12,4,84,0,76,6,7,2,4,6,226673,1.178000,15626002,11679,52,39,9,3660750,34,14094144,13266470,9915,47,7,5,23,18,6232909,4658,65,10,11,2,5,1,7,0
Barbers Hill,036902,036 CHAMBERS,04,EX,7,4096,4,17,77,1,22.1,3,7,2,15,4,95.9,0,1.7,212,89.2,90,96,98,94,95,98,83,86,91,97,81,97,53.9,31.5,1013,21.9,587,282,2,3,6,48,9,32,101563,76624,61774,55305,14,7,14.5,24,13.2,23.7,7.1,2,2,96,0,80,6,6,0,3,4,731346,1.330000,56615728,14554,23,70,7,9739608,22,60511038,48646600,12506,40,5,4,32,19,19615319,5042,63,11,6,1,3,5,11,1
East Chambers,036903,036 CHAMBERS,04,RE,5,1296,10,32,57,1,53.1,18,10,18,29,5,96.6,0,0,101,98,80,90,88,88,90,97,67,70,86,.,71,93,59.3,13.7,898,20.5,163,92,1,2,8,56,8,25,118000,79646,57546,45678,14,7.9,14.1,27.3,12.6,10.3,10.1,1,5,93,0,69,10,11,1,5,5,182182,1.280000,13989592,11050,56,34,10,4837410,46,18044343,11075490,8748,55,6,4,15,20,6052720,4781,69,10,10,1,5,0,5,0
Alto,037901,037 CHEROKEE,07,AA,3,694,28,25,47,1,72.2,9,8,9,26,4,96.1,0,14,30,74.4,80,92,98,87,81,96,66,76,90,.,75,87,64,12.5,.,17.9,121,66,1,2,5,54,18,20,95000,61278,47616,42713,23,5.7,10.5,27.3,14.8,11.4,14.8,12,0,86,2,84,7,0,3,5,2,227589,1.284000,7750600,11551,64,28,8,1558276,26,12171117,6278969,9358,61,6,6,9,18,3842975,5727,61,8,19,2,3,0,7,0
Jacksonville,037904,037 CHEROKEE,07,AA,8,4899,19,43,36,1,78.6,24,10,25,21,5,95.1,0.3,10.4,216,84,79,92,98,86,82,94,71,75,86,95,75,88,51.6,19.2,1075,19.4,787,353,1,3,8,45,17,26,90956,62578,50589,41948,26,6.2,13.9,41.4,11.8,19.3,15,6,7,87,1,64,9,2,16,4,5,180882,1.130000,42410995,8797,60,27,14,6795560,19,41027152,38911385,8071,58,6,5,10,20,22535729,4674,49,16,14,12,4,1,4,1
Rusk,037907,037 CHEROKEE,07,RE,5,2138,16,12,71,1,59.4,5,11,5,24,5,95.6,0,8.3,109,90.1,82,93,93,88,91,95,66,71,86,93,75,92,40.6,22,1031,20.3,284,155,1,3,6,54,13,22,87403,67431,49072,38697,10,7.5,13.8,33.7,12.1,12.9,11.8,3,0,92,5,67,9,16,1,4,4,173230,1.158000,19281653,9461,57,28,15,1231240,8,19358195,15820603,7763,58,5,6,8,23,9170216,4500,49,25,16,1,4,0,4,0
New Summerfield,037908,037 CHEROKEE,07,RE,1,479,5,76,19,0,91,40,9,36,28,1,96.5,0,7.9,34,89.5,60,78,87,80,72,92,69,57,73,.,58,88,65.6,0,805,.,84,46,1,4,6,54,0,34,92354,49512,48614,39500,21,5.7,10.5,41.7,11.6,18.6,4.8,2,2,95,0,83,4,0,7,5,0,81119,1.040000,5986606,13363,74,9,17,1791395,38,6485666,5137725,11468,61,8,4,12,14,3131385,6990,62,7,21,5,4,0,2,0
Wells,037909,037 CHEROKEE,07,RE,2,316,17,8,74,0,71.5,3,10,3,30,6,96.4,0,0,18,94.4,77,92,97,83,85,97,56,67,82,.,69,89,100,0,915,.,55,34,2,4,4,62,11,18,81726,58275,44124,37450,4,5.7,9.3,55.9,8,5.9,23.1,0,3,97,0,77,6,4,0,11,1,340568,1.040000,4453355,13454,69,26,6,163664,5,3177772,2942294,8889,61,8,5,10,16,1781567,5382,58,16,15,2,5,1,4,0
Childress,038901,038 CHILDRESS,16,RE,3,1127,7,34,56,3,52.5,3,13,3,32,8,95.7,0,3.7,78,96.3,79,90,90,87,84,98,65,72,85,77,73,81,.,19.7,.,19.1,211,98,1,3,6,46,19,24,80224,61303,47019,40870,19,5.3,11.5,21.7,13.7,14.3,13.2,1,3,96,0,76,14,2,0,8,0,183269,1.130000,12613682,11405,65,27,7,2074561,18,12430851,11616639,10503,53,7,5,19,17,6109057,5524,55,13,15,1,8,0,7,2
Byers,039901,039 CLAY,09,AA,1,101,0,6,92,2,53.5,0,8,0,48,6,95,0,0,9,100,47,92,77,55,50,88,.,.,46,.,50,86,16.7,.,.,.,26,14,4,4,2,55,12,23,67937,66017,49762,39949,0,3.9,7.2,46.8,14.1,14.2,20.7,0,0,100,0,90,0,4,0,6,0,216051,1.250000,1548760,14080,71,23,6,441720,33,1457647,1397960,12709,55,12,6,12,15,764262,6948,69,7,8,0,9,0,7,0
Henrietta,039902,039 CLAY,09,EX,3,905,1,6,91,2,39.6,0,11,0,37,4,96.5,0,4.2,70,95.8,82,96,96,88,84,94,.,91,81,90,77,92,48.3,21.4,956,19.7,149,82,2,4,5,55,13,22,76782,57892,46804,44845,6,6.1,11.1,15.9,17.2,6.2,7.2,0,1,96,3,76,13,4,0,6,1,347305,1.310000,11206089,11972,47,42,12,3539751,42,17135339,9495113,10144,59,7,6,7,21,5600619,5984,57,25,9,0,5,0,5,0
Petrolia,039903,039 CLAY,09,EX,3,483,1,9,88,3,51.1,1,11,1,34,8,96.4,0,3,31,93.9,87,96,97,94,86,.,.,83,88,89,86,97,67.9,21.1,.,20.2,74,37,3,5,2,51,13,27,64762,60159,37978,39254,2,6.5,12.9,31.4,11.4,8.3,20.2,0,3,97,0,80,6,7,0,7,0,181916,1.260000,4647331,9951,66,27,8,923605,23,4494180,4048669,8670,54,8,7,14,18,2168158,4643,63,8,15,0,8,0,6,0
Bellevue,039904,039 CLAY,09,RE,1,159,1,1,97,1,44,1,7,1,48,3,96.2,0,15.4,11,84.6,73,91,94,86,81,98,.,.,73,.,69,91,40,.,.,.,31,17,3,3,1,55,16,22,78250,60250,49520,41795,0,5.1,9.2,22,16.2,5.4,17.9,0,0,100,0,84,5,0,0,11,1,264029,1.040000,1742506,9957,64,29,7,576488,37,1585531,1527123,8726,63,9,7,8,13,956530,5466,67,10,12,0,9,0,3,0
Midway,039905,039 CLAY,09,RE,1,111,0,5,95,0,51.4,0,16,0,52,2,96.8,0,0,8,100,80,92,.,85,84,94,.,80,80,.,76,100,62.5,40,.,.,28,17,4,4,1,59,10,23,85350,50000,46752,41572,10,3.9,6.6,20.4,15.3,14.5,7.7,0,0,100,0,87,6,0,0,7,0,714602,1.040000,1508439,12783,37,59,4,276836,18,1526081,1486618,12598,59,12,6,8,16,869192,7366,66,10,8,0,11,1,4,0
Morton,040901,040 COCHRAN,17,RE,4,469,6,74,20,1,86.8,13,10,13,44,4,95.6,0,9.3,37,88.4,59,76,92,73,69,88,62,54,74,.,53,92,75.9,9.1,.,17.3,103,51,2,4,4,49,18,22,74450,62942,48815,42956,30,4.6,9.2,19.6,15.5,18.7,4.9,2,6,92,0,66,7,7,5,13,1,139554,1.040000,7677504,16763,51,36,13,2180681,42,7388067,7303582,15947,46,6,6,26,16,3387123,7395,46,6,22,1,5,0,5,16
Whiteface Cons,040902,040 COCHRAN,17,RE,3,310,2,39,57,2,65.2,4,11,4,34,4,96.6,0,14.3,23,85.7,82,95,95,88,83,.,.,75,88,.,80,100,82.6,31.6,.,20.1,71,40,3,3,6,56,10,23,84992,74610,53426,45263,15,4.4,7.7,20,19.1,22.5,11.8,0,5,95,0,81,5,1,1,10,2,2277467,1.040000,7935376,24954,40,56,4,5029455,48,7258764,5915083,18601,51,7,6,15,22,3006937,9456,64,10,11,0,5,2,8,0
Bronte,041901,041 COKE,15,RE,3,321,0,31,69,0,51.1,6,10,5,40,12,96.6,0,13.8,23,69,81,93,.,91,79,98,.,74,83,.,67,87,66.7,16.7,.,19.8,59,34,2,3,5,58,9,23,98350,62937,45062,42838,5,5.4,9.3,17.5,17.7,7.7,17.8,0,3,97,0,66,9,10,3,6,5,276785,1.040000,4856788,15177,70,25,5,554339,8,3707117,3655995,11425,54,10,6,12,18,1959510,6123,58,14,12,2,6,0,9,0
Robert Lee,041902,041 COKE,15,RE,5,250,0,32,67,1,58.4,4,11,4,40,3,96.7,0,5,20,95,78,94,96,84,83,98,.,56,87,.,70,94,94.7,16.7,.,20,46,25,2,3,2,54,7,32,81002,60290,39080,43350,19,5.5,10.1,21.2,15.8,26,14.6,0,4,96,0,78,6,6,0,10,0,1417725,1.480000,4085067,17310,18,77,5,823088,20,7862239,2654609,11248,57,12,5,10,16,1512702,6410,64,8,14,0,10,0,5,0
Coleman,042901,042 COLEMAN,15,RE,3,956,3,26,70,1,59.6,3,10,3,26,4,97.1,0,1.5,67,93.8,75,86,93,82,86,96,65,67,79,.,68,96,56.9,24.3,957,19.6,177,90,2,2,11,51,11,24,63101,53172,41648,39379,14,5.4,10.7,27,14,8.1,13.2,2,7,91,0,82,8,1,0,5,4,118241,1.250000,10331692,10532,70,16,14,1718657,20,10860990,9365391,9547,54,9,5,13,19,5057650,5156,58,10,19,1,6,2,6,0
Santa Anna,042903,042 COLEMAN,15,RE,3,270,3,32,64,2,72.2,0,14,0,30,7,96.9,0,0,25,100,65,84,91,76,82,96,.,52,73,.,59,91,61.9,15.4,1040,18.1,53,26,2,4,6,49,17,23,91000,62712,38836,40343,16,5.1,10.4,37.9,16.6,6,11.2,0,10,86,4,79,6,6,0,8,1,201133,1.118000,3752220,12676,69,25,6,403357,11,2981758,2776651,9381,58,8,5,9,19,1601067,5409,51,21,20,1,2,0,4,0
Panther Creek Cons,042905,042 COLEMAN,15,RE,2,166,1,23,77,0,71.1,5,13,5,30,5,96.3,0,0,16,100,72,85,95,81,81,86,.,72,72,.,69,69,92.9,7.7,.,19.5,33,18,9,1,1,55,12,21,47509,57138,50322,43068,3,5,9.1,5.5,14.7,34.9,20.8,0,0,100,0,75,10,5,0,7,2,485234,1.170000,2056974,12467,51,42,7,72924,4,2058759,2046631,12404,52,12,4,12,19,1064487,6451,65,11,13,0,6,0,5,0
Novice,042906,042 COLEMAN,15,AA,2,102,7,21,72,1,88.2,0,15,0,49,7,95.5,0,0,9,77.8,45,82,89,54,62,.,.,46,48,.,43,56,50,.,.,.,22,12,4,0,2,53,18,22,70000,.,49144,35003,0,4.5,8.5,66.8,5.4,4.1,47.9,0,0,100,0,80,2,8,0,9,0,419093,1.040000,1475193,16575,62,34,4,297708,26,1242621,1204582,13535,54,10,6,10,20,647866,7279,70,9,11,0,4,1,6,0
Allen,043901,043 COLLIN,10,EX,21,18086,11,13,62,14,16,7,11,7,21,12,97,0,0.6,1230,97,94,98,98,96,96,99,86,90,95,97,87,99,72.6,50.7,1089,23.8,2172,1216,1,2,9,56,9,23,116423,78368,60243,50227,14,8.3,14.9,33.8,10.5,25.6,8.4,3,4,90,3,79,9,1,4,3,5,394384,1.540000,163494886,9367,30,67,3,26996437,20,197790989,134153773,7686,59,5,6,13,17,78600648,4503,67,16,5,5,3,2,2,0
Anna,043902,043 COLLIN,10,RE,4,2233,9,24,66,2,42.5,6,10,14,24,3,96.5,0,4,93,93,82,93,97,90,84,98,75,76,85,88,76,90,45.6,22.2,980,21.8,284,169,2,3,3,60,9,23,81998,65313,45278,44431,14,7.9,13.2,50.1,8.6,13.8,14.4,4,6,89,1,76,7,5,4,4,5,231699,1.540000,22127069,10320,55,42,3,1381041,8,37041340,17138140,7994,59,7,5,12,17,10061808,4693,67,13,6,5,3,1,4,0
Celina,043903,043 COLLIN,10,EX,4,1901,5,23,71,2,31.9,5,10,5,32,5,96.5,0.3,3.5,106,90.4,87,95,99,91,92,94,71,75,91,96,73,93,80.2,37.7,1046,21.5,246,128,1,4,6,52,13,23,96139,67003,48995,46215,17,7.7,14.8,27.4,13.1,14.3,7.8,2,2,95,1,82,3,0,2,5,7,343537,1.540000,19454349,10539,37,60,2,1232055,9,30328236,14811332,8023,53,7,6,13,21,7853169,4254,68,13,5,1,4,1,7,0
Farmersville,043904,043 COLLIN,10,RE,4,1455,7,24,68,1,44.7,5,8,5,16,4,96.7,0,2.2,93,94.5,82,95,96,88,86,98,71,74,85,93,74,98,32.9,21.4,990,19.6,185,110,1,4,6,59,10,19,115717,62086,54732,42987,10,7.9,13.3,37.4,12.4,17.1,18.9,1,5,95,0,80,6,4,2,4,5,229495,1.310000,12958196,8882,57,37,6,5040065,47,12221596,10929670,7491,59,5,6,11,19,6468895,4434,69,10,11,3,2,0,5,0
Frisco,043905,043 COLLIN,10,EX,43,33757,12,13,61,13,12.8,5,8,5,13,6,96.8,0,1.1,1270,92.6,94,98,98,96,96,99,86,89,96,97,84,97,74.7,43.9,1068,23.3,4456,2494,1,3,9,56,8,24,97712,74542,59371,48457,20,7.6,13.5,46.2,8.1,21.2,9.4,4,4,90,2,76,13,1,1,3,6,476345,1.390000,336844991,11014,24,74,2,21962721,8,511068273,247316845,8086,61,5,5,10,19,150644405,4926,72,15,3,3,2,1,3,1
