SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Lufkin,003903,003 ANGELINA,07,RE,17,8601,29,36,34,1,73.5,16,13,20,19,11,95.4,0.5,10.8,512,81.2,79,92,96,87,85,95,69,74,90,94,74,87,46.1,22.1,978,19.1,1320,624,1,3,8,47,13,28,97142,68240,50791,44005,33,6.5,13.8,30.6,14.1,15.4,8.7,12,7,80,0,65,9,8,9,4,6,239431,1.212000,73394738,8559,52,35,13,17473616,29,99001080,67166843,7833,57,7,5,11,21,38080012,4441,60,16,16,1,4,0,2,1
Huntington,003904,003 ANGELINA,07,RE,5,1746,3,5,92,1,51.1,1,10,1,31,7,94.8,0,6.4,132,78.8,81,92,86,90,89,97,67,74,82,80,77,76,35.2,18.4,949,17.6,259,126,2,3,7,49,9,30,74356,62703,49516,39522,3,6.7,13.9,34.9,12.4,11.1,17.2,0,0,100,0,79,10,4,0,6,1,110456,1.450000,15788185,8930,69,22,9,1340186,12,24105275,13951713,7891,54,6,6,12,22,7534536,4262,60,15,11,0,7,1,5,1
Diboll,003905,003 ANGELINA,07,RE,6,1946,14,50,36,1,73.8,16,9,15,27,4,95.3,0.4,6,126,89.6,74,90,90,83,82,96,62,71,81,71,69,93,64,14.1,924,18.3,284,142,2,3,7,50,8,30,78498,60570,47639,42023,29,6.9,13.7,39.2,10.7,18.9,14.7,5,8,87,0,75,4,10,1,5,5,139054,1.040000,16464038,8982,63,21,16,2722007,20,16469415,15596083,8509,56,8,5,11,20,8667311,4728,54,11,20,1,5,5,4,1
Zavalla,003906,003 ANGELINA,07,RE,3,480,1,3,96,1,60.2,0,13,0,24,5,95.9,0,3.1,32,96.9,75,93,94,83,79,95,.,.,75,.,74,92,.,5.9,858,.,74,40,3,4,15,54,12,12,68363,63629,29616,42071,1,6.5,12,20,11.5,10,7.7,0,3,97,0,73,8,10,0,8,1,174180,1.234000,4686190,10013,66,22,12,550333,14,4544333,4177607,8927,62,7,5,8,18,2591085,5537,55,20,18,0,5,0,3,0
Central,003907,003 ANGELINA,07,RE,4,1527,5,13,81,1,54.6,4,12,3,33,5,95.9,0,2.5,112,91.6,83,92,94,89,88,96,65,75,85,.,78,93,28.4,17.2,965,.,213,110,2,3,8,52,13,22,69603,59338,46267,44224,6,7.2,13.9,25.4,13.3,9.1,14,1,5,94,1,76,8,1,1,6,7,167281,1.190000,13724788,8770,66,24,9,3631932,30,21479337,12368201,7903,58,7,6,11,18,7186879,4592,64,16,11,0,6,1,2,1
Aransas County,004901,004 ARANSAS,02,RE,5,3150,2,37,57,4,65.7,4,9,4,27,4,95.1,0.4,3.8,205,93.4,74,89,95,81,85,93,67,68,78,89,69,92,59.3,20.4,975,19.8,500,242,1,3,7,48,11,29,81195,65126,48610,44299,22,6.3,13,32.2,12.4,28,13.5,1,9,88,2,81,13,2,1,4,0,803236,1.085000,33762005,11165,32,57,11,8416408,25,34958631,30370946,10043,57,5,5,14,19,17379609,5747,59,15,16,0,4,0,4,1
Archer City,005901,005 ARCHER,09,RE,2,483,3,4,92,1,37.5,0,10,0,38,7,95.8,0,2.3,43,95.5,84,96,.,88,91,98,50,71,84,.,69,84,69.2,14.8,1023,21.3,88,50,1,3,5,56,15,21,90354,69608,47131,42548,1,5.5,9.7,22.1,12.7,6,8.5,0,2,98,0,84,7,2,0,7,0,365319,1.068000,5321571,11826,55,41,4,801668,16,5323297,4766416,10592,60,5,5,10,21,2836088,6302,66,12,9,0,6,0,7,0
Holliday,005902,005 ARCHER,09,RE,3,871,1,5,93,1,29.3,0,9,0,28,5,96.9,0,0,52,98.1,82,94,97,90,85,94,.,76,82,89,71,100,87.5,26.2,1014,21.3,117,66,2,3,5,57,17,17,83450,71000,44561,39006,7,7.5,13.2,18.2,13.4,4.5,14.9,0,3,97,0,81,7,4,0,7,1,273003,1.180000,7625171,8887,55,40,5,906963,14,7227860,6502508,7579,57,6,6,12,20,3673310,4281,69,10,6,0,6,1,7,1
Windthorst,005904,005 ARCHER,09,RE,3,490,0,25,75,1,48.2,11,8,11,35,7,97.8,0,2.2,44,97.8,87,95,99,94,88,99,.,67,93,.,80,100,79.5,29,.,21.6,67,38,0,4,3,57,8,28,.,57728,46293,42671,9,7.3,12.7,13,15.1,0,1.3,0,3,97,0,82,5,3,2,8,0,122600,1.270000,5426605,11007,74,20,6,1155746,27,4667950,4129952,8377,58,6,5,12,18,2410885,4890,60,8,15,1,8,1,8,0
Claude,006902,006 ARMSTRONG,16,RE,2,321,3,11,86,1,39.6,3,13,3,34,6,96.6,0,0,29,100,80,97,96,84,86,96,.,57,82,.,75,92,88.9,33.3,.,21.6,68,39,3,3,4,57,9,24,74096,60828,50447,41093,6,4.7,8.2,20.5,12.3,5.4,19.3,0,3,97,0,86,4,2,0,8,0,371339,1.170000,4310060,13262,61,33,7,1452213,36,4075907,3814974,11738,56,10,6,10,17,2124259,6536,66,16,10,0,4,0,5,0
