CDN,DISTRICT NAME,"2004-2005
ADA","2004-2005
WADA","2005-2006
ADA","2005-2006
WADA","2006-2007
ADA","2006-2007
WADA","2007-2008
ADA","2007-2008
WADA","2008-2009
ADA","2008-2009
WADA","2009-2010
ADA","2009-2010
WADA","2010-2011
ADA","2010-2011
WADA","2011-2012
ADA","2011-2012
WADA","2012-2013
ADA","2012-2013
WADA","2013-2014
ADA","2013-2014
WADA"," 2014-2015
ADA"," 2014-2015
WADA","2015-2016
ADA","2015-2016 
WADA"
043901,ALLEN ISD,14145.025,16771.14282,15286.829,18174.09886,15705.926,18757.36956,16285.033,19434.473,16807.401,20055.852,17422.168,20814.182,18142.691,21668.57,18740.808,21011.188,19109.878,22454.961,19616.086,23314.936,19847.279,23541.895,20052.611,23815.986
057832,ALPHA CHARTER SCHOOL,198.417,252.2716429,200.546,286.1483477,239.849,333.2111504,195.105,268.4164852,199.675,292.5886869,174.55,279.202,148.205,227.946,130.23,207.645,118.682,197.465,117.743,191.826,140.699,220.371,126.374,209.713
101817,ALPHONSO CRUTCH'S-LIFE SUPPORT CE,296.532,446.8530461,134.925,174.080523,142.62,168.5438156,116.929,154.4788669,54.128,67.36514426,0,0,0,0,0,0,,,,,,,,
022901,ALPINE ISD,1010.588,1691.150752,939.494,1624.592553,913.968,1570.393419,914.274,1545.391,954.507,1600.749,980.052,1615.147,1014.378,1653.688,1033.58,1560.264,1014.511,1613.337,970.654,1591.558,949.893,1575.61,999.652,1612.644
037901,ALTO ISD,607.296,1007.333742,603.599,1015.155901,632.281,1044.358149,626.101,1036.679,610.085,1006.772,627.921,1000.591,631.265,1025.604,617.963,950.036,608.956,985.977,589.385,991.665,603.488,1015.747,598.942,1012.682
126901,ALVARADO ISD,3187.905,4343.840199,3103.256,4228.157875,3058.57,4139.392969,3029.518,4066.361,3053.619,4100.044,3164.544,4252.904,3249.13,4427.047,3147.6,4033.223,3215.166,4256.144,3269.654,4369.323,3318.416,4443.592,3384.705,4522.71
020901,ALVIN ISD,11607.349,15410.55271,12294.741,16266.40165,13247.068,17466.01021,14151.928,18570.317,14926.599,19614.026,15478.251,20387.131,16076.95,20851.043,16867.202,20627.997,17635.673,22637.575,18550.886,24153.833,19589.008,25495.728,20816.666,27079.921
249901,ALVORD ISD,640.534,1033.11206,686.805,1099.250738,690.866,1104.986062,677.857,1070.717,686.684,1048.768,690.053,1050.228,701.102,1075.228,684.427,990.593,669.804,1016.386,669.59,1039.564,649.006,1014.135,677.356,1049.467
188901,AMARILLO ISD,27059.81,36076.73813,27260.568,36334.57076,27547.271,36902.49117,27547.864,36688.51,28082.825,36898.736,28706.127,37468.416,29331.032,38453.882,29817.328,36806.582,29962.112,38850.418,30147.716,39780.211,30275.185,40148.138,30352.986,40388.051
084804,AMBASSADORS PREPARATORY ACADEMY,,,,,,,114.168,178.941,124.393,192.989,161.511,256.979,228.791,354.136,237.402,353.858,273.721,421.411,274.675,431.969,258.427,409.535,239.754,373.195
